ltable_Song_Name,rtable_Song_Name,ltable_Artist_Name,rtable_Artist_Name,ltable_Album_Name,rtable_Album_Name,ltable_Genre,rtable_Genre,ltable_Price,rtable_Price,ltable_CopyRight,rtable_CopyRight,ltable_Time,rtable_Time,ltable_Released,rtable_Released
Lick It ( Norman Doray Remix ),Take __ There ( feat . Kiesza ) [ Netsky Remix ],Kaskade & Skrillex,Skrillex & Diplo,Lick It ( Remixes ) - EP,Take __ There ( feat . Kiesza ) [ Remixes ],"Dance , Music , Electronic",Dance & Electronic,$1.29 ,$1.29 ,"2012 Ultra Records , Inc.",2010 Robbins Entertainment LLC,06:14,03:29,17-Apr-12,23-Dec-14
Lick It ( Norman Doray Remix ),Scary Monsters And Nice Sprites ( Phonat Remix ),Kaskade & Skrillex,Skrillex,Lick It ( Remixes ) - EP,More Monsters And Sprites EP,"Dance , Music , Electronic","Dance & Electronic , Dubstep",$1.29 ,$1.29 ,"2012 Ultra Records , Inc.",2011 Rory Bourke Music Co. ( BMI ),06:14,03:39,17-Apr-12,7-Jun-11
Whatcha Say ( Klubjumpers Remix Radio ),The Sky 's The Limit ( Ayo Remix ),Jason Derulo,Jason Derulo,Reloaded,Reloaded,"Pop , Music , Rock , R&B / Soul , Contemporary R&B , Dance",Pop,$1.29 ,$1.29 ,2011 This Compilation P2011 Warner Bros. . Records Inc.,"( C ) 2006 DTP Records , LLC",04:02,03:25,16-Dec-11,16-Dec-11
Because of Your Love,"Ruby , Do n't Take Your Love To Town",Kenny Chesney,Kenny Rogers,Greatest Hits,49 All Time Greatest Hits,"Country , Music , Contemporary Country , Urban Cowboy","Country , Traditional Country , Cowboy",$0.99 ,$0.89 ,2000 BMG Entertainment,( c ) 2008 Goldenlane Records,04:16,02:55,26-Sep-00,1-Aug-08
Where Are '`` Now ( with Justin Bieber ) [ Ember Island Remix ],Scary Monsters And Nice Sprites ( Zedd Remix ),Skrillex & Diplo,Skrillex,Where Are '`` Now ( with Justin Bieber ) [ Remixes ] - EP,Scary Monsters And Nice Sprites EP [ Explicit ],"Dance , Music","Electronica , Dance & Electronic , Dubstep",$1.29 ,$1.29 ,2015 OWSLA / Mad Decent / Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States . A Warner Music Group Company,( c ) 2013 Digitop Ltd,02:31,05:57,16-Jun-15,21-Dec-10
Second Chance ( Live Acoustic from Kansas City ),Burning Bright ( Live From Washington State ),Shinedown,Shinedown,Somewhere In the Stratosphere ( Live ),Somewhere In The Stratosphere,"Rock , Music , Metal , Alternative , Hard Rock",Rock,$1.29 ,$1.29 ,2011 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States .,( C ) 2005 MCA Nashville,05:06,03:53,18-Apr-11,18-Apr-11
If I Am a Stranger ( Live In Amsterdam ),Dear Chicago ( Live in Stockholm ),Ryan Adams,Ryan Adams,Live After Deaf ( Live ) [ Complete Collection ],Live After Deaf ( Collection ),"Singer/Songwriter , Music , Rock","Folk , Rock",$0.99 ,$0.99 ,2012 PAXAM RECORDS,2012 PAXAM RECORDS,05:10,02:29,2-Jul-12,2-Jul-12
If I Am a Stranger ( Live In Amsterdam ),Carolina Rain ( Live in Cork ),Ryan Adams,Ryan Adams,Live After Deaf ( Live ) [ Complete Collection ],Live After Deaf ( Cork ),"Singer/Songwriter , Music , Rock","Folk , Rock",$0.99 ,$0.99 ,2012 PAXAM RECORDS,2012 PAXAM RECORDS,05:10,05:41,2-Jul-12,9-Aug-12
If I Am a Stranger ( Live In Amsterdam ),16 Days ( Live in Glasgow ),Ryan Adams,Ryan Adams,Live After Deaf ( Live ) [ Complete Collection ],Live After Deaf ( Collection ),"Singer/Songwriter , Music , Rock","Folk , Rock",$0.99 ,$0.99 ,2012 PAXAM RECORDS,2012 PAXAM RECORDS,05:10,04:31,2-Jul-12,2-Jul-12
Autonomy ( Cold Blank Mix ),Autonomy ( Lucky Date Mix ),Zedd,Zedd,Autonomy - EP,Zedd - Autonomy,"Dance , Music","Electronica , Dance & Electronic",$0.99 ,$0.99 ,2011 Bugeyed Records,( C ) 2014 Wolf Tone Limited,04:59,05:59,28-Mar-11,28-Mar-11
Closer ( feat . Mike Posner ),Numb [ feat . Angel Haze ] [ Clean ],Nick Jonas,Nick Jonas,Nick Jonas ( Deluxe Version ),Nick Jonas ( Deluxe ) [ Clean ],"Pop , Music , Teen Pop , Pop/Rock , Rock",Pop,$1.29 ,$1.29 ,"2014 Island Records , a division of UMG Recordings , Inc. / Safehouse Records , LLC","( C ) 2014 Island Records/Safehouse Records LLC , a division of UMG Recordings , Inc.",03:48,03:57,10-Nov-14,10-Nov-14
Second Chance ( Live Acoustic from Kansas City ),45 ( Live Acoustic From Kansas City ),Shinedown,Shinedown,Somewhere In the Stratosphere ( Live ),Somewhere In The Stratosphere,"Rock , Music , Metal , Alternative , Hard Rock",Rock,$1.29 ,$1.29 ,2011 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States .,( C ) 2005 MCA Nashville,05:06,06:12,18-Apr-11,18-Apr-11
Starry Eyed ( AN21 and Max Vangeli Remix ),Lights ( Shook Remix ),Ellie Goulding,Ellie Goulding,Starry Eyed ( Remixes ) - EP,Lights ( The Remixes Part 1 ),"Dance , Music , Pop , Rock",Pop,$1.29 ,$1.29 ,2011 Polydor Ltd. ( UK ),( C ) 2011 Polydor Ltd. ( UK ),08:14,03:49,15-Feb-11,23-May-11
Lick It ( Norman Doray Remix ),Scary Monsters And Nice Sprites ( Phonat Remix ),Kaskade & Skrillex,Skrillex,Lick It ( Remixes ) - EP,More Monsters And Sprites EP,"Dance , Music , Electronic","Dance & Electronic , Dubstep",$1.29 ,$1.29 ,"2012 Ultra Records , Inc.",2011 Rory Bourke Music Co. ( BMI ),06:14,03:39,17-Apr-12,7-Jun-11
Titanium ( Spanish Version ),Titanium ( feat . Sia ) [ Cazzette 's Ant Seeking Hamster Mix ],David Guetta,David Guetta,Titanium ( Spanish Version ) - Single,Titanium ( Feat . Sia ),"Dance , Music , Electronic",Dance & Electronic,$1.29 ,$0.99 ,"2012 What A Music Ltd , Licence exclusive Parlophone Music France","2011 What A Music Ltd , licence exclusive Parlophone Music France",03:58,06:37,20-Aug-12,20-Jan-12
Halcyon,Halcyon,Ellie Goulding,Ellie Goulding,Halcyon Days ( Deluxe Edition ),Halcyon,"Pop , Music , Dance , Rock",Pop,$1.29 ,$1.29 ,_ ã_ 2013 Polydor Ltd. ( UK ),( C ) 2013 Polydor Ltd. ( UK ),03:24,03:24,27-Aug-13,27-Aug-13
Toyfriend ( feat . Wynter Gordon ) [ Continuous Mix Version ],Gettin ' Over ( Feat . Chris Willis ; Continuous Mix Version ),David Guetta,David Guetta,One Love ( Deluxe Version ),One Love ( Deluxe Version ),"Dance , Music",Dance & Electronic,$1.29 ,$1.29 ,2010 Gum Prod licence exclusive Parlophone Music France,( C ) 2014 Swedish House Mafia Holdings Ltd ( BVI ) under exclusive license to Virgin Records Ltd,02:51,03:31,21-Aug-09,21-Aug-09
Toyfriend ( feat . Wynter Gordon ) [ Continuous Mix Version ],Gettin ' Over ( Feat . Chris Willis ; Continuous Mix Version ),David Guetta,David Guetta,One Love ( Deluxe Version ),One Love ( Deluxe Version ),"Dance , Music",Dance & Electronic,$1.29 ,$1.29 ,2010 Gum Prod licence exclusive Parlophone Music France,( C ) 2014 Swedish House Mafia Holdings Ltd ( BVI ) under exclusive license to Virgin Records Ltd,02:51,03:31,21-Aug-09,21-Aug-09
The Whisperer ( feat . Sia ),Dangerous ( feat . Sam Martin ),David Guetta,David Guetta,Listen,Listen ( Deluxe ),"Dance , Music , Electronic , House , Rock , French Pop",Dance & Electronic,$1.29 ,$1.29 ,"2014 What A Music Ltd. under exclusive license to Parlophone/Warner Music France , under exclusive license to Atlantic Recording Corporation for the United States . All rights reserved",2015 If Moving Your Mine,03:54,03:23,24-Nov-14,24-Nov-14
Toyfriend ( feat . Wynter Gordon ) [ Continuous Mix Version ],Dangerous ( feat . Sam Martin ),David Guetta,David Guetta,One Love ( Deluxe Version ),Listen ( Deluxe ),"Dance , Music",Dance & Electronic,$1.29 ,$1.29 ,2010 Gum Prod licence exclusive Parlophone Music France,2015 If Moving Your Mine,02:51,03:23,21-Aug-09,24-Nov-14
Slow Down ( Sure Shot Rockers Reggae Dub Remix ),Good For You ( Yellow Claw & Cesqeaux Remix ) [ feat . A$ AP Rocky ],Selena Gomez,Selena Gomez,Slow Down ( Reggae Remixes ) - Single,Good For You ( Remixes ),"Reggae , Music , Electronic , Dance , Rock",Pop,$1.29 ,$1.29 ,"2013 Hollywood Records , Inc.",( C ) 2015 Interscope Records,03:15,03:01,20-Aug-13,4-Sep-15
True Colors ( feat . Nicki Minaj ),True Colors ( feat . Nicki Minaj ) [ Explicit ],Wiz Khalifa,Wiz Khalifa,Blacc Hollywood,Blacc Hollywood [ Explicit ],"Hip-Hop/Rap , Music , Rap , East Coast Rap , Hardcore Rap , Rock",Rap & Hip-Hop,$1.29 ,$1.29 ,2014 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States . A Warner Music Group Company,2014 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States . A Warner Music Group Company,04:15,04:15,19-Aug-14,19-Aug-14
"Turn Around ( 5,4,3,2,1 ) [ DJ Bam Bam Radio Remix ]","Turn Around ( 5,4,3,2,1 )",Flo Rida,Flo Rida,"Turn Around ( 5,4,3,2,1 ) - Deluxe Single",Only One Flo ( Part 1 ) [ Deluxe ] [ + Video ] [ + Digital Booklet ],"Hip-Hop/Rap , Music , Electronic , Rap , Dirty South , Dance",Rap & Hip-Hop,$1.29 ,$1.29 ,_ ã_ 2010 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States .,2010 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States,03:35,03:20,16-Nov-10,26-Nov-10
Lifted ( feat . Emeli Sand ' © & Professor Green ),One Way [ feat . Mic Righteous ],Naughty Boy,Naughty Boy,Hotel Cabana ( Deluxe Version ),Hotel Cabana ( Deluxe Version ) [ Explicit ],"Pop , Music , Rock , R&B / Soul , Contemporary R&B , Dance,Electronic,Hip-Hop / Rap , Pop/Rock",Pop,$1.29 ,$1.29 ,2013 Naughty Boy Recordings Ltd under exclusive licence to Virgin Records Ltd,( C ) 2014 Naughty Boy Recordings Ltd under exclusive licence to Virgin Records Ltd,04:15,03:26,6-May-14,6-May-14
"Young , Wild & Free ( feat . Bruno Mars )",Can You Control Yo Hoe ( Album Version ( Explicit ) ) [ feat . Soopafly ] [ Explicit ],Snoop Dogg,Snoop Dogg,Mac and Devin Go to High School ( Music from and Inspired By the Movie ) [ Deluxe Version ],R&G ( Rhythm & Gangsta ) : The Masterpiece ( Explicit Version ),"Soundtrack,Music,Hip-Hop / Rap , West Coast Rap , Gangsta Rap , Hardcore Rap , Rap , Soundtrack","Gangsta & Hardcore , Rap & Hip-Hop",$1.99 ,$0.99 ,2011 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States,( C ) 2004 Geffen Records,04:12,03:08,12-Dec-11,16-Nov-04
Gone,Gone ( Album Version ( Edited ) ) [ Clean ],The Weeknd,The Weeknd,Trilogy,Trilogy ( Edited Version ) [ Clean ],"R&B / Soul , Music , Rock , Contemporary R&B",R&B,$1.29 ,$1.29 ,"_ ã_ 2012 XO & co. , Inc.","( C ) 2013 XO & co. , Inc.",08:07,08:07,13-Nov-12,18-Sep-15
If I Am a Stranger ( Live In Amsterdam ),Lucky Now ( Live At Carnegie Hall / 11/17/2014 ) [ Explicit ],Ryan Adams,Ryan Adams,Live After Deaf ( Live ) [ Complete Collection ],Live At Carnegie Hall [ Explicit ],"Singer/Songwriter , Music , Rock",Rock,$0.99 ,$1.29 ,2012 PAXAM RECORDS,( C ) 2015 PaxAmericana Recording Company Under Exclusive Licenese To Blue Note Records,05:10,06:01,2-Jul-12,21-Apr-15
If I Am a Stranger ( Live In Amsterdam ),16 Days ( Live in London 2 Bonus Track ),Ryan Adams,Ryan Adams,Live After Deaf ( Live ) [ Complete Collection ],Live After Deaf ( Collection ),"Singer/Songwriter , Music , Rock","Folk , Rock",$0.99 ,$0.99 ,2012 PAXAM RECORDS,2012 PAXAM RECORDS,05:10,04:56,2-Jul-12,2-Jul-12
Masterpiece ( feat . Jordan Rakei ),Holding On [ feat . Gregory Porter ],Disclosure,Disclosure,Caracal,Caracal,"Electronic , Music , Dance , Garage , House , Rock","Electronica , Dance & Electronic",Album Only,$1.29 ,"2015 Island Records , a division of Universal Music Operations Limited","( C ) 2015 Island Records , a division of Universal Music Operations Limited",04:01,05:15,,25-Sep-15
Dangerous ( feat . Sam Martin ) [ Robin Schulz Remix ] [ Radio Edit ],I 'll Keep Loving you ( feat . Birdy & Jaymes Young ),David Guetta,David Guetta,Listen ( Deluxe Version ),Listen ( Deluxe ),"Dance , Music , Rock , House , Electronic , French Pop",Dance & Electronic,$1.29 ,$1.29 ,"2014 What A Music Ltd. under exclusive license to Parlophone/Warner Music France , under exclusive license to Atlantic Recording Corporation for the United States . All rights reserved .",2015 If Moving Your Mine,03:20,03:08,24-Nov-14,24-Nov-14
Toyfriend ( feat . Wynter Gordon ) [ Continuous Mix Version ],I 'll Keep Loving you ( feat . Birdy & Jaymes Young ),David Guetta,David Guetta,One Love ( Deluxe Version ),Listen ( Deluxe ),"Dance , Music",Dance & Electronic,$1.29 ,$1.29 ,2010 Gum Prod licence exclusive Parlophone Music France,2015 If Moving Your Mine,02:51,03:08,21-Aug-09,24-Nov-14
El Perd ' _ n ( Forgiveness ),El Perd__n ( Gregor Salto Remix ),Nicky Jam & Enrique Iglesias,Nicky Jam & Enrique Iglesias,El Perd ' _ n ( Forgiveness ) - Single,El Perd__n ( The Remixes ),"Pop , Music","International , Latin Music , Latin Hip-Hop",$1.29 ,$1.29 ,2015 Sony Music Entertainment US Latin LLC,2015 Real Sounds,03:26,04:09,10-Jul-15,1-Jul-15
Take Care ( feat . Rihanna ),Make Me Proud [ feat . Nicki Minaj ] [ Clean ],Drake,Drake,Take Care ( Deluxe Version ),Take Care ( Deluxe Edition ),"Hip-Hop/Rap , Music",Rap & Hip-Hop,$1.29 ,$1.29 ,_ ã_ 2011 Cash Money Records Inc.,( C ) 2012 Cash Money Records Inc.,04:37,03:39,15-Nov-11,20-Mar-12
Take Care ( feat . Rihanna ),The Real Her [ feat . Andre 3000 ] [ Explicit ],Drake,Drake,Take Care ( Deluxe Version ),Take Care ( Deluxe Edition ) [ Explicit ],"Hip-Hop/Rap , Music",Rap & Hip-Hop,$1.29 ,$1.29 ,_ ã_ 2011 Cash Money Records Inc.,( C ) 2012 Cash Money Records Inc.,04:37,05:21,15-Nov-11,20-Mar-12
Whateva ( feat . Monty ),My Way ( feat . Monty ) [ Explicit ],Fetty Wap,Fetty Wap,Fetty Wap ( Deluxe ),Fetty Wap ( Deluxe ) [ Explicit ],"Hip-Hop/Rap , Music , Rap",Rap & Hip-Hop,Album Only,$1.29 ,2015 300 Entertainment/RGF Productions,"( C ) 2000 Mute Records Ltd. , a BMG Company , under exclusive license to INgrooves",05:11,03:33,,25-Sep-15
I Ai n't Livin ' Long Like This,I Ai n't Livin ' Long Like This,Chris Janson,Chris Janson,Take It to the Bank - EP,Take It to the Bank ( EP ),"Country , Music",Country,$1.29 ,$1.29 ,2014 Sony Music Entertainment,( C ) 2012 Cash Money Records Inc.,04:13,04:13,24-Feb-14,24-Feb-14
I Ai n't Livin ' Long Like This,I Ai n't Livin ' Long Like This,Chris Janson,Chris Janson,Take It to the Bank - EP,Take It to the Bank ( EP ),"Country , Music",Country,$1.29 ,$1.29 ,2014 Sony Music Entertainment,( C ) 2012 Cash Money Records Inc.,04:13,04:13,24-Feb-14,24-Feb-14
I Ca n't Go There ( Acoustic Version ),I Ca n't Go There ( Acoustic Version ),Kenny Chesney,Kenny Chesney,"No Shoes , No Shirt , No Problems","No Shoes , No Shirt , No Problems","Country , Music , Contemporary Country , Urban Cowboy",Country,$0.99 ,$0.99 ,2002 BMG,Underground Avenue,03:45,03:45,2-Apr-02,2-Apr-02
Second Chance ( Live Acoustic from Kansas City ),Times Like These ( Live Acoustic From Kansas City ),Shinedown,Shinedown,Somewhere In the Stratosphere ( Live ),Somewhere In The Stratosphere,"Rock , Music , Metal , Alternative , Hard Rock",Rock,$1.29 ,$1.29 ,2011 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States .,( C ) 2005 MCA Nashville,05:06,04:07,18-Apr-11,18-Apr-11
Second Chance ( Live Acoustic from Kansas City ),Intro ( Scary Fairy ) [ Live From Washington State ],Shinedown,Shinedown,Somewhere In the Stratosphere ( Live ),Somewhere In The Stratosphere,"Rock , Music , Metal , Alternative , Hard Rock",Rock,$1.29 ,$1.29 ,2011 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States .,( C ) 2005 MCA Nashville,05:06,01:02,18-Apr-11,18-Apr-11
Who I Am With You,Who I Am With You,Chris Young,Chris Young,A.M.,A.M.,"Country , Music , Urban Cowboy , Contemporary Country",Country,$1.29 ,$1.29 ,_ ã_ 2013 Sony Music Entertainment,"( C ) 2010 Hollywood Records , Inc.",03:13,03:11,16-Sep-13,16-Sep-13
Gold ( feat . Eighty4 Fly ),Neon Cathedral ( feat . Allen Stone ),Macklemore & Ryan Lewis,Macklemore & Ryan Lewis,The Heist ( Deluxe Edition ),The Heist [ Explicit ],"Hip-Hop/Rap , Music , Rap , Alternative Rap , West Coast Rap",Rap & Hip-Hop,$1.29 ,$1.29 ,"_ ã_ 2012 Macklemore , LLC .",2014 Selena Garcia & Steven Gomez,04:11,04:34,1-Aug-12,9-Oct-12
The Whisperer ( feat . Sia ),S.T.O.P ( feat . Ryan Tedder ),David Guetta,David Guetta,Listen,Listen ( Deluxe ),"Dance , Music , Electronic , House , Rock , French Pop",Dance & Electronic,$1.29 ,$1.29 ,"2014 What A Music Ltd. under exclusive license to Parlophone/Warner Music France , under exclusive license to Atlantic Recording Corporation for the United States . All rights reserved",2015 If Moving Your Mine,03:54,03:34,24-Nov-14,24-Nov-14
The Whisperer ( feat . Sia ),Goodbye Friend ( feat . The Script ),David Guetta,David Guetta,Listen,Listen ( Deluxe ),"Dance , Music , Electronic , House , Rock , French Pop",Dance & Electronic,$1.29 ,$1.29 ,"2014 What A Music Ltd. under exclusive license to Parlophone/Warner Music France , under exclusive license to Atlantic Recording Corporation for the United States . All rights reserved",2015 If Moving Your Mine,03:54,03:49,24-Nov-14,24-Nov-14
Dangerous ( feat . Sam Martin ) [ Robin Schulz Remix ] [ Radio Edit ],Goodbye Friend ( feat . The Script ),David Guetta,David Guetta,Listen ( Deluxe Version ),Listen ( Deluxe ),"Dance , Music , Rock , House , Electronic , French Pop",Dance & Electronic,$1.29 ,$1.29 ,"2014 What A Music Ltd. under exclusive license to Parlophone/Warner Music France , under exclusive license to Atlantic Recording Corporation for the United States . All rights reserved .",2015 If Moving Your Mine,03:20,03:49,24-Nov-14,24-Nov-14
The Whisperer ( feat . Sia ),The Whisperer ( feat . Sia ),David Guetta,David Guetta,Listen,Listen ( Deluxe ),"Dance , Music , Electronic , House , Rock , French Pop",Dance & Electronic,$1.29 ,$1.29 ,"2014 What A Music Ltd. under exclusive license to Parlophone/Warner Music France , under exclusive license to Atlantic Recording Corporation for the United States . All rights reserved",2015 If Moving Your Mine,03:54,03:54,24-Nov-14,24-Nov-14
As Long As You Love Me ( feat . Big Sean ) [ Audien Luvstep Mix ],Love Me Like You Do ( Sax Instrumental Version ),Justin Bieber,Justin Ward,As Long As You Love Me ( Remixes ) [ feat . Big Sean ],Love Me Like You Do - Made Popular By Ellie Goulding,"Dance , Music , Rock",Pop,$1.29 ,$0.89 ,2012 The Island Def Jam Music Group,( c ) 2015 Covered Records,04:40,03:16,11-Sep-12,
Doin ' My Thing,Doin ' My Thing,Luke Bryan,Luke Bryan,Doin ' My Thing,Doin ' My Thing,"Country , Music , Contemporary Country",Country,$1.29 ,$1.29 ,"_ ã_ 2009 Capitol Records Nashville . All rights reserved . Unauthorized reproduction is a violation of applicable laws . Manufactured by Capitol Records Nashville , 3322 West End Avenue , 11th Floor , Nashville , TN 37203",( C ) 2009 Capitol Records Nashville,03:09,03:09,2-Oct-09,2-Oct-09
Remember You ( feat . The Weeknd ),KK ( feat . Project Pat & Juicy J ) [ Explicit ],Wiz Khalifa,Wiz Khalifa,O.N.I.F.C. ( Deluxe Version ),Blacc Hollywood ( Deluxe ) [ Explicit ],"Hip-Hop/Rap , Music , Hardcore Rap , East Coast Rap , Rap",Rap & Hip-Hop,$1.99 ,$1.29 ,2012 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States,2014 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States . A Warner Music Group Company,05:20,04:09,4-Dec-12,19-Aug-14
"Turn Around ( 5,4,3,2,1 ) [ AK Remix ]",Gdfr ( Feat . Sage The Gemini & Lookas ) [ K. Theory Remix ],Flo Rida,Flo Rida,"Turn Around ( 5,4,3,2,1 ) [ Remixes ]",Gdfr ( Feat . Sage The Gemini & Lookas ) [ Remixes ],"Dance,Music,Hip-Hop / Rap , Dirty South , Rap , Electronic",Rap & Hip-Hop,$1.29 ,$1.29 ,2011 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States .,2014 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States . A Warner Music Group Company,05:09,03:08,19-Apr-11,21-Jan-15
Fake ( Demo ),Left Out [ Demo ],Shinedown,Shinedown,Us and Them ( Deluxe Version ),Leave A Whisper ( Deluxe ),"Rock , Music , Metal , Hard Rock , Alternative",Rock,$1.29 ,$1.29 ,2009 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States .,2015 Mad Decent,05:05,03:36,4-Oct-05,27-May-03
Whateva ( feat . Monty ),Whateva ( feat . Monty ) [ Clean ],Fetty Wap,Fetty Wap,Fetty Wap ( Deluxe ),Fetty Wap ( Deluxe ) [ Clean ],"Hip-Hop/Rap , Music , Rap",Rap & Hip-Hop,Album Only,$1.29 ,2015 300 Entertainment/RGF Productions,"( C ) 2000 Mute Records Ltd. , a BMG Company , under exclusive license to INgrooves",05:11,05:11,,25-Sep-15
Every Time You Go,I Know You Care,Ellie Goulding,Ellie Goulding,Bright Lights ( Deluxe Version ),Halcyon ( Deluxe ),"Pop , Music , Dance , Rock",Pop,$1.29 ,$1.29 ,_ ã_ 2010 Polydor Ltd. ( UK ),( C ) 2013 Polydor Ltd. ( UK ),03:25,03:26,29-Nov-10,27-Aug-13
