ltable_title,rtable_title,ltable_authors,rtable_authors,ltable_venue,rtable_venue,ltable_year,rtable_year
"vxmlr : a visual xml-relational database system aoying zhou , wenyun ji , shihui zheng , hongjun lu , yuqi liang , zengping tian , long zhang vldb 2001",paradise : a database system for gis applications corporate the paradise team 1995,,,,international conference on management of data,,
parallel database systems in the 1990 's michael j. carey,paradise : a database system for gis applications corporate the paradise team 1995,,,sigmod conference,international conference on management of data,1994,
a database system for real-time event aggregation in telecommunication vldb,paradise : a database system for gis applications corporate the paradise team 1995,"henry f. korth , jerry baulier , abraham silberschatz , stephen blott",,,international conference on management of data,1998,
visdb : a system for visualizing large databases,paradise : a database system for gis applications corporate the paradise team 1995,"hans-peter kriegel , daniel a. keim",,sigmod conference,international conference on management of data,1995,
"infosphere project : system support for information flow applications calton pu , jonathan walpole , karsten schwan 2001",paradise : a database system for gis applications corporate the paradise team 1995,,,sigmod record,international conference on management of data,,
sap r/3 : a database application system ( tutorial ),paradise : a database system for gis applications corporate the paradise team 1995,"alfons kemper , florian matthes , donald kossmann",,sigmod conference,international conference on management of data,1998,
dbcache : database caching for web application servers 2002,paradise : a database system for gis applications corporate the paradise team 1995,"sailesh krishnamurthy , c. mohan , larry brown , hamid pirahesh , mehmet altinel , honguk woo , qiong luo , bruce g. lindsay",,sigmod conference,international conference on management of data,,
web caching for database applications with oracle web cache,web caching for database applications with oracle web cache,"jordan parker , jesse anton , zheng zeng , lawrence jacobs , tie zhong , xiang liu","jesse anton , lawrence jacobs , xiang liu , jordan parker , zheng zeng , tie zhong",sigmod conference,international conference on management of data,2002,2002
form-based proxy caching for database-backed web sites,web caching for database applications with oracle web cache,"jeffrey f. naughton , qiong luo","jesse anton , lawrence jacobs , xiang liu , jordan parker , zheng zeng , tie zhong",vldb,international conference on management of data,2001,2002
issues and evaluations of caching solutions for web application acceleration 2002,web caching for database applications with oracle web cache,"oliver po , divyakant agrawal , radu sion , wen-syan li , wang-pin hsiung , dmitri v. kalashnikov , k. selçuk candan","jesse anton , lawrence jacobs , xiang liu , jordan parker , zheng zeng , tie zhong",vldb,international conference on management of data,,2002
"a transaction replication scheme for a replicated database with node autonomy david wai-lok cheung , ada wai-chee fu",web caching for database applications with oracle web cache,,"jesse anton , lawrence jacobs , xiang liu , jordan parker , zheng zeng , tie zhong",vldb,international conference on management of data,1994,2002
combi-operator : database support for data mining applications vldb 2003,web caching for database applications with oracle web cache,"wolfgang lehner , alexander hinneburg , dirk habich","jesse anton , lawrence jacobs , xiang liu , jordan parker , zheng zeng , tie zhong",,international conference on management of data,,2002
"building scalable internet applications with oracle8i server olga peschansky , josé alberto fernández , julie basu",web caching for database applications with oracle web cache,,"jesse anton , lawrence jacobs , xiang liu , jordan parker , zheng zeng , tie zhong",vldb,international conference on management of data,2000,2002
web caching for database applications with oracle web cache,"dbcache : database caching for web application servers mehmet altinel , qiong luo , sailesh krishnamurthy , c. mohan , hamid pirahesh , bruce g. lindsay , honguk woo , larry brown international conference on management of data 2002","jordan parker , jesse anton , zheng zeng , lawrence jacobs , tie zhong , xiang liu",,sigmod conference,,2002,
"transparent mid-tier database caching in sql server per-åke larson , jingren zhou , jonathan goldstein 2003","dbcache : database caching for web application servers mehmet altinel , qiong luo , sailesh krishnamurthy , c. mohan , hamid pirahesh , bruce g. lindsay , honguk woo , larry brown international conference on management of data 2002",,,sigmod conference,,,
form-based proxy caching for database-backed web sites,"dbcache : database caching for web application servers mehmet altinel , qiong luo , sailesh krishnamurthy , c. mohan , hamid pirahesh , bruce g. lindsay , honguk woo , larry brown international conference on management of data 2002","jeffrey f. naughton , qiong luo",,vldb,,2001,
combi-operator : database support for data mining applications vldb 2003,"dbcache : database caching for web application servers mehmet altinel , qiong luo , sailesh krishnamurthy , c. mohan , hamid pirahesh , bruce g. lindsay , honguk woo , larry brown international conference on management of data 2002","wolfgang lehner , alexander hinneburg , dirk habich",,,,,
caching technologies for web applications c. mohan vldb,"dbcache : database caching for web application servers mehmet altinel , qiong luo , sailesh krishnamurthy , c. mohan , hamid pirahesh , bruce g. lindsay , honguk woo , larry brown international conference on management of data 2002",,,,,2001,
gigascope : a stream database for network applications 2003,"dbcache : database caching for web application servers mehmet altinel , qiong luo , sailesh krishnamurthy , c. mohan , hamid pirahesh , bruce g. lindsay , honguk woo , larry brown international conference on management of data 2002","theodore johnson , charles d. cranor , oliver spatscheck , vladislav shkapenyuk",,sigmod conference,,,
"middle-tier database caching for e-business hamid pirahesh , c. mohan , jeffrey f. naughton , sailesh krishnamurthy , honguk woo , qiong luo , bruce g. lindsay","dbcache : database caching for web application servers mehmet altinel , qiong luo , sailesh krishnamurthy , c. mohan , hamid pirahesh , bruce g. lindsay , honguk woo , larry brown international conference on management of data 2002",,,sigmod conference,,2002,
"dbcache : middle-tier database caching for highly scalable e-business architectures c. mohan , sailesh krishnamurthy , mehmet altinel , christof bornhövd , hamid pirahesh , berthold reinwald sigmod conference","dbcache : database caching for web application servers mehmet altinel , qiong luo , sailesh krishnamurthy , c. mohan , hamid pirahesh , bruce g. lindsay , honguk woo , larry brown international conference on management of data 2002",,,,,2003,
"sybase replication server mark deppe , yongdong wang , alex gorelik sigmod conference 1994","dbcache : database caching for web application servers mehmet altinel , qiong luo , sailesh krishnamurthy , c. mohan , hamid pirahesh , bruce g. lindsay , honguk woo , larry brown international conference on management of data 2002",,,,,,
web caching for database applications with oracle web cache,"storhouse metanoia - new applications for database , storage & ; data warehousing felipe cari &#241; o , jr. , pekka kostamaa , art kaufmann , john burgess 2001","jordan parker , jesse anton , zheng zeng , lawrence jacobs , tie zhong , xiang liu",,sigmod conference,international conference on management of data,2002,
dec data distributor : for data replication and data warehousing daniel j. dietterich sigmod conference,"storhouse metanoia - new applications for database , storage & ; data warehousing felipe cari &#241; o , jr. , pekka kostamaa , art kaufmann , john burgess 2001",,,,international conference on management of data,1994,
"storhouse metanoia - new applications for database , storage & data warehousing sigmod conference 2001","storhouse metanoia - new applications for database , storage & ; data warehousing felipe cari &#241; o , jr. , pekka kostamaa , art kaufmann , john burgess 2001","felipe cariño , pekka kostamaa , art kaufmann , john burgess",,,international conference on management of data,,
oracle industrial exhibit 1998,objectivity industrial exhibit objectivity very large data bases,amy pogue,,vldb,,,1998
objectivity industrial exhibit vldb 1998,objectivity industrial exhibit objectivity very large data bases,objectivity,,,,,1998
oracle industrial exhibit 1998,oracle industrial exhibit amy pogue very large data bases,amy pogue,,vldb,,,1998
extracting large-scale knowledge bases from the web,amalgamating knowledge bases v. s. subrahmanian acm transactions on database systems ( tods ),"andrew tomkins , prabhakar raghavan , ravi kumar , sridhar rajagopalan",,vldb,,1999,1994
updating knowledge bases while maintaining their consistency,amalgamating knowledge bases v. s. subrahmanian acm transactions on database systems ( tods ),"antoni olivé , ernest teniente",,vldb j.,,1995,1994
"building knowledge base management systems thodoros topaloglou , adel shrufi , vinay k. chaudhri , dimitris plexousakis , john mylopoulos vldb j.",amalgamating knowledge bases v. s. subrahmanian acm transactions on database systems ( tods ),,,,,1996,1994
amalgamating knowledge bases v. s. subrahmanian,amalgamating knowledge bases v. s. subrahmanian acm transactions on database systems ( tods ),,,acm trans . database syst .,,1994,1994
efficient optimistic concurrency control using loosely synchronized clocks sigmod conference,efficient optimistic concurrency control using loosely synchronized clocks,"barbara liskov , atul adya , robert gruber , umesh maheshwari","atul adya , robert gruber , barbara liskov , umesh maheshwari",,international conference on management of data,1995,1995
efficient concurrency control in multidimensional access methods 1999,efficient optimistic concurrency control using loosely synchronized clocks,"sharad mehrotra , kaushik chakrabarti","atul adya , robert gruber , barbara liskov , umesh maheshwari",sigmod conference,international conference on management of data,,1995
efficient optimistic concurrency control using loosely synchronized clocks sigmod conference,efficient concurrency control for broadcast environments international conference on management of data,"barbara liskov , atul adya , robert gruber , umesh maheshwari","jayavel shanmugasundaram , arvind nithrakashyap , rajendran sivasankaran , krithi ramamritham",,,1995,1999
"efficient concurrency control for broadcast environments arvind nithrakashyap , rajendran m. sivasankaran , jayavel shanmugasundaram , krithi ramamritham sigmod conference 1999",efficient concurrency control for broadcast environments international conference on management of data,,"jayavel shanmugasundaram , arvind nithrakashyap , rajendran sivasankaran , krithi ramamritham",,,,1999
"odefs : a file system interface to an object-oriented database narain h. gehani , william d. roome , h. v. jagadish vldb",unisql/x unified relational and object-oriented database system won kim 1994,,,,international conference on management of data,1994,
query unnesting in object-oriented databases leonidas fegaras 1998,unisql/x unified relational and object-oriented database system won kim 1994,,,sigmod conference,international conference on management of data,,
"the algres testbed of chimera : an active object-oriented database system giuseppe psaila , stefano ceri , stefano paraboschi , piero fraternali",unisql/x unified relational and object-oriented database system won kim 1994,,,sigmod conference,international conference on management of data,1995,
"naos - efficient and modular reactive capabilities in an object-oriented database system thierry coupaye , t. svensen , christine collet",unisql/x unified relational and object-oriented database system won kim 1994,,,vldb,international conference on management of data,1994,
static detection of security flaws in object-oriented databases keishi tajima sigmod conference 1996,unisql/x unified relational and object-oriented database system won kim 1994,,,,international conference on management of data,,
implementation of magic-sets in a relational database system sigmod conference,unisql/x unified relational and object-oriented database system won kim 1994,"inderpal singh mumick , hamid pirahesh",,,international conference on management of data,1994,
"a logical foundation for deductive object-oriented databases mengchi liu , tok wang ling , gillian dobbie acm trans . database syst . 2002",unisql/x unified relational and object-oriented database system won kim 1994,,,,international conference on management of data,,
an effective deductive object-oriented database through language integration 1994,unisql/x unified relational and object-oriented database system won kim 1994,"m. howard williams , norman w. paton , andrew dinn , maria l. barja , alvaro a. a. fernandes",,vldb,international conference on management of data,,
extraction of object-oriented structures from existing relational databases,unisql/x unified relational and object-oriented database system won kim 1994,"julia e. hodges , shekar ramanathan",,sigmod record,international conference on management of data,1997,
the ccube constraint object-oriented database system sigmod conference,unisql/x unified relational and object-oriented database system won kim 1994,"alexander brodsky , pavel a. exarkhopoulo , victor e. segal , jia chen",,,international conference on management of data,1999,
"storing and querying ordered xml using a relational database system kevin s. beyer , jayavel shanmugasundaram , chun zhang , igor tatarinov , stratis viglas , eugene j. shekita sigmod conference 2002",unisql/x unified relational and object-oriented database system won kim 1994,,,,international conference on management of data,,
unisql/x unified relational and object-oriented database system won kim sigmod conference,unisql/x unified relational and object-oriented database system won kim 1994,,,,international conference on management of data,1994,
"calibrating the query optimizer cost model of iro-db , an object-oriented federated database system 1996",unisql/x unified relational and object-oriented database system won kim 1994,"zhao-hui tang , fei sha , georges gardarin",,vldb,international conference on management of data,,
"olap , relational , and multidimensional database systems george colliat sigmod record 1996",unisql/x unified relational and object-oriented database system won kim 1994,,,,international conference on management of data,,
managing intervals efficiently in object-relational databases vldb 2000,unisql/x unified relational and object-oriented database system won kim 1994,"thomas seidl , marco pötke , hans-peter kriegel",,,international conference on management of data,,
"mosaico - a system for conceptual modeling and rapid prototyping of object-oriented database application m. toiati , michele missikoff sigmod conference 1994",unisql/x unified relational and object-oriented database system won kim 1994,,,,international conference on management of data,,
java and relational databases : sqlj ( tutorial ) sigmod conference 1998,unisql/x unified relational and object-oriented database system won kim 1994,"johannes klein , richard pledereder , gray clossman , brian becker , phil shaw , mark hapner",,,international conference on management of data,,
"semantic integrity support in sql : 1999 and commercial ( object - ) relational database management systems michael gertz , can türker vldb j. 2001",unisql/x unified relational and object-oriented database system won kim 1994,,,,international conference on management of data,,
"integrating a structured-text retrieval system with an object-oriented database system jurgen annevelink , tak w. yan",unisql/x unified relational and object-oriented database system won kim 1994,,,vldb,international conference on management of data,1994,
"object-relational database systems : principles , products , and challenges ( tutorial )",unisql/x unified relational and object-oriented database system won kim 1994,"michael j. carey , anil nori , nelson mendonça mattos",,sigmod conference,international conference on management of data,1997,
"odefs : a file system interface to an object-oriented database narain h. gehani , william d. roome , h. v. jagadish vldb",integrating a structured-text retrieval system with an object-oriented database system very large data bases,,"tak w. yan , jurgen annevelink",,,1994,1994
"naos - efficient and modular reactive capabilities in an object-oriented database system thierry coupaye , t. svensen , christine collet",integrating a structured-text retrieval system with an object-oriented database system very large data bases,,"tak w. yan , jurgen annevelink",vldb,,1994,1994
index configuration in object-oriented databases elisa bertino vldb j. 1994,integrating a structured-text retrieval system with an object-oriented database system very large data bases,,"tak w. yan , jurgen annevelink",,,,1994
"the trigs active object-oriented database system - an overview gerti kappel , werner retschitzegger 1998",integrating a structured-text retrieval system with an object-oriented database system very large data bases,,"tak w. yan , jurgen annevelink",sigmod record,,,1994
integrating mining with relational database systems : alternatives and implications,integrating a structured-text retrieval system with an object-oriented database system very large data bases,"shiby thomas , rakesh agrawal , sunita sarawagi","tak w. yan , jurgen annevelink",sigmod conference,,1998,1994
converting relational to object-oriented databases sigmod record 1997,integrating a structured-text retrieval system with an object-oriented database system very large data bases,joseph fong,"tak w. yan , jurgen annevelink",,,,1994
unisql/x unified relational and object-oriented database system won kim sigmod conference,integrating a structured-text retrieval system with an object-oriented database system very large data bases,,"tak w. yan , jurgen annevelink",,,1994,1994
evaluating functional joins along nested reference sets in object-relational and object-oriented databases vldb,integrating a structured-text retrieval system with an object-oriented database system very large data bases,"alfons kemper , reinhard braumandl , jens clau_en","tak w. yan , jurgen annevelink",,,1998,1994
"mosaico - a system for conceptual modeling and rapid prototyping of object-oriented database application m. toiati , michele missikoff sigmod conference 1994",integrating a structured-text retrieval system with an object-oriented database system very large data bases,,"tak w. yan , jurgen annevelink",,,,1994
"integrating heterogenous overlapping databases through object-oriented transformations tore risch , vanja josifovski vldb",integrating a structured-text retrieval system with an object-oriented database system very large data bases,,"tak w. yan , jurgen annevelink",,,1999,1994
hyperstorm - administering structured documents using object-oriented database technology,integrating a structured-text retrieval system with an object-oriented database system very large data bases,"karl aberer , klemens böhm","tak w. yan , jurgen annevelink",sigmod conference,,1996,1994
integrating contents and structure in text retrieval sigmod record 1996,integrating a structured-text retrieval system with an object-oriented database system very large data bases,"gonzalo navarro , ricardo a. baeza-yates","tak w. yan , jurgen annevelink",,,,1994
"odefs : a file system interface to an object-oriented database narain h. gehani , william d. roome , h. v. jagadish vldb","an effective deductive object-oriented database through language integration maria l. barja , norman w. paton , alvaro a. a. fernandes , m. howard williams , andrew dinn very large data bases 1994",,,,,1994,
"a taxonomy for secure object-oriented databases sebastiaan h. von solms , martin s. olivier","an effective deductive object-oriented database through language integration maria l. barja , norman w. paton , alvaro a. a. fernandes , m. howard williams , andrew dinn very large data bases 1994",,,acm trans . database syst .,,1994,
"the algres testbed of chimera : an active object-oriented database system giuseppe psaila , stefano ceri , stefano paraboschi , piero fraternali","an effective deductive object-oriented database through language integration maria l. barja , norman w. paton , alvaro a. a. fernandes , m. howard williams , andrew dinn very large data bases 1994",,,sigmod conference,,1995,
"procedures in object-oriented query languages kazimierz subieta , jacek leszczylowski , yahiko kambayashi 1995","an effective deductive object-oriented database through language integration maria l. barja , norman w. paton , alvaro a. a. fernandes , m. howard williams , andrew dinn very large data bases 1994",,,vldb,,,
index configuration in object-oriented databases elisa bertino vldb j. 1994,"an effective deductive object-oriented database through language integration maria l. barja , norman w. paton , alvaro a. a. fernandes , m. howard williams , andrew dinn very large data bases 1994",,,,,,
"the trigs active object-oriented database system - an overview gerti kappel , werner retschitzegger 1998","an effective deductive object-oriented database through language integration maria l. barja , norman w. paton , alvaro a. a. fernandes , m. howard williams , andrew dinn very large data bases 1994",,,sigmod record,,,
exact : an extensible approach to active object-oriented databases vldb j. 1997,"an effective deductive object-oriented database through language integration maria l. barja , norman w. paton , alvaro a. a. fernandes , m. howard williams , andrew dinn very large data bases 1994","arturo jaime , oscar díaz",,,,,
an efficient method for checking object-oriented database schema correctness,"an effective deductive object-oriented database through language integration maria l. barja , norman w. paton , alvaro a. a. fernandes , m. howard williams , andrew dinn very large data bases 1994","michele missikoff , anna formica , hans dietmar gröger",,acm trans . database syst .,,1998,
an effective deductive object-oriented database through language integration 1994,"an effective deductive object-oriented database through language integration maria l. barja , norman w. paton , alvaro a. a. fernandes , m. howard williams , andrew dinn very large data bases 1994","m. howard williams , norman w. paton , andrew dinn , maria l. barja , alvaro a. a. fernandes",,vldb,,,
"integrating a structured-text retrieval system with an object-oriented database system jurgen annevelink , tak w. yan","an effective deductive object-oriented database through language integration maria l. barja , norman w. paton , alvaro a. a. fernandes , m. howard williams , andrew dinn very large data bases 1994",,,vldb,,1994,
"integrating heterogenous overlapping databases through object-oriented transformations tore risch , vanja josifovski vldb","an effective deductive object-oriented database through language integration maria l. barja , norman w. paton , alvaro a. a. fernandes , m. howard williams , andrew dinn very large data bases 1994",,,,,1999,
"odefs : a file system interface to an object-oriented database narain h. gehani , william d. roome , h. v. jagadish vldb",odefs : a file system interface to an object-oriented database very large data bases 1994,,"narain h. gehani , h. v. jagadish , william d. roome",,,1994,
query unnesting in object-oriented databases leonidas fegaras 1998,odefs : a file system interface to an object-oriented database very large data bases 1994,,"narain h. gehani , h. v. jagadish , william d. roome",sigmod conference,,,
"a taxonomy for secure object-oriented databases sebastiaan h. von solms , martin s. olivier",odefs : a file system interface to an object-oriented database very large data bases 1994,,"narain h. gehani , h. v. jagadish , william d. roome",acm trans . database syst .,,1994,
lambda-db : an odmg-based object-oriented dbms 2000,odefs : a file system interface to an object-oriented database very large data bases 1994,"arvind rajendran , david maier , leonidas fegaras , chandrasekhar srinivasan","narain h. gehani , h. v. jagadish , william d. roome",sigmod conference,,,
"the algres testbed of chimera : an active object-oriented database system giuseppe psaila , stefano ceri , stefano paraboschi , piero fraternali",odefs : a file system interface to an object-oriented database very large data bases 1994,,"narain h. gehani , h. v. jagadish , william d. roome",sigmod conference,,1995,
"naos - efficient and modular reactive capabilities in an object-oriented database system thierry coupaye , t. svensen , christine collet",odefs : a file system interface to an object-oriented database very large data bases 1994,,"narain h. gehani , h. v. jagadish , william d. roome",vldb,,1994,
index configuration in object-oriented databases elisa bertino vldb j. 1994,odefs : a file system interface to an object-oriented database very large data bases 1994,,"narain h. gehani , h. v. jagadish , william d. roome",,,,
"the trigs active object-oriented database system - an overview gerti kappel , werner retschitzegger 1998",odefs : a file system interface to an object-oriented database very large data bases 1994,,"narain h. gehani , h. v. jagadish , william d. roome",sigmod record,,,
exact : an extensible approach to active object-oriented databases vldb j. 1997,odefs : a file system interface to an object-oriented database very large data bases 1994,"arturo jaime , oscar díaz","narain h. gehani , h. v. jagadish , william d. roome",,,,
"a cost model for clustered object-oriented databases zhao-hui tang , jean-robert gruser , georges gardarin vldb 1995",odefs : a file system interface to an object-oriented database very large data bases 1994,,"narain h. gehani , h. v. jagadish , william d. roome",,,,
an effective deductive object-oriented database through language integration 1994,odefs : a file system interface to an object-oriented database very large data bases 1994,"m. howard williams , norman w. paton , andrew dinn , maria l. barja , alvaro a. a. fernandes","narain h. gehani , h. v. jagadish , william d. roome",vldb,,,
the ccube constraint object-oriented database system sigmod conference,odefs : a file system interface to an object-oriented database very large data bases 1994,"alexander brodsky , pavel a. exarkhopoulo , victor e. segal , jia chen","narain h. gehani , h. v. jagadish , william d. roome",,,1999,
"calibrating the query optimizer cost model of iro-db , an object-oriented federated database system 1996",odefs : a file system interface to an object-oriented database very large data bases 1994,"zhao-hui tang , fei sha , georges gardarin","narain h. gehani , h. v. jagadish , william d. roome",vldb,,,
the persistent cache : improving oid indexing in temporal object-oriented database systems kjetil nørvåg vldb 1999,odefs : a file system interface to an object-oriented database very large data bases 1994,,"narain h. gehani , h. v. jagadish , william d. roome",,,,
"design and user testing of a multi-paradigm query interface to an object-oriented database dac khoa doan , alistair c. kilgour , norman w. paton sigmod record 1995",odefs : a file system interface to an object-oriented database very large data bases 1994,,"narain h. gehani , h. v. jagadish , william d. roome",,,,
"odefs : a file system interface to an object-oriented database narain h. gehani , william d. roome , h. v. jagadish vldb","semcog : an object-based image retrieval system and its visual query interface wen-syan li , k. sel &#231; uk candan , kyoji hirata , yoshinori hara",,,,international conference on management of data,1994,1997
semcog : an object-based image retrieval system and its visual query interface sigmod conference,"semcog : an object-based image retrieval system and its visual query interface wen-syan li , k. sel &#231; uk candan , kyoji hirata , yoshinori hara","k. selçuk candan , wen-syan li , kyoji hirata , yoshinori hara",,,international conference on management of data,1997,1997
"odefs : a file system interface to an object-oriented database narain h. gehani , william d. roome , h. v. jagadish vldb",the persistent cache : improving oid indexing in temporal object-oriented database systems very large data bases 1999,,kjetil n &#248; rv &#229; g,,,1994,
query unnesting in object-oriented databases leonidas fegaras 1998,the persistent cache : improving oid indexing in temporal object-oriented database systems very large data bases 1999,,kjetil n &#248; rv &#229; g,sigmod conference,,,
"index nesting - an efficient approach to indexing in object-oriented databases jiawei han , beng chin ooi , hongjun lu , kian-lee tan",the persistent cache : improving oid indexing in temporal object-oriented database systems very large data bases 1999,,kjetil n &#248; rv &#229; g,vldb j.,,1996,
index configuration in object-oriented databases elisa bertino vldb j. 1994,the persistent cache : improving oid indexing in temporal object-oriented database systems very large data bases 1999,,kjetil n &#248; rv &#229; g,,,,
"the trigs active object-oriented database system - an overview gerti kappel , werner retschitzegger 1998",the persistent cache : improving oid indexing in temporal object-oriented database systems very large data bases 1999,,kjetil n &#248; rv &#229; g,sigmod record,,,
"the hcc-tree : an efficient index structure for object oriented databases b. sreenath , s. seshadri 1994",the persistent cache : improving oid indexing in temporal object-oriented database systems very large data bases 1999,,kjetil n &#248; rv &#229; g,vldb,,,
"description logics for semantic query optimization in object-oriented database systems claudio sartori , sonia bergamaschi , domenico beneventano",the persistent cache : improving oid indexing in temporal object-oriented database systems very large data bases 1999,,kjetil n &#248; rv &#229; g,acm trans . database syst .,,2003,
the ccube constraint object-oriented database system sigmod conference,the persistent cache : improving oid indexing in temporal object-oriented database systems very large data bases 1999,"alexander brodsky , pavel a. exarkhopoulo , victor e. segal , jia chen",kjetil n &#248; rv &#229; g,,,1999,
unisql/x unified relational and object-oriented database system won kim sigmod conference,the persistent cache : improving oid indexing in temporal object-oriented database systems very large data bases 1999,,kjetil n &#248; rv &#229; g,,,1994,
the persistent cache : improving oid indexing in temporal object-oriented database systems kjetil nørvåg vldb 1999,the persistent cache : improving oid indexing in temporal object-oriented database systems very large data bases 1999,,kjetil n &#248; rv &#229; g,,,,
"odefs : a file system interface to an object-oriented database narain h. gehani , william d. roome , h. v. jagadish vldb",a cost model for clustered object-oriented databases very large data bases 1995,,"georges gardarin , jean-robert gruser , zhao-hui tang",,,1994,
"index nesting - an efficient approach to indexing in object-oriented databases jiawei han , beng chin ooi , hongjun lu , kian-lee tan",a cost model for clustered object-oriented databases very large data bases 1995,,"georges gardarin , jean-robert gruser , zhao-hui tang",vldb j.,,1996,
index configuration in object-oriented databases elisa bertino vldb j. 1994,a cost model for clustered object-oriented databases very large data bases 1995,,"georges gardarin , jean-robert gruser , zhao-hui tang",,,,
static detection of security flaws in object-oriented databases keishi tajima sigmod conference 1996,a cost model for clustered object-oriented databases very large data bases 1995,,"georges gardarin , jean-robert gruser , zhao-hui tang",,,,
