ltable_title,rtable_title,ltable_authors,rtable_authors,ltable_venue,rtable_venue,ltable_year,rtable_year
client-server paradise,and j. yu . client-server paradise,d dewitt;n kabra;j luo;j patel;j yu,dj dewitt;n kabra;j luo;jm pate,vldb,proceedings ofthe twentieth international conference on vey & hellip,1994,1997.6
mining fuzzy association rules in databases,mining association rules between sets of items in large databases . 1993,c kuok;a fu;m wong,r agrawal;t imielinski;a swami,sigmod record,proc . acm sigmod international conference on management of,1998,1997.6
view maintenance in a warehousing environment,incremental cluster for mining in a data warehousing environment,y zhuge;h garcia-molina;j hammer;j widom,m ester;h kriegel;j sander;m wimmer;x xu,sigmod conference,proc . of 24 thintÃ¢ ?? l conf . of vldb,1995,1997.6
re-tree : an efficient index structure for regular expressions,the tv-tree : an index structure forhigh-dimensional data,c chan;m garofalakis;r rastogi,ki lin;h jagadish;c faloutsos,vldb j.,the vldb journal,2003,1997.6
picodmbs : scaling down database techniques for the smartcard,database techniques for the world-wide web : a survey,c bobineau;l bouganim;p pucheral;p valduriez,d florescu;a levy;a mendelzon,vldb,sigmod record,2000,1998
open object database management systems,case for output management systems .,,k schwaber,,computerworld.,1994,1981
query processing in spatial network databases,redundancy in spatial databases,d papadias;j zhang;n mamoulis;y tao,ja orenstein,vldb,,2003,1997.6
dual-buffering strategies in object bases,dual-buffering strategies in object bases,a kemper;d kossmann,a kemper;d kossmann,vldb,vldb,1994,1994
streaming queries over streaming data,processing complex aggregate queries over data streams,s chandrasekaran;m franklin,a dobra;mn garofalakis;j gehrke;r rastogi,vldb,sigmod conference,2002,2002
algorithms for mining association rules for binary segmentations of huge categorical databases,algorithms for mining association rules in bag databases,y morimoto;t fukuda;h matsuzawa;t tokuyama;k yoda,py hsu;yl chen;cc ling,vldb,information sciencesÃ¢ ?? informatics and computer science : an & hellip,1998,2004
the a-tree : an index structure for high-dimensional spaces using relative approximation,the ssÃ£ Â· - tree : an improved index structure for similarity searches in a high-dimensional feature,y sakurai;m yoshikawa;s uemura;h kojima,r kurniawati;js jin;ja shepherd,vldb,,2000,1997.6
foreword : management of semistructured data,lore : a database management system for semistructued data,,j mchugh;s abiteboul;r goldmanÃ¢ ? Â¦,,acm sigmod,1997,1997.6
optimizing queries with universal quantification in object-oriented and object-relational databases,maximal objects and the semantics of universal relation databases,j clauÐ¿en;a kemper;g moerkotte;k peithner,d maier;jd ullman,vldb,acm transactions on database systems,1997,1983
index nesting - an efficient approach to indexing in object-oriented databases,spatial query processing in an object-oriented database system,b ooi;j han;h lu;k tan,ja orenstein,vldb j.,proceedings of the 1986 acm sigmod international conference,1996,1997.6
an efficient method for performing record deletions and updates using index scans,an efficient indexing method for partitioned data,c mohan,d choy;c mohan,vldb,ibm research report;ibm almaden research center;january,2002,1997.6
keynote address,keynote address,,t bailey,,women in aviation international conference;reno;nv;march,1995,1997.6
extraction of object-oriented structures from existing relational databases,cost-based selection of path expression processing algorithms in object-oriented databases,s ramanathan;j hodges,g gardarin;jr gruser;zh tang,sigmod record,proceedings of the international conference on very large & hellip,1997,1996
join index hierarchies for supporting efficient navigations in object-oriented databases,support for polylingual persistence;interoperability and naming in object-oriented databases,z xie;j han,a kaplan;jcp wileden,vldb,technical report tr-96-4;university of massachusetts;computer,1994,1997.6
semantics for update rule programs and implementations in a relational database management system,performance analysis of a relational data base management system,l raschid;j lobo,p hawthorn;m stonebraker,acm trans . database syst .,proceedings of the 1979 acm sigmod international conference,1996,1997.6
meaningful change detection in structured data,j. widom change detection in hierarchically structured information,s chawathe;h garcia-molina,s chawathe;a rajaraman;h garcia-molina,sigmod conference,proc . of the acm sigmod int . conf . on management of,1997,1997.6
editorial,eic editorial,,ps yu,,ieee transactions on knowledge and data engineering,2001,2004
data management research at the mitre corporation,the management transition,a rosenthal;l seligman;c mccollum;b blaustein;b thuraisingham;e lafferty,l goff,sigmod record,computerworld,1995,1997.6
energy and rate based mac protocol for wireless sensor networks,implementation and research issues in query processing for wireless sensor networks,r kannan;r kalidindi;s iyengar;v kumar,w hong;s madden,sigmod record,,2003,1997.6
dwms : data warehouse management system,the active database management systems manifesto,n mohan,kr dittrich;s gatziu;a geppert,vldb,sigmod record,1996,1997.6
information management for genome level bioinformatics,implementing information management strategies .,,cet rohm,,new directions for higher education,2001,1986
recovering information from summary data,recovering information from summary data,c faloutsos;h jagadish;n sidiropoulos,hv jagadish;nd sidiropoulost,vldb,,1997,1997.6
efficiently mining long patterns from databases,efficient timestamping in databases,r jr.,k torp;cs jensen;rt snodgrass,sigmod conference,vldb journal;to,1998,1997.6
editor ¡¯s notes,editors ¡¯ notes,l liu,r picciotto;rc rist,sigmod record,new directions for program evaluation,2003,1995
a performance study of transitive closure algorithms,a performance study of transitive closure algorithms,s dar;r ramakrishnan,s dar;r ramakrishnan,sigmod conference,sigmod conference,1994,1994
aurora : a data stream management system,bayan : an arabic text database management system,d abadi;d carney;u Ñ‡etintemel;m cherniack;c convey;c erwin;e galvez;m hatoun;a maskey;a rasin;a singer;m stonebraker;n tatbul;y xing;r yan;s zdonik,r king;a morfeq,sigmod conference,proceedings of the 1990 acm sigmod international conference & hellip,2003,1990
chair ¡¯s message,sigcas chair ¡¯s message,,cd martin,,computers and society,1998,1997.6
database techniques for the world-wide web : a survey,mendelzon . database techniques for the world-w ide-wide : a survey,d florescu;a levy;a mendelzon,d florescu;a levy,sigmod record,sigmod record,1998,1997.6
guest editorial,guest editor ¡¯s introduction,,k aberer,,acm sigmod record,2000,2003
special issue on data mining for intrusion detection and threat analysis - guest editor ¡¯s introduction,guest editors ¡¯ introduction : special section on mining and searching the web,,b liu;s chakrabarti,,ieee transactions on knowledge and data engineering,2001,2004
editorial,guest editorial,,c allocchio,,computer networks,2001,2000
birch : an efficient data clustering method for very large databases,efficient and effective clustering methods for spatial data mining,t zhang;r ramakrishnan;m livny,tn raymond;j han,sigmod conference,proc . of vldb conf,1996,1997.6
infomaster : an information integration system,peersdi : a peer-to-peer information dissemination system,m genesereth;a keller;o duschka,k zhao;s zhou;l xu;w cai;a zhou,sigmod conference,,1997,1997.6
editor ¡¯s notes,editor ¡¯s notes,l liu,r goldstein,sigmod record,the american statistician,2002,1996
olap;relational;and multidimensional database systems,management of multidimensional discrete data in database systems,g colliat,pasb furtado,sigmod record,,1996,1997.6
efficient filtering of xml documents for selective dissemination of information,xfilter : efficient filtering of xml documents for selective dissemination of information,m altinel;m franklin,m altinel;m franklin,vldb,proceedings of the 26th vldb conference;egypt,2000,1997.6
optimizing queries across diverse data sources,optimizing existential queries,l haas;d kossmann;e wimmers;j yang,r ramakrishnan;c beeri;r krishnamurthy,vldb,& hellip . sigact-sigmod principles of database systems conference ( & hellip,1997,1997.6
groupwise processing of relational queries,on line processing of compacted relations,d chatziantoniou;k ross,f bancilhon;p richard;m scholl,vldb,vldb,1997,1982
a data model and data structures for moving objects databases,1548 classic : a structural data model for objects . 1549 in,l forlizzi;r gÑœting;e nardelli;m schneider,a borgida;rj brachman;dl mcguinness;la resnick,sigmod conference,proceedings of the 1989 acm sigmod international conference,2000,1997.6
procedures in object-oriented query languages,semantics and implementation of schema evolution in object-oriented languages,k subieta;y kambayashi;j leszczylowski,j banerjee;w kim;hj kim;hk forth,vldb,proceedings of the acm sigmod annual,1995,1997.6
one-dimensional and multi-dimensional substring selectivity estimation,one-dimensional and multi-dimensional substring selectivity estimation,h jagadish;o kapitskaia;r ng;d srivastava,hv jagadish;o kapitskaia;rt ng;d srivastava,vldb j.,the vldb journal the international journal on very large & hellip,2000,2000
secure transaction processing in firm real-time database systems,data abstraction and transaction processing in the database programming language rapp,b george;j haritsa,jg hughes;m connolly,sigmod conference,acm press frontier series,1997,1990
the ecrc multi database system,the ores temporal database system,w jonker;h schÑœtz,b theodolidis;ga ait-braham;j chaudhary;g,sigmod conference,proc . acm sigmod conf . on the management of data,1995,1997.6
databases and visualization,delaunay : a database visualization system,d keim,wt lucas;if cruz;m radzyminski;m averbuch;k,sigmod conference,sigmod rec,1996,1997
reminiscences on influential papers,reminiscences on influential papers,,r snodgrass,,acm transactions on database systems,1998,1976
secure transaction processing in firm real-time database systems,scheduling real-time transactions,b george;j haritsa,rk abbott;h garcia-molina,sigmod conference,sigmod record,1997,1988
pm3 : an orthogonal persistent systems programming language - design;implementation;performance,hydice system : implementation and performance,a hosking;j chen,rw basedow;me anderson,vldb,proc . spie,1999,1995
extraction of object-oriented structures from existing relational databases,translating update operations from relational to object-oriented databases,s ramanathan;j hodges,pm reppert;fd morgan;mn toksoz;x zhang;j fong,sigmod record,information and software technology,1997,2000
relational data sharing in peer-based data management systems,access pathselectionina relationaldatabase management system,b ooi;y shu;k tan,p selinger;mm astrahan;dd chamberlin;ra lorie,sigmod record,proceedings of the acm-sigmod international conference on & hellip,2003,1997.6
automated selection of materialized views and indexes in sql databases,materialized view selection for multidimensional database,s agrawal;s chaudhuri;v narasayya,a shukla;p deshpande,vldb,proceedings of 24 international conference on very large & hellip,2000,1997.6
bypassing joins in disjunctive queries,bypassing joins in disjunctive queries,m steinbrunn;k peithner;g moerkotte;a kemper,acm.org,vldb,vldb,1995,1995
optimizing the secure evaluation of twig queries,on the minimization of xpath queries,s cho;s amer-yahia;l lakshmanan;d srivastava,s bottcher,vldb,,2002,1997.6
data partitioning and load balancing in parallel disk systems,dynamic multi-resource load balancing in parallel db systems,p scheuermann;g weikum;p zabback,e rahm;r marek,vldb j.,international conf . on very large data bases ( vldb ),1998,1997.6
the ores temporal database management system,lore : a database management system for semistructured data,b theodoulidis;a ait-braham;g andrianopoulos;j chaudhary;g karvelis;s sou,j mchugh;s abiteboul;r goldman;d quass;j widom,sigmod conference,sigmod record,1994,1997
keynote address,keynote address,,r reich,,& hellip labor;bureau of international labor affairs;international & hellip,1995,1997.6
processing set expressions over continuous update streams,processing of continuous queries over unlimited data streams,s ganguly;m garofalakis;r rastogi,e vossough;jr getta,sigmod conference,,2003,1997.6
introduction to the career forum column,introduction,a labrinidis,p alston,sigmod record,see ref,2001,1990
foundations of preferences in database systems,designing relational database systems,w kieÐ¿ling,r riordan,vldb,,2002,1999
locating data sources in large distributed systems,locating data sources in large distributed systems,l galanis;y wang;s jeffery;d dewitt,l galanis;y wang;sr jeffery;dj dewitt,vldb,vldb,2003,2003
on supporting containment queries in relational database management systems,buer managementin relational database systems,c zhang;j naughton;d dewitt;q luo;g lohman,gm sacco;m schkolnick,sigmod conference,acm transactions on database systems,2001,1997.6
discover : keyword search in relational databases,the theory of joins in relational databases,v hristidis;y papakonstantinou,av ario;c beer;jd ullman,vldb,acm trans . database syst,2002,1997.6
some issues in design of distributed deductive databases,reactive consistency control in deductive databases,m mohania;n sarda,g moerkotte;pc lockemann,vldb,acm transactions on database systems,1994,1991
database management systems and the internet,relational data-base management systems,s malaika,dd chamberlin,vldb,acm computing surveys ( csur ),1996,1976
guest editorial,guest editorial,,rc holte,,machine learning,2000,2001
spatial queries in dynamic environments,location-based spatial queries with data sharing in mobile environment,y tao;d papadias,ws ku;r zimmermann;cn wan,acm trans . database syst .,,2003,1997.6
a scalable architecture for autonomous heterogeneous database interactions,graphical interaction with heterogeneous databases,s milliner;a bouguettaya;m papazoglou,t catarci;g santucci;j cardiff,vldb,the vldb journal the international journal on very large & hellip,1995,1997
an open storage system for abstract objects,an abstract-object storage manager,s blott;l relly;h schek,s blott;l relly;hj schek,sigmod conference,& hellip 1996 acm sigmod int . conf . on management of data;acm sigmod,1996,1997.6
warehousing workflow data : challenges and opportunities,expressing cultural identity in the learning community : opportunities and challenges,a bonifati;f casati;u dayal;m shan,am ortiz,vldb,new directions for teaching and learning,2001,2000
extraction of object-oriented structures from existing relational databases,semanticmodelling of object-oriented databases,s ramanathan;j hodges,mbe m & de,sigmod record,hoe . vldb,1997,1997.6
a region splitting strategy for physical database design of multidimensional file organizations,a fondationfor multidimensional databases,j lee;y lee;k whang;i song,m gyssens;l lakshmanan,vldb,proceedings of the 23rd vldb,1997,1997.6
fast algorithms for mining association rules in large databases,sql-like operator for mining association rules,r agrawal;r srikant,r meo;g psaila;s ceri;a new,vldb,proceedings of international conference on very large & hellip,1994,1997.6
implementation of magic-sets in a relational database system,decomposition and composition of a relational database,i mumick;h pirahesh,y tanaka;t tsuda,sigmod conference,vldb,1994,1977
integrating a structured-text retrieval system with an object-oriented database system,event specification in an object-oriented database system,t yan;j annevelink,nh gehani;hv jagadish;o shmueli,vldb,proc . acm sigmod international conference on management of,1994,1997.6
cache conscious algorithms for relational query processing,efficient algorithms for processing xpath queries,a shatdal;c kant;j naughton,g koch;c koch;r pichler,vldb,28th vldb conference,1994,1997.6
deeds towards a distributed and active real-time database system,ditse : an experimental distributed database system,s andler;j hansson;j eriksson;j mellin;m berndtsson;b eftring,n cheng-yao;y shyan-ming,sigmod record,information and software technology,1996,1996
formal query languages for secure relational databases,implementation of logiclal query languages for databases ( abstract only ),m winslett;k smith;x qian,jd ullman,acm trans . database syst .,proceedings of the 1985 acm sigmod international conference & hellip,1994,1985
view management in multimedia databases,management of multidimensional discrete data in database systems,k candan;e lemar;v subrahmanian,pasb furtado,vldb j.,,2000,1997.6
s3 : similarity search in cad database systems,arun swami . efficient similarity search in sequence databases,s berchtold;h kriegel,cf rakeshagrawal,sigmod conference,procs . of the fourth international conference on foundations & hellip,1997,1997.6
active rules for xml : a new paradigm for e-services,active rules for xml : a new paradigm for e-services,a bonifati;s ceri;s paraboschi,a bonifati;s ceri;s paraboschi,vldb j.,the vldb journal the international journal on very large & hellip,2001,2001
materialized view and index selection tool for microsoft sql server 2000,materialized view selection for multidimensional datasets,s agrawal;s chaudhuri;v narasayya,a shukla;p deshpande;jf naughton,sigmod conference,vldb,2001,1998
workflow management with service quality guarantees,workflow management with service quality guarantees,m gillmann;g weikum;w wonner,m gillmann,sigmod conference,,2002,1997.6
on supporting containment queries in relational database management systems,xquery implementation in a relational database system,c zhang;j naughton;d dewitt;q luo;g lohman,s pal;i cseri;o seeliger;m rys;g schaller;w,sigmod conference,submitted for,2001,1997.6
applications of the java programming language to database management,behaviour management in database applications,b burton;v marek,jy lingat;p nobecourt;c rolland,sigmod record,,1998,1997.6
an introduction to spatial database systems,logical introduction to databases,r gÑœting,j grant,vldb j.,,1994,1987
mining fuzzy association rules in databases,efficient parallel data mining for association rules,c kuok;a fu;m wong,js park;ms chen;ps yuÃ¢ ? Â¦,sigmod record,,1998,1997.6
an introduction to spatial database systems,research issues in spatial database systems,r gÑœting,o guenther;a buchmann,vldb j.,sigmod-record;acm,1994,1997.6
answering queries using views : a survey,an algorithm for answering queries efficiently using views,a halevy,p mitra,vldb j.,,2001,1997.6
computing iceberg queries efficiently,computing iceberg queries ecientlyproc . 1996 int,m fang;n shivakumar;h garcia-molina;r motwani;j ullman,m fang;n shivakumar;hg molina;r motwani;jd,vldb,conf . very large data bases,1998,1997.6
database research : achievements and opportunities into the 21st century,database research : achievements and opportunities into the 1st century,a silberschatz;m stonebraker;j ullman,a silberschatz;m stonebraker;j ullman,sigmod record,acm sigmod record,1996,1996
introduction ( special issue on multimedia databases ),special issue on spatial database systems,m Ð¶zsu;s christodoulakis,hj schek,vldb j.,the vldb journalÃ¢ ?? the international journal on very large & hellip,1998,1994
business process cockpit,business process coordination : state of the art,m sayal;f casati;u dayal;m shan,u dayal;m hsu;r ladin,vldb,trends and open issues . ( 2001 ) at proceedings of the 27th & hellip,2002,1997.6
mining generalized association rules,fast algorithms for mining association rules;proc,r srikant;r agrawal,r agrawal;r srikant,vldb,vldb,1995,1997.6
reminiscences on influential papers,reminiscences of an indian official,,o cavenagh,,,2000,1884
the structured information manager : a database system for sgml documents,lore : a database management system for semistructured data,r sacks-davis,s abiteboul;j mchugh;d quass;j widom;r goldman,vldb,sigmod record,1996,1997.6
an asynchronous avoidance-based cache consistency algorithm for client caching dbmss,an asynchronous avoidance-based cache consistency algorithm for client caching dbmss,m Ð¶zsu;k voruganti;r unrau, k voruganti;rc unrau,vldb,vldb,1998,1998
coloring away communication in parallel query optimization,parallel databases : structured query optimization,w hasan;r motwani,n biscondi;a flory;l brunie,vldb,,1995,1997.6
query optimization in compressed database systems,distributed query processing in database systems,z chen;j gehrke;f korn,r epstein;m stonebraker;e wong,sigmod conference,proc . acm sigmod;austin . tx . june,2001,1997.6
simultaneous optimization and evaluation of multiple dimensional queries,optimization of query evaluation algorithms,y zhao;p deshpande;j naughton;a shukla,sb yao,sigmod conference,acm transactions on database systems,1998,1979
an introduction to spatial database systems,an introduction to spatial database systems,r gÑœting,portal.acm.org,vldb j.,,1994,1994
state of the art in workflow management research and products,workflow management systems : state of the art on research and products;tutorial notes,,c mohan,,int . conf . on extending database technology;avignon,1996,1997.6
theory of answering queries using views,a scalable algorithm for answering queries using views,a halevy,ay levy,sigmod record,,2000,1997.6
lore : a database management system for semistructured data,u-dbms : a database system for managing constantly-evolving data,j mchugh;s abiteboul;r goldman;d quass;j widom,r cheng;s singh;s prabhakar,sigmod record,proceedings of the 31st international conference on very & hellip,1997,2005
report on the 4th international conference on mobile data management,shoring up persistent applications;acm sigmod international conference on management of data,,mj carey;dj dewitt;mj franklinÃ¢ ? Â¦,,minneapolis;minnesota . may,2003,1997.6
ordered shared locks for real-time databases,current research on real-time databases,d agrawal;a abbadi;r jeffers;l lin,o ulusoy,vldb j.,sigmod record,1995,1992
reminiscences on influential papers,reminiscences on influential papers,,ka ross,,sigmod,2001,2002
static detection of security flaws in object-oriented databases,structures for manipulating proposed updates in object-oriented databases,k tajima,m doherty;r hull;m rupawalla,sigmod conference,sigmod conference,1996,1996
concurrent garbage collection in o2,opportunistic garbage collection,m skubiszewski;p valduriez,pr wilson,vldb,acm sigplan notices,1997,1988
data management for earth system science,secure score management for p2p systems,j frew;j dozier,b yang;sd kamvar;h garcia-molina,sigmod record,technical report;stanford university,1997,1997.6
optimizing disjunctive queries with expensive predicates,optimizing real conjunctive queries,a kemper;g moerkotte;k peithner;m steinbrunn,s chaudhuri;m vardi,sigmod conference,proc . of the acm sigact-sigmod-sigart symposium on & hellip,1994,1997.6
a new join algorithm,a new algorithm for floorplan desip,d shin;a meltzer,df wong;cl liu,sigmod record,proceedings of the 23rd acm/ieee design automation,1994,1997.6
supporting multiple view maintenance policies,supporting multiple access control policies in database systems,l colby;a kawaguchi;d lieuwen;i mumick;k ross,f rabitti;e bertino;w kim;d woelk,sigmod conference,acm transactions on database systems,1997,1997.6
odefs : a file system interface to an object-oriented database,tutorial on object-oriented databases,n gehani;h jagadish;w roome,ms jackson,vldb,information and software technology,1994,1991
database technologies for electronic commerce,frontiers of electronic commerce,r agrawal;r srikant;y xu,r kalakota;ab whinston,vldb,,2002,1996
automatic discovery of language models for text databases,the effective of gloss for the text database discovery problem,j callan;m connell;a du,hgoms luisgravano;a tomasic,sigmod conference,proc . of the acm sigmod conference;acm sigmod record,1999,1997.6
incremental computation and maintenance of temporal aggregates,incremental maintenance for non-distributive aggregate functions,j yang;j widom,t palpanas;r sidle;r cochrane;h pirahesh,vldb j.,vldb,2003,2002
guest editorial,guest editorial,,v atluri;a joshi;y yesha,,the vldb journal the international journal on very large & hellip,2003,2003
the trigs active object-oriented database system - an overview,mga : rule-based specification of active object-oriented database applications,g kappel;w retschitzegger,p sawyer;i sommerville,sigmod record,information and software technology,1998,1995
model-based information integration in a neuroscience mediator system,infomaster : an information integration system,b ludÑ„scher;a gupta;m martone,mr genesereth;am keller;om duschka,vldb,,2000,1997.6
mining generalized association rules,mining multi-dimensional association rules using data cubes,r srikant;r agrawal,j han;m kamber;j chiang,vldb,,1995,1997.6
index configuration in object-oriented databases,a cost model for clustered object-oriented databases,e bertino,zh tangot;stg france,vldb j.,,1994,1997.6
an extended entity-relationship model for geographic applications,towards a semantic view of an extended entity-relationship model,t hadzilacos;n tryfona,u hohenstein;m gogolla,sigmod record,acm transactions on database systems,1997,1997.6
tavant system architecture for sell-side channel management,architectures for object data management,s narayanan;s subramanian,ja orenstein,vldb,,2001,1997.6
qursed : querying and reporting semistructured data,querying structured text in an xml database,y papakonstantinou;m petropoulos;v vassalos,s al-khalifa;c yu;hv jagadish,sigmod conference,,2002,1997.6
association rules over interval data,mining optimized association rules for numeric data,r miller;y yang,t fukuda;y morimoto;s morishita;t tokuyama,sigmod conference,proceedings of the acm sigmod international conference on & hellip,1997,1997.6
a cost model for clustered object-oriented databases,querying object-oriented datab = es,g gardarin;j gruser;z tang,m kifer;w kim;y sagiv,vldb,proceedings of the acm sigmod,1995,1997.6
minicon : a scalable algorithm for answering queries using views,answering queries with aggragates using views,r pottinger;a halevy,d srivastava;s dar;h jagadish;a levy,vldb j.,proceedings of the international conference on very large & hellip,2001,1997.6
editor ¡¯s notes,editor ¡¯s notes,m franklin,wmk trochim,sigmod record,new directions for program evaluation,2000,1997.6
querying and mining data streams : you only get one look a tutorial,query and mining data streams : you only get one look,,m garofalakis;j gehrke;r rastogi,,,2002,1997.6
semantic access : semantic interface for querying databases,semantic access : semantic interface for querying databases,n rishe;j yuan;r athauda;s chen;x lu;x ma;a vaschillo;a shaposhnikov;d vasilevsky,n rishe;j yuan;r athauda;sc chen;x lu;x ma;a,vldb,proceedings of the international conference on very large & hellip,2000,2000
local dimensionality reduction : a new approach to indexing high dimensional spaces,semantics-preserving dimensionality reduction : rough and fuzzy-rough-based approaches,k chakrabarti;s mehrotra,r jensen;q shen,vldb,ieee transactions on knowledge and data engineering,2000,2004
secure bufering in firm real-time database systems,special section on advances in realtime database systems,b george;j haritsa,a bestavros,vldb j.,sigmod record,2000,1997.6
the coral deductive system,the fact system,r ramakrishnan;d srivastava;s sudarshan;p seshadri,i horrocks,vldb j.,lecture notes in computer science,1994,1998
dtl ¡¯s dataspot : database exploration using plain language,dtl ¡¯s dataspot : database exploration as easy as browsing the web,s dar;g entin;s geva;e palmon,s dar;g entin;s geva;e palmon,vldb,sigmod conference,1998,1998
advanced xml data processing - guest editor ¡¯s introduction,guest editor ¡¯s introduction,k aberer,f dehne,sigmod record,algorithmica,2001,1999
using schematically heterogeneous structures,using schematically heterogeneous structures,r miller,rj miller,sigmod conference,,1998,1997.6
towards effective and efficient free space management,towards effective and efficient free space management,m mcauliffe;m carey;m solomon,ml mcaulie;mj carey;mh solomon,sigmod conference,proceedings of the 1996 acm sigmod international conference,1996,1997.6
