ltable_title,rtable_title,ltable_manufacturer,rtable_manufacturer,ltable_price,rtable_price
microsoft onenote 2007,microsoft ( r ) access 2007,microsoft,,99.95,109.99
microsoft excel 2004 ( mac ),microsoft ( r ) access 2007,microsoft,,229.99,109.99
microsoft publisher 2007 version upgrade,microsoft ( r ) access 2007,microsoft,,99.95,109.99
microsoft office excel 2007,microsoft ( r ) access 2007,microsoft,,229.95,109.99
math success deluxe 2007,microsoft ( r ) access 2007,topics entertainment,,39.99,109.99
microsoft visio standard 2007 version upgrade,microsoft academic microsoft visio 2003 professional,microsoft,,129.95,159
microsoft office frontpage 2003 academic version windows ),microsoft academic microsoft visio 2003 professional,microsoft,,159.98,159
microsoft windows xp professional full version with sp2,microsoft academic microsoft visio 2003 professional,microsoft,,299.99,159
microsoft office & windows training professional,microsoft academic microsoft visio 2003 professional,topics entertainment,,49.95,159
microsoft word 2007 version upgrade,microsoft academic microsoft visio 2003 professional,microsoft,,109.95,159
microspot macdraft professional ( mac ),microsoft academic microsoft visio 2003 professional,microspot ltd.,,349.99,159
microsoft visio standard 2007,microsoft academic microsoft visio 2003 professional,microsoft,,259.95,159
microsoft office 2004 professional ( mac ),microsoft academic microsoft visio 2003 professional,microsoft,,499.99,159
systemsuite 8 professional,microsoft academic microsoft visio 2003 professional,individual software,,49.99,159
microsoft visual studio professional w/msdn professional 2005 renewal,microsoft academic microsoft visio 2003 professional,microsoft software,,799,159
microsoft publisher 2007 version upgrade,microsoft academic microsoft visio 2003 professional,microsoft,,99.95,159
pop-up stopper professional,microsoft academic microsoft visio 2003 professional,panicware,,29.99,159
microsoft works suite 2006,microsoft academic microsoft visio 2003 professional,microsoft,,99,159
microsoft outlook 2007,microsoft academic microsoft visio 2003 professional,microsoft,,109.95,159
system care professional,microsoft academic microsoft visio 2003 professional,avanquest,,49.95,159
adobe acrobat 7.0 professional,microsoft academic microsoft visio 2003 professional,adobe,,449.99,159
microsoft visio standard 2007 version upgrade,microsoft word 2004,microsoft,,129.95,209.99
microsoft mappoint 2006 with gps,microsoft word 2004,microsoft,,349,209.99
microsoft powerpoint 2004 upgrade ( mac ),microsoft word 2004,microsoft,,109.99,209.99
microsoft office mac 2004 english 3pk dsp 731-01163 ),microsoft word 2004,microsoft corporation,,,209.99
microsoft visual studio professional 2005 upgrade,microsoft word 2004,microsoft software,,549,209.99
microsoft sql server developer edition 2005 cd/dvd,microsoft word 2004,microsoft software,,49.95,209.99
microsoft entertainment pack ce,microsoft word 2004,microsoft,,49.5,209.99
microsoft office 2004 standard ( mac ),microsoft word 2004,microsoft,,399.99,209.99
microsoft visio standard 2007,microsoft word 2004,microsoft,,259.95,209.99
microsoft excel 2004 ( mac ),microsoft word 2004,microsoft,,229.99,209.99
microsoft outlook 2007,microsoft word 2004,microsoft,,109.95,209.99
microsoft office excel 2007,microsoft word 2004,microsoft,,229.95,209.99
microsoft word 2004 ( mac ),microsoft word 2004,microsoft,,229.99,209.99
microsoft licenses word olp c ( 05903871 ),microsoft word 2004,microsoft licenses,,205.73,209.99
microsoft licenses word mac 10.0 eng govt ( d4800369 ),microsoft word 2004,microsoft licenses,,349.83,209.99
microsoft virtual pc for mac 7.0 with windows 2000,microsoft word 2004,microsoft,,249.99,209.99
microsoft visio standard 2007 version upgrade,microsoft t73-00091 molpc visio std sa,microsoft,,129.95,168.03
microsoft visio standard 2007,microsoft t73-00091 molpc visio std sa,microsoft,,259.95,168.03
microsoft visio standard 2007 version upgrade,92707 tun plus 2005 version upgrade license 1 user win,microsoft,,129.95,66.09
microsoft crm professional cal 3.0 product upgrade license pack user cal,92707 tun plus 2005 version upgrade license 1 user win,microsoft software,,9980,66.09
microsoft word 2007 version upgrade,92707 tun plus 2005 version upgrade license 1 user win,microsoft,,109.95,66.09
microsoft visio standard 2007 version upgrade,microsoft powerpoint mac 2004 version upgrade,microsoft,,129.95,89.99
microsoft office frontpage 2003 academic version windows ),microsoft powerpoint mac 2004 version upgrade,microsoft,,159.98,89.99
microsoft windows xp professional full version with sp2,microsoft powerpoint mac 2004 version upgrade,microsoft,,299.99,89.99
microsoft word 2007 version upgrade,microsoft powerpoint mac 2004 version upgrade,microsoft,,109.95,89.99
microsoft windows vista business full version [ dvd ],microsoft powerpoint mac 2004 version upgrade,microsoft,,299.95,89.99
microsoft office mac 2004 english 3pk dsp 731-01163 ),microsoft powerpoint mac 2004 version upgrade,microsoft corporation,,,89.99
microsoft visual studio professional 2005 upgrade,microsoft powerpoint mac 2004 version upgrade,microsoft software,,549,89.99
microsoft windows vista ultimate full version [ dvd ],microsoft powerpoint mac 2004 version upgrade,microsoft,,399.95,89.99
microsoft onenote 2007 upgrade,microsoft powerpoint mac 2004 version upgrade,microsoft,,79.95,89.99
microsoft windows xp professional upgrade with sp2,microsoft powerpoint mac 2004 version upgrade,microsoft software,,199.99,89.99
microsoft onenote 2007,microsoft powerpoint mac 2004 version upgrade,microsoft,,99.95,89.99
microsoft publisher 2007 version upgrade,microsoft powerpoint mac 2004 version upgrade,microsoft,,99.95,89.99
microsoft outlook 2007,microsoft powerpoint mac 2004 version upgrade,microsoft,,109.95,89.99
microsoft windows xp home edition full version with sp2,microsoft powerpoint mac 2004 version upgrade,microsoft,,199,89.99
learn2 training for microsoft powerpoint,microsoft powerpoint mac 2004 version upgrade,topics-entertainment-software - ( consignment ),,9.99,89.99
microsoft visio standard 2007 version upgrade,microsoft windows vista business upgrade license 1 pc english,microsoft,,129.95,168.99
microsoft crm professional cal 3.0 product upgrade license pack user cal,microsoft windows vista business upgrade license 1 pc english,microsoft software,,9980,168.99
microsoft office & windows training professional,microsoft windows vista business upgrade license 1 pc english,topics entertainment,,49.95,168.99
microsoft office small business 2007 full version,microsoft windows vista business upgrade license 1 pc english,microsoft,,449.95,168.99
microsoft word 2007 version upgrade,microsoft windows vista business upgrade license 1 pc english,microsoft,,109.95,168.99
microsoft crm small business ed cal 3.0 license pack user cal,microsoft windows vista business upgrade license 1 pc english,microsoft software,,9929,168.99
windows vista business spanish full version [ dvd ],microsoft windows vista business upgrade license 1 pc english,microsoft,,329.95,168.99
microsoft windows vista business 32-bit for system builders,microsoft windows vista business upgrade license 1 pc english,microsoft,,179.99,168.99
microsoft visual studio professional 2005 upgrade,microsoft windows vista business upgrade license 1 pc english,microsoft software,,549,168.99
microsoft office small business 2007,microsoft windows vista business upgrade license 1 pc english,microsoft software,,735.33,168.99
microsoft windows terminal server 2003 client additional license for users - 5 user,microsoft windows vista business upgrade license 1 pc english,microsoft,,669,168.99
microsoft onenote 2007 upgrade,microsoft windows vista business upgrade license 1 pc english,microsoft,,79.95,168.99
microsoft windows xp professional upgrade with sp2,microsoft windows vista business upgrade license 1 pc english,microsoft software,,199.99,168.99
microsoft office & windows training,microsoft windows vista business upgrade license 1 pc english,topics entertainment,,29.99,168.99
microsoft word 2004 upgrade ( mac ),microsoft windows vista business upgrade license 1 pc english,microsoft,,109.99,168.99
microsoft windows server 2003 client additional license for users-5 pack,microsoft windows vista business upgrade license 1 pc english,microsoft,,809,168.99
microsoft windows vista home basic upgrade [ dvd ],microsoft windows vista business upgrade license 1 pc english,microsoft,,99.95,168.99
microsoft publisher 2007 version upgrade,microsoft windows vista business upgrade license 1 pc english,microsoft,,99.95,168.99
microsoft windows small business server cal 2003 license pack 20 client addpack device,microsoft windows vista business upgrade license 1 pc english,microsoft software,,,168.99
microsoft windows small business server premium 2003 r2 upgrade cd/dvd 5 client,microsoft windows vista business upgrade license 1 pc english,microsoft,,709,168.99
microsoft windows live onecare 1.5 online pc care subscription [ 12 months ],microsoft windows vista business upgrade license 1 pc english,microsoft,,49.95,168.99
microsoft visio standard 2007 version upgrade,microsoft office 2004 standard,microsoft,,129.95,369.99
microsoft office frontpage 2003 academic version windows ),microsoft office 2004 standard,microsoft,,159.98,369.99
microsoft office & windows training professional,microsoft office 2004 standard,topics entertainment,,49.95,369.99
microsoft powerpoint 2004 upgrade ( mac ),microsoft office 2004 standard,microsoft,,109.99,369.99
microsoft word 2007 version upgrade,microsoft office 2004 standard,microsoft,,109.95,369.99
microsoft office mac 2004 english 3pk dsp 731-01163 ),microsoft office 2004 standard,microsoft corporation,,,369.99
microsoft office small business 2007,microsoft office 2004 standard,microsoft software,,735.33,369.99
microsoft powerpoint 2004 ( mac ),microsoft office 2004 standard,microsoft,,229.99,369.99
microsoft office 2004 standard ( mac ),microsoft office 2004 standard,microsoft,,399.99,369.99
microsoft office 2004 professional ( mac ),microsoft office 2004 standard,microsoft,,499.99,369.99
microsoft onenote 2007 upgrade,microsoft office 2004 standard,microsoft,,79.95,369.99
microsoft onenote 2007,microsoft office 2004 standard,microsoft,,99.95,369.99
microsoft office & windows training,microsoft office 2004 standard,topics entertainment,,29.99,369.99
microsoft data analyzer 2002,microsoft office 2004 standard,microsoft,,179,369.99
microsoft excel 2004 ( mac ),microsoft office 2004 standard,microsoft,,229.99,369.99
microsoft student with encarta premium 2008 dvd,microsoft office 2004 standard,microsoft,,49.95,369.99
microsoft works suite 2006,microsoft office 2004 standard,microsoft,,99,369.99
microsoft office excel 2007,microsoft office 2004 standard,microsoft,,229.95,369.99
microsoft sql server standard edition 2005 64 bit cd/dvd 5 client,microsoft office 2004 standard,microsoft,,1849,369.99
gorilla 4 standard,microsoft office 2004 standard,jungle software,,299,369.99
microsoft visio standard 2007 version upgrade,microsoft ( r ) project standard 2007,microsoft,,129.95,349.95
microsoft word 2007 version upgrade,microsoft ( r ) project standard 2007,microsoft,,109.95,349.95
microsoft visual studio professional 2005 upgrade,microsoft ( r ) project standard 2007,microsoft software,,549,349.95
microsoft office small business 2007,microsoft ( r ) project standard 2007,microsoft software,,735.33,349.95
microsoft powerpoint 2004 ( mac ),microsoft ( r ) project standard 2007,microsoft,,229.99,349.95
microsoft office 2004 standard ( mac ),microsoft ( r ) project standard 2007,microsoft,,399.99,349.95
microsoft visio standard 2007,microsoft ( r ) project standard 2007,microsoft,,259.95,349.95
microsoft office 2004 professional ( mac ),microsoft ( r ) project standard 2007,microsoft,,499.99,349.95
microsoft mappoint 2006 standard edition,microsoft ( r ) project standard 2007,microsoft,,299,349.95
microsoft excel 2004 ( mac ),microsoft ( r ) project standard 2007,microsoft,,229.99,349.95
microsoft word 2004 upgrade ( mac ),microsoft ( r ) project standard 2007,microsoft,,109.99,349.95
microsoft student with encarta premium 2008 dvd,microsoft ( r ) project standard 2007,microsoft,,49.95,349.95
microsoft works suite 2006,microsoft ( r ) project standard 2007,microsoft,,99,349.95
microsoft word 2004 ( mac ),microsoft ( r ) project standard 2007,microsoft,,229.99,349.95
microsoft sql server standard edition 2005 64 bit cd/dvd 5 client,microsoft ( r ) project standard 2007,microsoft,,1849,349.95
microsoft visio standard 2007 version upgrade,microsoft word 2007 upgrade ( pc ),microsoft,,129.95,109.95
microsoft powerpoint 2004 upgrade ( mac ),microsoft word 2007 upgrade ( pc ),microsoft,,109.99,109.95
microsoft word 2007 version upgrade,microsoft word 2007 upgrade ( pc ),microsoft,,109.95,109.95
microsoft visual studio professional 2005 upgrade,microsoft word 2007 upgrade ( pc ),microsoft software,,549,109.95
microsoft office small business 2007,microsoft word 2007 upgrade ( pc ),microsoft software,,735.33,109.95
microsoft office 2004 standard upgrade ( mac ),microsoft word 2007 upgrade ( pc ),microsoft,,239.99,109.95
microsoft powerpoint 2004 ( mac ),microsoft word 2007 upgrade ( pc ),microsoft,,229.99,109.95
microsoft office 2004 standard ( mac ),microsoft word 2007 upgrade ( pc ),microsoft,,399.99,109.95
microsoft visio standard 2007,microsoft word 2007 upgrade ( pc ),microsoft,,259.95,109.95
microsoft onenote 2007,microsoft word 2007 upgrade ( pc ),microsoft,,99.95,109.95
microsoft mappoint 2006 standard edition,microsoft word 2007 upgrade ( pc ),microsoft,,299,109.95
microsoft excel 2004 ( mac ),microsoft word 2007 upgrade ( pc ),microsoft,,229.99,109.95
microsoft word 2004 upgrade ( mac ),microsoft word 2007 upgrade ( pc ),microsoft,,109.99,109.95
microsoft windows vista home basic upgrade [ dvd ],microsoft word 2007 upgrade ( pc ),microsoft,,99.95,109.95
microsoft publisher 2007 version upgrade,microsoft word 2007 upgrade ( pc ),microsoft,,99.95,109.95
microsoft works suite 2006,microsoft word 2007 upgrade ( pc ),microsoft,,99,109.95
microsoft office excel 2007,microsoft word 2007 upgrade ( pc ),microsoft,,229.95,109.95
microsoft word 2004 ( mac ),microsoft word 2007 upgrade ( pc ),microsoft,,229.99,109.95
microsoft windows small business server premium 2003 r2 upgrade cd/dvd 5 client,microsoft word 2007 upgrade ( pc ),microsoft,,709,109.95
microsoft licenses word mac 10.0 eng govt ( d4800369 ),microsoft word 2007 upgrade ( pc ),microsoft licenses,,349.83,109.95
microsoft visio standard 2007 version upgrade,office pro 2007 upgrade microsoft 269-10294,microsoft,,129.95,257.71
microsoft crm professional cal 3.0 product upgrade license pack user cal,office pro 2007 upgrade microsoft 269-10294,microsoft software,,9980,257.71
microsoft office small business 2007 full version,office pro 2007 upgrade microsoft 269-10294,microsoft,,449.95,257.71
microsoft powerpoint 2004 upgrade ( mac ),office pro 2007 upgrade microsoft 269-10294,microsoft,,109.99,257.71
microsoft visual studio professional 2005 upgrade,office pro 2007 upgrade microsoft 269-10294,microsoft software,,549,257.71
microsoft office 2004 standard upgrade ( mac ),office pro 2007 upgrade microsoft 269-10294,microsoft,,239.99,257.71
microsoft office 2004 standard ( mac ),office pro 2007 upgrade microsoft 269-10294,microsoft,,399.99,257.71
