ltable_title,rtable_title,ltable_authors,rtable_authors,ltable_venue,rtable_venue,ltable_year,rtable_year
integrating mining with relational database systems : alternatives and implications,paradise : a database system for gis applications,"shiby thomas , rakesh agrawal , sunita sarawagi",corporate the paradise team,sigmod conference,international conference on management of data,1998,1995
vxmlr : a visual xml-relational database system,paradise : a database system for gis applications,"aoying zhou , wenyun ji , shihui zheng , hongjun lu , yuqi liang , zengping tian , long zhang",corporate the paradise team,vldb,international conference on management of data,2001,1995
parallel database systems in the 1990 's,paradise : a database system for gis applications,michael j. carey,corporate the paradise team,sigmod conference,international conference on management of data,1994,1995
a database system for real-time event aggregation in telecommunication,paradise : a database system for gis applications,"henry f. korth , jerry baulier , abraham silberschatz , stephen blott",corporate the paradise team,vldb,international conference on management of data,1998,1995
visdb : a system for visualizing large databases,paradise : a database system for gis applications,"hans-peter kriegel , daniel a. keim",corporate the paradise team,sigmod conference,international conference on management of data,1995,1995
infosphere project : system support for information flow applications,paradise : a database system for gis applications,"calton pu , jonathan walpole , karsten schwan",corporate the paradise team,sigmod record,international conference on management of data,2001,1995
sap r/3 : a database application system ( tutorial ),paradise : a database system for gis applications,"alfons kemper , florian matthes , donald kossmann",corporate the paradise team,sigmod conference,international conference on management of data,1998,1995
dbcache : database caching for web application servers,paradise : a database system for gis applications,"sailesh krishnamurthy , c. mohan , larry brown , hamid pirahesh , mehmet altinel , honguk woo , qiong luo , bruce g. lindsay",corporate the paradise team,sigmod conference,international conference on management of data,2002,1995
web caching for database applications with oracle web cache,web caching for database applications with oracle web cache,"jordan parker , jesse anton , zheng zeng , lawrence jacobs , tie zhong , xiang liu","jesse anton , lawrence jacobs , xiang liu , jordan parker , zheng zeng , tie zhong",sigmod conference,international conference on management of data,2002,2002
form-based proxy caching for database-backed web sites,web caching for database applications with oracle web cache,"jeffrey f. naughton , qiong luo","jesse anton , lawrence jacobs , xiang liu , jordan parker , zheng zeng , tie zhong",vldb,international conference on management of data,2001,2002
issues and evaluations of caching solutions for web application acceleration,web caching for database applications with oracle web cache,"oliver po , divyakant agrawal , radu sion , wen-syan li , wang-pin hsiung , dmitri v. kalashnikov , k. selçuk candan","jesse anton , lawrence jacobs , xiang liu , jordan parker , zheng zeng , tie zhong",vldb,international conference on management of data,2002,2002
a transaction replication scheme for a replicated database with node autonomy,web caching for database applications with oracle web cache,"david wai-lok cheung , ada wai-chee fu","jesse anton , lawrence jacobs , xiang liu , jordan parker , zheng zeng , tie zhong",vldb,international conference on management of data,1994,2002
combi-operator : database support for data mining applications,web caching for database applications with oracle web cache,"wolfgang lehner , alexander hinneburg , dirk habich","jesse anton , lawrence jacobs , xiang liu , jordan parker , zheng zeng , tie zhong",vldb,international conference on management of data,2003,2002
building scalable internet applications with oracle8i server,web caching for database applications with oracle web cache,"olga peschansky , josé alberto fernández , julie basu","jesse anton , lawrence jacobs , xiang liu , jordan parker , zheng zeng , tie zhong",vldb,international conference on management of data,2000,2002
web caching for database applications with oracle web cache,dbcache : database caching for web application servers,"jordan parker , jesse anton , zheng zeng , lawrence jacobs , tie zhong , xiang liu","mehmet altinel , qiong luo , sailesh krishnamurthy , c. mohan , hamid pirahesh , bruce g. lindsay , honguk woo , larry brown",sigmod conference,international conference on management of data,2002,2002
transparent mid-tier database caching in sql server,dbcache : database caching for web application servers,"per-åke larson , jingren zhou , jonathan goldstein","mehmet altinel , qiong luo , sailesh krishnamurthy , c. mohan , hamid pirahesh , bruce g. lindsay , honguk woo , larry brown",sigmod conference,international conference on management of data,2003,2002
form-based proxy caching for database-backed web sites,dbcache : database caching for web application servers,"jeffrey f. naughton , qiong luo","mehmet altinel , qiong luo , sailesh krishnamurthy , c. mohan , hamid pirahesh , bruce g. lindsay , honguk woo , larry brown",vldb,international conference on management of data,2001,2002
combi-operator : database support for data mining applications,dbcache : database caching for web application servers,"wolfgang lehner , alexander hinneburg , dirk habich","mehmet altinel , qiong luo , sailesh krishnamurthy , c. mohan , hamid pirahesh , bruce g. lindsay , honguk woo , larry brown",vldb,international conference on management of data,2003,2002
caching technologies for web applications,dbcache : database caching for web application servers,c. mohan,"mehmet altinel , qiong luo , sailesh krishnamurthy , c. mohan , hamid pirahesh , bruce g. lindsay , honguk woo , larry brown",vldb,international conference on management of data,2001,2002
gigascope : a stream database for network applications,dbcache : database caching for web application servers,"theodore johnson , charles d. cranor , oliver spatscheck , vladislav shkapenyuk","mehmet altinel , qiong luo , sailesh krishnamurthy , c. mohan , hamid pirahesh , bruce g. lindsay , honguk woo , larry brown",sigmod conference,international conference on management of data,2003,2002
middle-tier database caching for e-business,dbcache : database caching for web application servers,"hamid pirahesh , c. mohan , jeffrey f. naughton , sailesh krishnamurthy , honguk woo , qiong luo , bruce g. lindsay","mehmet altinel , qiong luo , sailesh krishnamurthy , c. mohan , hamid pirahesh , bruce g. lindsay , honguk woo , larry brown",sigmod conference,international conference on management of data,2002,2002
dbcache : middle-tier database caching for highly scalable e-business architectures,dbcache : database caching for web application servers,"c. mohan , sailesh krishnamurthy , mehmet altinel , christof bornhövd , hamid pirahesh , berthold reinwald","mehmet altinel , qiong luo , sailesh krishnamurthy , c. mohan , hamid pirahesh , bruce g. lindsay , honguk woo , larry brown",sigmod conference,international conference on management of data,2003,2002
sybase replication server,dbcache : database caching for web application servers,"mark deppe , yongdong wang , alex gorelik","mehmet altinel , qiong luo , sailesh krishnamurthy , c. mohan , hamid pirahesh , bruce g. lindsay , honguk woo , larry brown",sigmod conference,international conference on management of data,1994,2002
web caching for database applications with oracle web cache,"storhouse metanoia - new applications for database , storage & ; data warehousing","jordan parker , jesse anton , zheng zeng , lawrence jacobs , tie zhong , xiang liu","felipe cari &#241; o , jr. , pekka kostamaa , art kaufmann , john burgess",sigmod conference,international conference on management of data,2002,2001
dec data distributor : for data replication and data warehousing,"storhouse metanoia - new applications for database , storage & ; data warehousing",daniel j. dietterich,"felipe cari &#241; o , jr. , pekka kostamaa , art kaufmann , john burgess",sigmod conference,international conference on management of data,1994,2001
"storhouse metanoia - new applications for database , storage & data warehousing","storhouse metanoia - new applications for database , storage & ; data warehousing","felipe cariño , pekka kostamaa , art kaufmann , john burgess","felipe cari &#241; o , jr. , pekka kostamaa , art kaufmann , john burgess",sigmod conference,international conference on management of data,2001,2001
oracle industrial exhibit,objectivity industrial exhibit,amy pogue,objectivity,vldb,very large data bases,1998,1998
objectivity industrial exhibit,objectivity industrial exhibit,objectivity,objectivity,vldb,very large data bases,1998,1998
oracle industrial exhibit,oracle industrial exhibit,amy pogue,amy pogue,vldb,very large data bases,1998,1998
extracting large-scale knowledge bases from the web,amalgamating knowledge bases,"andrew tomkins , prabhakar raghavan , ravi kumar , sridhar rajagopalan",v. s. subrahmanian,vldb,acm transactions on database systems ( tods ),1999,1994
updating knowledge bases while maintaining their consistency,amalgamating knowledge bases,"antoni olivé , ernest teniente",v. s. subrahmanian,vldb j.,acm transactions on database systems ( tods ),1995,1994
building knowledge base management systems,amalgamating knowledge bases,"thodoros topaloglou , adel shrufi , vinay k. chaudhri , dimitris plexousakis , john mylopoulos",v. s. subrahmanian,vldb j.,acm transactions on database systems ( tods ),1996,1994
amalgamating knowledge bases,amalgamating knowledge bases,v. s. subrahmanian,v. s. subrahmanian,acm trans . database syst .,acm transactions on database systems ( tods ),1994,1994
efficient optimistic concurrency control using loosely synchronized clocks,efficient optimistic concurrency control using loosely synchronized clocks,"barbara liskov , atul adya , robert gruber , umesh maheshwari","atul adya , robert gruber , barbara liskov , umesh maheshwari",sigmod conference,international conference on management of data,1995,1995
efficient concurrency control in multidimensional access methods,efficient optimistic concurrency control using loosely synchronized clocks,"sharad mehrotra , kaushik chakrabarti","atul adya , robert gruber , barbara liskov , umesh maheshwari",sigmod conference,international conference on management of data,1999,1995
efficient optimistic concurrency control using loosely synchronized clocks,efficient concurrency control for broadcast environments,"barbara liskov , atul adya , robert gruber , umesh maheshwari","jayavel shanmugasundaram , arvind nithrakashyap , rajendran sivasankaran , krithi ramamritham",sigmod conference,international conference on management of data,1995,1999
efficient concurrency control for broadcast environments,efficient concurrency control for broadcast environments,"arvind nithrakashyap , rajendran m. sivasankaran , jayavel shanmugasundaram , krithi ramamritham","jayavel shanmugasundaram , arvind nithrakashyap , rajendran sivasankaran , krithi ramamritham",sigmod conference,international conference on management of data,1999,1999
odefs : a file system interface to an object-oriented database,unisql/x unified relational and object-oriented database system,"narain h. gehani , william d. roome , h. v. jagadish",won kim,vldb,international conference on management of data,1994,1994
query unnesting in object-oriented databases,unisql/x unified relational and object-oriented database system,leonidas fegaras,won kim,sigmod conference,international conference on management of data,1998,1994
the algres testbed of chimera : an active object-oriented database system,unisql/x unified relational and object-oriented database system,"giuseppe psaila , stefano ceri , stefano paraboschi , piero fraternali",won kim,sigmod conference,international conference on management of data,1995,1994
naos - efficient and modular reactive capabilities in an object-oriented database system,unisql/x unified relational and object-oriented database system,"thierry coupaye , t. svensen , christine collet",won kim,vldb,international conference on management of data,1994,1994
static detection of security flaws in object-oriented databases,unisql/x unified relational and object-oriented database system,keishi tajima,won kim,sigmod conference,international conference on management of data,1996,1994
implementation of magic-sets in a relational database system,unisql/x unified relational and object-oriented database system,"inderpal singh mumick , hamid pirahesh",won kim,sigmod conference,international conference on management of data,1994,1994
a logical foundation for deductive object-oriented databases,unisql/x unified relational and object-oriented database system,"mengchi liu , tok wang ling , gillian dobbie",won kim,acm trans . database syst .,international conference on management of data,2002,1994
an effective deductive object-oriented database through language integration,unisql/x unified relational and object-oriented database system,"m. howard williams , norman w. paton , andrew dinn , maria l. barja , alvaro a. a. fernandes",won kim,vldb,international conference on management of data,1994,1994
extraction of object-oriented structures from existing relational databases,unisql/x unified relational and object-oriented database system,"julia e. hodges , shekar ramanathan",won kim,sigmod record,international conference on management of data,1997,1994
the ccube constraint object-oriented database system,unisql/x unified relational and object-oriented database system,"alexander brodsky , pavel a. exarkhopoulo , victor e. segal , jia chen",won kim,sigmod conference,international conference on management of data,1999,1994
storing and querying ordered xml using a relational database system,unisql/x unified relational and object-oriented database system,"kevin s. beyer , jayavel shanmugasundaram , chun zhang , igor tatarinov , stratis viglas , eugene j. shekita",won kim,sigmod conference,international conference on management of data,2002,1994
unisql/x unified relational and object-oriented database system,unisql/x unified relational and object-oriented database system,won kim,won kim,sigmod conference,international conference on management of data,1994,1994
"calibrating the query optimizer cost model of iro-db , an object-oriented federated database system",unisql/x unified relational and object-oriented database system,"zhao-hui tang , fei sha , georges gardarin",won kim,vldb,international conference on management of data,1996,1994
"olap , relational , and multidimensional database systems",unisql/x unified relational and object-oriented database system,george colliat,won kim,sigmod record,international conference on management of data,1996,1994
managing intervals efficiently in object-relational databases,unisql/x unified relational and object-oriented database system,"thomas seidl , marco pötke , hans-peter kriegel",won kim,vldb,international conference on management of data,2000,1994
mosaico - a system for conceptual modeling and rapid prototyping of object-oriented database application,unisql/x unified relational and object-oriented database system,"m. toiati , michele missikoff",won kim,sigmod conference,international conference on management of data,1994,1994
java and relational databases : sqlj ( tutorial ),unisql/x unified relational and object-oriented database system,"johannes klein , richard pledereder , gray clossman , brian becker , phil shaw , mark hapner",won kim,sigmod conference,international conference on management of data,1998,1994
semantic integrity support in sql : 1999 and commercial ( object - ) relational database management systems,unisql/x unified relational and object-oriented database system,"michael gertz , can türker",won kim,vldb j.,international conference on management of data,2001,1994
integrating a structured-text retrieval system with an object-oriented database system,unisql/x unified relational and object-oriented database system,"jurgen annevelink , tak w. yan",won kim,vldb,international conference on management of data,1994,1994
"object-relational database systems : principles , products , and challenges ( tutorial )",unisql/x unified relational and object-oriented database system,"michael j. carey , anil nori , nelson mendonça mattos",won kim,sigmod conference,international conference on management of data,1997,1994
odefs : a file system interface to an object-oriented database,integrating a structured-text retrieval system with an object-oriented database system,"narain h. gehani , william d. roome , h. v. jagadish","tak w. yan , jurgen annevelink",vldb,very large data bases,1994,1994
naos - efficient and modular reactive capabilities in an object-oriented database system,integrating a structured-text retrieval system with an object-oriented database system,"thierry coupaye , t. svensen , christine collet","tak w. yan , jurgen annevelink",vldb,very large data bases,1994,1994
index configuration in object-oriented databases,integrating a structured-text retrieval system with an object-oriented database system,elisa bertino,"tak w. yan , jurgen annevelink",vldb j.,very large data bases,1994,1994
the trigs active object-oriented database system - an overview,integrating a structured-text retrieval system with an object-oriented database system,"gerti kappel , werner retschitzegger","tak w. yan , jurgen annevelink",sigmod record,very large data bases,1998,1994
integrating mining with relational database systems : alternatives and implications,integrating a structured-text retrieval system with an object-oriented database system,"shiby thomas , rakesh agrawal , sunita sarawagi","tak w. yan , jurgen annevelink",sigmod conference,very large data bases,1998,1994
converting relational to object-oriented databases,integrating a structured-text retrieval system with an object-oriented database system,joseph fong,"tak w. yan , jurgen annevelink",sigmod record,very large data bases,1997,1994
unisql/x unified relational and object-oriented database system,integrating a structured-text retrieval system with an object-oriented database system,won kim,"tak w. yan , jurgen annevelink",sigmod conference,very large data bases,1994,1994
evaluating functional joins along nested reference sets in object-relational and object-oriented databases,integrating a structured-text retrieval system with an object-oriented database system,"alfons kemper , reinhard braumandl , jens clau_en","tak w. yan , jurgen annevelink",vldb,very large data bases,1998,1994
mosaico - a system for conceptual modeling and rapid prototyping of object-oriented database application,integrating a structured-text retrieval system with an object-oriented database system,"m. toiati , michele missikoff","tak w. yan , jurgen annevelink",sigmod conference,very large data bases,1994,1994
integrating heterogenous overlapping databases through object-oriented transformations,integrating a structured-text retrieval system with an object-oriented database system,"tore risch , vanja josifovski","tak w. yan , jurgen annevelink",vldb,very large data bases,1999,1994
hyperstorm - administering structured documents using object-oriented database technology,integrating a structured-text retrieval system with an object-oriented database system,"karl aberer , klemens böhm","tak w. yan , jurgen annevelink",sigmod conference,very large data bases,1996,1994
integrating contents and structure in text retrieval,integrating a structured-text retrieval system with an object-oriented database system,"gonzalo navarro , ricardo a. baeza-yates","tak w. yan , jurgen annevelink",sigmod record,very large data bases,1996,1994
odefs : a file system interface to an object-oriented database,an effective deductive object-oriented database through language integration,"narain h. gehani , william d. roome , h. v. jagadish","maria l. barja , norman w. paton , alvaro a. a. fernandes , m. howard williams , andrew dinn",vldb,very large data bases,1994,1994
a taxonomy for secure object-oriented databases,an effective deductive object-oriented database through language integration,"sebastiaan h. von solms , martin s. olivier","maria l. barja , norman w. paton , alvaro a. a. fernandes , m. howard williams , andrew dinn",acm trans . database syst .,very large data bases,1994,1994
the algres testbed of chimera : an active object-oriented database system,an effective deductive object-oriented database through language integration,"giuseppe psaila , stefano ceri , stefano paraboschi , piero fraternali","maria l. barja , norman w. paton , alvaro a. a. fernandes , m. howard williams , andrew dinn",sigmod conference,very large data bases,1995,1994
procedures in object-oriented query languages,an effective deductive object-oriented database through language integration,"kazimierz subieta , jacek leszczylowski , yahiko kambayashi","maria l. barja , norman w. paton , alvaro a. a. fernandes , m. howard williams , andrew dinn",vldb,very large data bases,1995,1994
index configuration in object-oriented databases,an effective deductive object-oriented database through language integration,elisa bertino,"maria l. barja , norman w. paton , alvaro a. a. fernandes , m. howard williams , andrew dinn",vldb j.,very large data bases,1994,1994
the trigs active object-oriented database system - an overview,an effective deductive object-oriented database through language integration,"gerti kappel , werner retschitzegger","maria l. barja , norman w. paton , alvaro a. a. fernandes , m. howard williams , andrew dinn",sigmod record,very large data bases,1998,1994
exact : an extensible approach to active object-oriented databases,an effective deductive object-oriented database through language integration,"arturo jaime , oscar díaz","maria l. barja , norman w. paton , alvaro a. a. fernandes , m. howard williams , andrew dinn",vldb j.,very large data bases,1997,1994
an efficient method for checking object-oriented database schema correctness,an effective deductive object-oriented database through language integration,"michele missikoff , anna formica , hans dietmar gröger","maria l. barja , norman w. paton , alvaro a. a. fernandes , m. howard williams , andrew dinn",acm trans . database syst .,very large data bases,1998,1994
an effective deductive object-oriented database through language integration,an effective deductive object-oriented database through language integration,"m. howard williams , norman w. paton , andrew dinn , maria l. barja , alvaro a. a. fernandes","maria l. barja , norman w. paton , alvaro a. a. fernandes , m. howard williams , andrew dinn",vldb,very large data bases,1994,1994
integrating a structured-text retrieval system with an object-oriented database system,an effective deductive object-oriented database through language integration,"jurgen annevelink , tak w. yan","maria l. barja , norman w. paton , alvaro a. a. fernandes , m. howard williams , andrew dinn",vldb,very large data bases,1994,1994
integrating heterogenous overlapping databases through object-oriented transformations,an effective deductive object-oriented database through language integration,"tore risch , vanja josifovski","maria l. barja , norman w. paton , alvaro a. a. fernandes , m. howard williams , andrew dinn",vldb,very large data bases,1999,1994
odefs : a file system interface to an object-oriented database,odefs : a file system interface to an object-oriented database,"narain h. gehani , william d. roome , h. v. jagadish","narain h. gehani , h. v. jagadish , william d. roome",vldb,very large data bases,1994,1994
query unnesting in object-oriented databases,odefs : a file system interface to an object-oriented database,leonidas fegaras,"narain h. gehani , h. v. jagadish , william d. roome",sigmod conference,very large data bases,1998,1994
a taxonomy for secure object-oriented databases,odefs : a file system interface to an object-oriented database,"sebastiaan h. von solms , martin s. olivier","narain h. gehani , h. v. jagadish , william d. roome",acm trans . database syst .,very large data bases,1994,1994
lambda-db : an odmg-based object-oriented dbms,odefs : a file system interface to an object-oriented database,"arvind rajendran , david maier , leonidas fegaras , chandrasekhar srinivasan","narain h. gehani , h. v. jagadish , william d. roome",sigmod conference,very large data bases,2000,1994
the algres testbed of chimera : an active object-oriented database system,odefs : a file system interface to an object-oriented database,"giuseppe psaila , stefano ceri , stefano paraboschi , piero fraternali","narain h. gehani , h. v. jagadish , william d. roome",sigmod conference,very large data bases,1995,1994
naos - efficient and modular reactive capabilities in an object-oriented database system,odefs : a file system interface to an object-oriented database,"thierry coupaye , t. svensen , christine collet","narain h. gehani , h. v. jagadish , william d. roome",vldb,very large data bases,1994,1994
index configuration in object-oriented databases,odefs : a file system interface to an object-oriented database,elisa bertino,"narain h. gehani , h. v. jagadish , william d. roome",vldb j.,very large data bases,1994,1994
the trigs active object-oriented database system - an overview,odefs : a file system interface to an object-oriented database,"gerti kappel , werner retschitzegger","narain h. gehani , h. v. jagadish , william d. roome",sigmod record,very large data bases,1998,1994
exact : an extensible approach to active object-oriented databases,odefs : a file system interface to an object-oriented database,"arturo jaime , oscar díaz","narain h. gehani , h. v. jagadish , william d. roome",vldb j.,very large data bases,1997,1994
a cost model for clustered object-oriented databases,odefs : a file system interface to an object-oriented database,"zhao-hui tang , jean-robert gruser , georges gardarin","narain h. gehani , h. v. jagadish , william d. roome",vldb,very large data bases,1995,1994
an effective deductive object-oriented database through language integration,odefs : a file system interface to an object-oriented database,"m. howard williams , norman w. paton , andrew dinn , maria l. barja , alvaro a. a. fernandes","narain h. gehani , h. v. jagadish , william d. roome",vldb,very large data bases,1994,1994
the ccube constraint object-oriented database system,odefs : a file system interface to an object-oriented database,"alexander brodsky , pavel a. exarkhopoulo , victor e. segal , jia chen","narain h. gehani , h. v. jagadish , william d. roome",sigmod conference,very large data bases,1999,1994
"calibrating the query optimizer cost model of iro-db , an object-oriented federated database system",odefs : a file system interface to an object-oriented database,"zhao-hui tang , fei sha , georges gardarin","narain h. gehani , h. v. jagadish , william d. roome",vldb,very large data bases,1996,1994
the persistent cache : improving oid indexing in temporal object-oriented database systems,odefs : a file system interface to an object-oriented database,kjetil nørvåg,"narain h. gehani , h. v. jagadish , william d. roome",vldb,very large data bases,1999,1994
design and user testing of a multi-paradigm query interface to an object-oriented database,odefs : a file system interface to an object-oriented database,"dac khoa doan , alistair c. kilgour , norman w. paton","narain h. gehani , h. v. jagadish , william d. roome",sigmod record,very large data bases,1995,1994
odefs : a file system interface to an object-oriented database,semcog : an object-based image retrieval system and its visual query interface,"narain h. gehani , william d. roome , h. v. jagadish","wen-syan li , k. sel &#231; uk candan , kyoji hirata , yoshinori hara",vldb,international conference on management of data,1994,1997
semcog : an object-based image retrieval system and its visual query interface,semcog : an object-based image retrieval system and its visual query interface,"k. selçuk candan , wen-syan li , kyoji hirata , yoshinori hara","wen-syan li , k. sel &#231; uk candan , kyoji hirata , yoshinori hara",sigmod conference,international conference on management of data,1997,1997
odefs : a file system interface to an object-oriented database,the persistent cache : improving oid indexing in temporal object-oriented database systems,"narain h. gehani , william d. roome , h. v. jagadish",kjetil n &#248; rv &#229; g,vldb,very large data bases,1994,1999
query unnesting in object-oriented databases,the persistent cache : improving oid indexing in temporal object-oriented database systems,leonidas fegaras,kjetil n &#248; rv &#229; g,sigmod conference,very large data bases,1998,1999
index nesting - an efficient approach to indexing in object-oriented databases,the persistent cache : improving oid indexing in temporal object-oriented database systems,"jiawei han , beng chin ooi , hongjun lu , kian-lee tan",kjetil n &#248; rv &#229; g,vldb j.,very large data bases,1996,1999
index configuration in object-oriented databases,the persistent cache : improving oid indexing in temporal object-oriented database systems,elisa bertino,kjetil n &#248; rv &#229; g,vldb j.,very large data bases,1994,1999
the trigs active object-oriented database system - an overview,the persistent cache : improving oid indexing in temporal object-oriented database systems,"gerti kappel , werner retschitzegger",kjetil n &#248; rv &#229; g,sigmod record,very large data bases,1998,1999
the hcc-tree : an efficient index structure for object oriented databases,the persistent cache : improving oid indexing in temporal object-oriented database systems,"b. sreenath , s. seshadri",kjetil n &#248; rv &#229; g,vldb,very large data bases,1994,1999
description logics for semantic query optimization in object-oriented database systems,the persistent cache : improving oid indexing in temporal object-oriented database systems,"claudio sartori , sonia bergamaschi , domenico beneventano",kjetil n &#248; rv &#229; g,acm trans . database syst .,very large data bases,2003,1999
the ccube constraint object-oriented database system,the persistent cache : improving oid indexing in temporal object-oriented database systems,"alexander brodsky , pavel a. exarkhopoulo , victor e. segal , jia chen",kjetil n &#248; rv &#229; g,sigmod conference,very large data bases,1999,1999
unisql/x unified relational and object-oriented database system,the persistent cache : improving oid indexing in temporal object-oriented database systems,won kim,kjetil n &#248; rv &#229; g,sigmod conference,very large data bases,1994,1999
the persistent cache : improving oid indexing in temporal object-oriented database systems,the persistent cache : improving oid indexing in temporal object-oriented database systems,kjetil nørvåg,kjetil n &#248; rv &#229; g,vldb,very large data bases,1999,1999
odefs : a file system interface to an object-oriented database,a cost model for clustered object-oriented databases,"narain h. gehani , william d. roome , h. v. jagadish","georges gardarin , jean-robert gruser , zhao-hui tang",vldb,very large data bases,1994,1995
index nesting - an efficient approach to indexing in object-oriented databases,a cost model for clustered object-oriented databases,"jiawei han , beng chin ooi , hongjun lu , kian-lee tan","georges gardarin , jean-robert gruser , zhao-hui tang",vldb j.,very large data bases,1996,1995
index configuration in object-oriented databases,a cost model for clustered object-oriented databases,elisa bertino,"georges gardarin , jean-robert gruser , zhao-hui tang",vldb j.,very large data bases,1994,1995
static detection of security flaws in object-oriented databases,a cost model for clustered object-oriented databases,keishi tajima,"georges gardarin , jean-robert gruser , zhao-hui tang",sigmod conference,very large data bases,1996,1995
a logical foundation for deductive object-oriented databases,a cost model for clustered object-oriented databases,"mengchi liu , tok wang ling , gillian dobbie","georges gardarin , jean-robert gruser , zhao-hui tang",acm trans . database syst .,very large data bases,2002,1995
