ltable_id,rtable_id,ltable_name,rtable_name,ltable_addr,rtable_addr,ltable_city,rtable_city,ltable_phone,rtable_phone,ltable_type,rtable_type,ltable_class,rtable_class,label
393,292,` dante \ 's down the hatch buckhead ',abruzzi,' 3380 peachtree rd. ',' 2355 peachtree rd. ne ',atlanta,atlanta,404/266 -1600,404-261-8186,continental,italian,393,74,0
410,292,palisades,abruzzi,' 1829 peachtree rd. ',' 2355 peachtree rd. ne ',atlanta,atlanta,404/350 -6755,404-261-8186,continental,italian,410,74,0
92,307,toulouse,` ritz-carlton cafe ( buckhead ) ',' b peachtree rd. ',' 3434 peachtree rd. ne ',atlanta,atlanta,404/351 -9533,404-237-2700,french,` american ( new ) ',92,89,0
405,307,` luna si ',` ritz-carlton cafe ( buckhead ) ',' 1931 peachtree rd. ',' 3434 peachtree rd. ne ',atlanta,atlanta,404/355 -5993,404-237-2700,continental,` american ( new ) ',405,89,0
90,307,` dining room ritz-carlton buckhead ',` ritz-carlton cafe ( buckhead ) ',' 3434 peachtree rd. ',' 3434 peachtree rd. ne ',atlanta,atlanta,404/237 -2700,404-237-2700,international,` american ( new ) ',90,89,0
393,307,` dante \ 's down the hatch buckhead ',` ritz-carlton cafe ( buckhead ) ',' 3380 peachtree rd. ',' 3434 peachtree rd. ne ',atlanta,atlanta,404/266 -1600,404-237-2700,continental,` american ( new ) ',393,89,0
422,307,tomtom,` ritz-carlton cafe ( buckhead ) ',' 3393 peachtree rd. ',' 3434 peachtree rd. ne ',atlanta,atlanta,404/264 -1163,404-237-2700,continental,` american ( new ) ',422,89,0
89,307,` cafe ritz-carlton buckhead ',` ritz-carlton cafe ( buckhead ) ',' 3434 peachtree rd. ',' 3434 peachtree rd. ne ',atlanta,atlanta,404/237 -2700,404-237-2700,` ext 6108 international ',` american ( new ) ',89,89,1
410,307,palisades,` ritz-carlton cafe ( buckhead ) ',' 1829 peachtree rd. ',' 3434 peachtree rd. ne ',atlanta,atlanta,404/350 -6755,404-237-2700,continental,` american ( new ) ',410,89,0
92,310,toulouse,toulouse,' b peachtree rd. ',' 293-b peachtree rd. ',atlanta,atlanta,404/351 -9533,404-351-9533,french,` french ( new ) ',92,92,1
405,310,` luna si ',toulouse,' 1931 peachtree rd. ',' 293-b peachtree rd. ',atlanta,atlanta,404/355 -5993,404-351-9533,continental,` french ( new ) ',405,92,0
422,310,tomtom,toulouse,' 3393 peachtree rd. ',' 293-b peachtree rd. ',atlanta,atlanta,404/264 -1163,404-351-9533,continental,` french ( new ) ',422,92,0
89,310,` cafe ritz-carlton buckhead ',toulouse,' 3434 peachtree rd. ',' 293-b peachtree rd. ',atlanta,atlanta,404/237 -2700,404-351-9533,` ext 6108 international ',` french ( new ) ',89,92,0
92,303,toulouse,` la grotta ',' b peachtree rd. ',' 2637 peachtree rd. ne ',atlanta,atlanta,404/351 -9533,404-231-1368,french,italian,92,85,0
405,303,` luna si ',` la grotta ',' 1931 peachtree rd. ',' 2637 peachtree rd. ne ',atlanta,atlanta,404/355 -5993,404-231-1368,continental,italian,405,85,0
90,303,` dining room ritz-carlton buckhead ',` la grotta ',' 3434 peachtree rd. ',' 2637 peachtree rd. ne ',atlanta,atlanta,404/237 -2700,404-231-1368,international,italian,90,85,0
393,303,` dante \ 's down the hatch buckhead ',` la grotta ',' 3380 peachtree rd. ',' 2637 peachtree rd. ne ',atlanta,atlanta,404/266 -1600,404-231-1368,continental,italian,393,85,0
422,303,tomtom,` la grotta ',' 3393 peachtree rd. ',' 2637 peachtree rd. ne ',atlanta,atlanta,404/264 -1163,404-231-1368,continental,italian,422,85,0
85,303,` la grotta ',` la grotta ',' 2637 peachtree rd. . peachtree house condominium ',' 2637 peachtree rd. ne ',atlanta,atlanta,404/231 -1368,404-231-1368,italian,italian,85,85,1
89,303,` cafe ritz-carlton buckhead ',` la grotta ',' 3434 peachtree rd. ',' 2637 peachtree rd. ne ',atlanta,atlanta,404/237 -2700,404-231-1368,` ext 6108 international ',italian,89,85,0
92,172,toulouse,nava,' b peachtree rd. ',' 3060 peachtree rd. ',atlanta,atlanta,404/351 -9533,404-240-1984,french,southwestern,92,706,0
90,172,` dining room ritz-carlton buckhead ',nava,' 3434 peachtree rd. ',' 3060 peachtree rd. ',atlanta,atlanta,404/237 -2700,404-240-1984,international,southwestern,90,706,0
422,172,tomtom,nava,' 3393 peachtree rd. ',' 3060 peachtree rd. ',atlanta,atlanta,404/264 -1163,404-240-1984,continental,southwestern,422,706,0
89,172,` cafe ritz-carlton buckhead ',nava,' 3434 peachtree rd. ',' 3060 peachtree rd. ',atlanta,atlanta,404/237 -2700,404-240-1984,` ext 6108 international ',southwestern,89,706,0
410,172,palisades,nava,' 1829 peachtree rd. ',' 3060 peachtree rd. ',atlanta,atlanta,404/350 -6755,404-240-1984,continental,southwestern,410,706,0
92,175,toulouse,` palm the ( atlanta ) ',' b peachtree rd. ',' 3391 peachtree rd. ne ',atlanta,atlanta,404/351 -9533,404-814-1955,french,steakhouses,92,709,0
405,175,` luna si ',` palm the ( atlanta ) ',' 1931 peachtree rd. ',' 3391 peachtree rd. ne ',atlanta,atlanta,404/355 -5993,404-814-1955,continental,steakhouses,405,709,0
90,175,` dining room ritz-carlton buckhead ',` palm the ( atlanta ) ',' 3434 peachtree rd. ',' 3391 peachtree rd. ne ',atlanta,atlanta,404/237 -2700,404-814-1955,international,steakhouses,90,709,0
422,175,tomtom,` palm the ( atlanta ) ',' 3393 peachtree rd. ',' 3391 peachtree rd. ne ',atlanta,atlanta,404/264 -1163,404-814-1955,continental,steakhouses,422,709,0
410,175,palisades,` palm the ( atlanta ) ',' 1829 peachtree rd. ',' 3391 peachtree rd. ne ',atlanta,atlanta,404/350 -6755,404-814-1955,continental,steakhouses,410,709,0
256,89,` gallagher \ 's ',` la grenouille ',' 228 w. 52nd st. ',' 3 e. 52nd st. ',` new york ',` new york city ',212/245 -5336,212-752-1495,american,` french ( classic ) ',254,623,0
247,89,` fleur de jour ',` la grenouille ',' 348 e. 62nd st. ',' 3 e. 52nd st. ',` new york ',` new york city ',212/355 -2020,212-752-1495,` coffee bar ',` french ( classic ) ',245,623,0
112,89,bolo,` la grenouille ','23 e. 22nd st. ',' 3 e. 52nd st. ',` new york ',` new york city ',212/228 -2200,212-752-1495,mediterranean,` french ( classic ) ',191,623,0
23,89,'21 club ',` la grenouille ','21 w. 52nd st. ',' 3 e. 52nd st. ',` new york ',` new york city ',212/582 -7200,212-752-1495,american,` french ( classic ) ',23,623,0
34,89,` four seasons grill room ',` la grenouille ','99 e. 52nd st. ',' 3 e. 52nd st. ',` new york ',` new york city ',212/754 -9494,212-752-1495,american,` french ( classic ) ',34,623,0
235,89,'em pire korea ',` la grenouille ',' 6 e. 32nd st. ',' 3 e. 52nd st. ',` new york ',` new york city ',212/725 -1333,212-752-1495,asian,` french ( classic ) ',233,623,0
256,77,` gallagher \ 's ',` edison cafe ',' 228 w. 52nd st. ',' 228 w. 47th st. ',` new york ',` new york city ',212/245 -5336,212-840-5000,american,diners,254,611,0
263,77,` hard rock cafe ',` edison cafe ',' 221 w. 57th st. ',' 228 w. 47th st. ',` new york ',` new york city ',212/489 -6565,212-840-5000,american,diners,261,611,0
368,77,` two two two ',` edison cafe ',' 222 w. 79th st. ',' 228 w. 47th st. ',` new york ',` new york city ',212/799 -0400,212-840-5000,american,diners,368,611,0
256,241,` gallagher \ 's ','21 club ',' 228 w. 52nd st. ','21 w. 52nd st. ',` new york ',` new york city ',212/245 -5336,212-582-7200,american,` american ( new ) ',254,23,0
371,241,` victor \ 's cafe ','21 club ','52 236 w. 52nd st. ','21 w. 52nd st. ',` new york ',` new york city ',212/586 -7714,212-582-7200,` latin american ',` american ( new ) ',371,23,0
23,241,'21 club ','21 club ','21 w. 52nd st. ','21 w. 52nd st. ',` new york ',` new york city ',212/582 -7200,212-582-7200,american,` american ( new ) ',23,23,1
34,241,` four seasons grill room ','21 club ','99 e. 52nd st. ','21 w. 52nd st. ',` new york ',` new york city ',212/754 -9494,212-582-7200,american,` american ( new ) ',34,23,0
277,241,` judson grill ','21 club ',' 152 w. 52nd st. ','21 w. 52nd st. ',` new york ',` new york city ',212/582 -5252,212-582-7200,american,` american ( new ) ',276,23,0
436,223,` center stage plaza hotel ',` chinois on main ',' 1 main st. ',' 2709 main st. ',` las vegas ',` santa monica ',702/386 -2512,310-392-9025,american,` pacific new wave ',436,5,0
138,223,` gilliland \ 's ',` chinois on main ',' 2424 main st. ',' 2709 main st. ',` santa monica ',` santa monica ',310/392 -3901,310-392-9025,american,` pacific new wave ',135,5,0
415,161,` sa tsu ki ',` havana sandwich shop ',' 3043 buford hwy . ',' 2905 buford hwy . ',atlanta,atlanta,404/325 -5285,404-636-4094,asian,cuban,415,695,0
18,46,` pinot bistro ',` mulberry st. ',' 12969 ventura blvd. ',' 17040 ventura blvd. ',` los angeles ',encino,818/990 -0500,818-906-8881,french,pizza,18,580,0
1,46,` art \ 's delicatessen ',` mulberry st. ',' 12224 ventura blvd. ',' 17040 ventura blvd. ',` studio city ',encino,818/762 -1221,818-906-8881,american,pizza,1,580,0
18,56,` pinot bistro ',` rubin \ 's red hots ',' 12969 ventura blvd. ',' 15322 ventura blvd. ',` los angeles ',encino,818/990 -0500,818-905-6515,french,` hot dogs ',18,590,0
159,56,posto,` rubin \ 's red hots ',' 14928 ventura blvd. ',' 15322 ventura blvd. ',` sherman oaks ',encino,818/784 -4400,818-905-6515,italian,` hot dogs ',156,590,0
18,61,` pinot bistro ',` sushi nozawa ',' 12969 ventura blvd. ',' 11288 ventura blvd. ',` los angeles ',` studio city ',818/990 -0500,818-508-7017,french,japanese,18,595,0
159,61,posto,` sushi nozawa ',' 14928 ventura blvd. ',' 11288 ventura blvd. ',` sherman oaks ',` studio city ',818/784 -4400,818-508-7017,italian,japanese,156,595,0
3,61,` cafe bizou ',` sushi nozawa ',' 14016 ventura blvd. ',' 11288 ventura blvd. ',` sherman oaks ',` studio city ',818/788 -3536,818-508-7017,french,japanese,3,595,0
18,221,` pinot bistro ',` cafe bizou ',' 12969 ventura blvd. ',' 14016 ventura blvd. ',` los angeles ',` sherman oaks ',818/990 -0500,818-788-3536,french,` french bistro ',18,3,0
159,221,posto,` cafe bizou ',' 14928 ventura blvd. ',' 14016 ventura blvd. ',` sherman oaks ',` sherman oaks ',818/784 -4400,818-788-3536,italian,` french bistro ',156,3,0
3,221,` cafe bizou ',` cafe bizou ',' 14016 ventura blvd. ',' 14016 ventura blvd. ',` sherman oaks ',` sherman oaks ',818/788 -3536,818-788-3536,french,` french bistro ',3,3,1
1,221,` art \ 's delicatessen ',` cafe bizou ',' 12224 ventura blvd. ',' 14016 ventura blvd. ',` studio city ',` sherman oaks ',818/762 -1221,818-788-3536,american,` french bistro ',1,3,0
221,277,` china grill ',seryna,'60 w. 53rd st. ','11 e. 53rd st. ',` new york ',` new york city ',212/333 -7788,212-980-9393,american,japanese,219,59,0
59,277,seryna,seryna,'11 e. 53rd st. ','11 e. 53rd st. ',` new york ',` new york city ',212/980 -9393,212-980-9393,asian,japanese,59,59,1
113,277,` il nido ',seryna,' 251 e. 53rd st. ','11 e. 53rd st. ',` new york ',` new york city ',212/753 -8450,212-980-9393,italian,japanese,267,59,0
221,258,` china grill ',` la cote basque ','60 w. 53rd st. ','60 w. 55th st. ',` new york ',` new york city ',212/333 -7788,212-688-6525,american,` french ( classic ) ',219,40,0
43,258,lespinasse,` la cote basque ',' 2 e. 55th st. ','60 w. 55th st. ',` new york ',` new york city ',212/339 -6719,212-688-6525,american,` french ( classic ) ',43,40,0
356,258,` tang pavillion ',` la cote basque ','65 w. 55th st. ','60 w. 55th st. ',` new york ',` new york city ',212/956 -6888,212-688-6525,asian,` french ( classic ) ',356,40,0
40,258,` la cote basque ',` la cote basque ','60 w. 55th st. between 5th and 6th ave. ','60 w. 55th st. ',` new york ',` new york city ',212/688 -6525,212-688-6525,french,` french ( classic ) ',40,40,1
43,257,lespinasse,` la caravelle ',' 2 e. 55th st. ','33 w. 55th st. ',` new york ',` new york city ',212/339 -6719,212-586-4252,american,` french ( classic ) ',43,39,0
43,251,lespinasse,felidia,' 2 e. 55th st. ',' 243 e. 58th st. ',` new york ',` new york city ',212/339 -6719,212-758-1479,american,italian,43,33,0
52,251,petrossian,felidia,' 182 w. 58th st. ',' 243 e. 58th st. ',` new york ',` new york city ',212/245 -2214,212-758-1479,french,italian,52,33,0
33,251,felidia,felidia,' 243 e. 58th st. ',' 243 e. 58th st. ',` new york ',` new york city ',212/758 -1479,212-758-1479,italian,italian,33,33,1
43,278,lespinasse,` shun lee palace ',' 2 e. 55th st. ',' 155 e. 55th st. ',` new york ',` new york city ',212/339 -6719,212-371-8844,american,chinese,43,60,0
46,278,march,` shun lee palace ',' 405 e. 58th st. ',' 155 e. 55th st. ',` new york ',` new york city ',212/754 -6272,212-371-8844,american,chinese,46,60,0
286,278,` le chantilly ',` shun lee palace ',' 106 e. 57th st. ',' 155 e. 55th st. ',` new york ',` new york city ',212/751 -2931,212-371-8844,french,chinese,285,60,0
287,278,` le colonial ',` shun lee palace ',' 149 e. 57th st. ',' 155 e. 55th st. ',` new york ',` new york city ',' 212 / 752-0808 ',212-371-8844,asian,chinese,286,60,0
43,261,lespinasse,` lespinasse ( new york city ) ',' 2 e. 55th st. ',' 2 e. 55th st. ',` new york ',` new york city ',212/339 -6719,212-339-6719,american,asian,43,43,1
44,261,lutece,` lespinasse ( new york city ) ',' 249 e. 50th st. ',' 2 e. 55th st. ',` new york ',` new york city ',212/752 -2225,212-339-6719,french,asian,44,43,0
33,261,felidia,` lespinasse ( new york city ) ',' 243 e. 58th st. ',' 2 e. 55th st. ',` new york ',` new york city ',212/758 -1479,212-339-6719,italian,asian,33,43,0
205,261,` cafe pierre ',` lespinasse ( new york city ) ',' 2 e. 61st st. ',' 2 e. 55th st. ',` new york ',` new york city ',212/940 -8185,212-339-6719,french,asian,203,43,0
43,262,lespinasse,lutece,' 2 e. 55th st. ',' 249 e. 50th st. ',` new york ',` new york city ',212/339 -6719,212-752-2225,american,` french ( classic ) ',43,44,0
197,262,bruno,lutece,' 240 e. 58th st. ',' 249 e. 50th st. ',` new york ',` new york city ',212/688 -4190,212-752-2225,italian,` french ( classic ) ',195,44,0
32,262,dawat,lutece,' 210 e. 58th st. ',' 249 e. 50th st. ',` new york ',` new york city ',212/355 -7555,212-752-2225,asian,` french ( classic ) ',32,44,0
373,262,vong,lutece,' 200 e. 54th st. ',' 249 e. 50th st. ',` new york ',` new york city ',212/486 -9592,212-752-2225,american,` french ( classic ) ',373,44,0
44,262,lutece,lutece,' 249 e. 50th st. ',' 249 e. 50th st. ',` new york ',` new york city ',212/752 -2225,212-752-2225,french,` french ( classic ) ',44,44,1
374,262,` water club ',lutece,' 500 e. 30th st. ',' 249 e. 50th st. ',` new york ',` new york city ',212/683 -3333,212-752-2225,american,` french ( classic ) ',374,44,0
33,262,felidia,lutece,' 243 e. 58th st. ',' 249 e. 50th st. ',` new york ',` new york city ',212/758 -1479,212-752-2225,italian,` french ( classic ) ',33,44,0
287,262,` le colonial ',lutece,' 149 e. 57th st. ',' 249 e. 50th st. ',` new york ',` new york city ',' 212 / 752-0808 ',212-752-2225,asian,` french ( classic ) ',286,44,0
43,250,lespinasse,dawat,' 2 e. 55th st. ',' 210 e. 58th st. ',` new york ',` new york city ',212/339 -6719,212-355-7555,american,indian,43,32,0
32,250,dawat,dawat,' 210 e. 58th st. ',' 210 e. 58th st. ',` new york ',` new york city ',212/355 -7555,212-355-7555,asian,indian,32,32,1
373,250,vong,dawat,' 200 e. 54th st. ',' 210 e. 58th st. ',` new york ',` new york city ',212/486 -9592,212-355-7555,american,indian,373,32,0
52,250,petrossian,dawat,' 182 w. 58th st. ',' 210 e. 58th st. ',` new york ',` new york city ',212/245 -2214,212-355-7555,french,indian,52,32,0
220,250,chiam,dawat,' 160 e. 48th st. ',' 210 e. 58th st. ',` new york ',` new york city ',212/371 -2323,212-355-7555,asian,indian,218,32,0
356,93,` tang pavillion ',menchanko-tei,'65 w. 55th st. ','39 w. 55th st. ',` new york ',` new york city ',212/956 -6888,212-247-1585,asian,japanese,356,627,0
39,93,` la caravelle ',menchanko-tei,'33 w. 55th st. ','39 w. 55th st. ',` new york ',` new york city ',212/586 -4252,212-247-1585,french,japanese,39,627,0
24,268,aquavit,oceana,'13 w. 54th st. ','55 e. 54th st. ',` new york ',` new york city ',212/307 -7311,212-759-5941,continental,seafood,24,50,0
241,268,` fifty seven fifty seven ',oceana,'57 e. 57th st. ','55 e. 54th st. ',` new york ',` new york city ',212/758 -5757,212-759-5941,american,seafood,239,50,0
373,268,vong,oceana,' 200 e. 54th st. ','55 e. 54th st. ',` new york ',` new york city ',212/486 -9592,212-759-5941,american,seafood,373,50,0
50,268,oceana,oceana,'55 e. 54th st. ','55 e. 54th st. ',` new york ',` new york city ',212/759 -5941,212-759-5941,seafood,seafood,50,50,1
342,268,` san pietro ',oceana,'18 e. 54th st. ','55 e. 54th st. ',` new york ',` new york city ',212/753 -9015,212-759-5941,italian,seafood,342,50,0
309,268,` monkey bar ',oceana,'60 e. 54th st. ','55 e. 54th st. ',` new york ',` new york city ',212/838 -2600,212-759-5941,american,seafood,308,50,0
24,242,aquavit,aquavit,'13 w. 54th st. ','13 w. 54th st. ',` new york ',` new york city ',212/307 -7311,212-307-7311,continental,scandinavian,24,24,1
309,242,` monkey bar ',aquavit,'60 e. 54th st. ','13 w. 54th st. ',` new york ',` new york city ',212/838 -2600,212-307-7311,american,scandinavian,308,24,0
39,242,` la caravelle ',aquavit,'33 w. 55th st. ','13 w. 54th st. ',` new york ',` new york city ',212/586 -4252,212-307-7311,french,scandinavian,39,24,0
379,156,abbey,eats,' 163 ponce de leon ave. ',' 600 ponce de leon ave. ',atlanta,atlanta,404/876 -8532,404-888-9149,international,italian,379,690,0
379,181,abbey,tortillas,' 163 ponce de leon ave. ',' 774 ponce de leon ave. ne ',atlanta,atlanta,404/876 -8532,404-892-0193,international,tex-mex,379,716,0
86,181,` mary mac \ 's tea room ',tortillas,' 224 ponce de leon ave. ',' 774 ponce de leon ave. ne ',atlanta,atlanta,404/876 -1800,404-892-0193,southern,tex-mex,86,716,0
379,169,abbey,majestic,' 163 ponce de leon ave. ',' 1031 ponce de leon ave. ',atlanta,atlanta,404/876 -8532,404-875-0276,international,diners,379,703,0
86,169,` mary mac \ 's tea room ',majestic,' 224 ponce de leon ave. ',' 1031 ponce de leon ave. ',atlanta,atlanta,404/876 -1800,404-875-0276,southern,diners,86,703,0
241,263,` fifty seven fifty seven ',` manhattan ocean club ','57 e. 57th st. ','57 w. 58th st. ',` new york ',` new york city ',212/758 -5757,212-371-7777,american,seafood,239,45,0
273,263,` jean lafitte ',` manhattan ocean club ','68 w. 58th st. ','57 w. 58th st. ',` new york ',` new york city ',212/751 -2323,212-371-7777,french,seafood,272,45,0
301,263,` manhattan cafe ',` manhattan ocean club ',' 1161 1st ave. between 63rd and 64th sts . ','57 w. 58th st. ',` new york ',` new york city ',212/888 -6556,212-371-7777,american,seafood,300,45,0
349,263,shaan,` manhattan ocean club ','57 w. 48th st. ','57 w. 58th st. ',` new york ',` new york city ',' 212 / 977-8400 ',212-371-7777,asian,seafood,349,45,0
473,204,` grand cafe hotel monaco ',` mel \ 's drive-in ',' 501 geary st. ',' 3355 geary st. ',` san francisco ',` san francisco ',415/292 -0101,415-387-2244,american,hamburgers,473,739,0
398,152,` horseradish grill ',` carey \ 's corner ',' 4320 powers ferry rd. ',' 1215 powers ferry rd. ',atlanta,marietta,404/255 -7277,770-933-0909,southern,hamburgers,398,686,0
405,148,` luna si ',` brookhaven cafe ',' 1931 peachtree rd. ',' 4274 peachtree rd. ',atlanta,atlanta,404/355 -5993,404-231-5907,continental,vegetarian,405,682,0
393,148,` dante \ 's down the hatch buckhead ',` brookhaven cafe ',' 3380 peachtree rd. ',' 4274 peachtree rd. ',atlanta,atlanta,404/266 -1600,404-231-5907,continental,vegetarian,393,682,0
89,148,` cafe ritz-carlton buckhead ',` brookhaven cafe ',' 3434 peachtree rd. ',' 4274 peachtree rd. ',atlanta,atlanta,404/237 -2700,404-231-5907,` ext 6108 international ',vegetarian,89,682,0
410,148,palisades,` brookhaven cafe ',' 1829 peachtree rd. ',' 4274 peachtree rd. ',atlanta,atlanta,404/350 -6755,404-231-5907,continental,vegetarian,410,682,0
405,309,` luna si ',` ritz-carlton restaurant ',' 1931 peachtree rd. ',' 181 peachtree st. ',atlanta,atlanta,404/355 -5993,404-659-0400,continental,` french ( classic ) ',405,91,0
110,309,` ritz-carlton restaurant and dining room ',` ritz-carlton restaurant ',' 600 stockton st. ',' 181 peachtree st. ',` san francisco ',atlanta,415/296 -7465,404-659-0400,american,` french ( classic ) ',110,91,0
421,309,` taste of new orleans ',` ritz-carlton restaurant ',' 889 w. peachtree st. ',' 181 peachtree st. ',atlanta,atlanta,404/874 -5535,404-659-0400,southern,` french ( classic ) ',421,91,0
386,309,bistango,` ritz-carlton restaurant ',' 1100 peachtree st. ',' 181 peachtree st. ',atlanta,atlanta,404/724 -0901,404-659-0400,mediterranean,` french ( classic ) ',386,91,0
396,309,` french quarter food shop ',` ritz-carlton restaurant ',' 923 peachtree st. at 8th st. ',' 181 peachtree st. ',atlanta,atlanta,404/875 -2489,404-659-0400,southern,` french ( classic ) ',396,91,0
197,260,bruno,` les celebrites ',' 240 e. 58th st. ',' 155 w. 58th st. ',` new york ',` new york city ',212/688 -4190,212-484-5113,italian,` french ( classic ) ',195,42,0
52,260,petrossian,` les celebrites ',' 182 w. 58th st. ',' 155 w. 58th st. ',` new york ',` new york city ',212/245 -2214,212-484-5113,french,` french ( classic ) ',52,42,0
291,260,` le marais ',` les celebrites ',' 150 w. 46th st. ',' 155 w. 58th st. ',` new york ',` new york city ',212/869 -0900,212-484-5113,american,` french ( classic ) ',290,42,0
66,260,` virgil \ 's ',` les celebrites ',' 152 w. 44th st. ',' 155 w. 58th st. ',` new york ',` new york city ',' 212 / 921-9494 ',212-484-5113,american,` french ( classic ) ',66,42,0
45,260,` manhattan ocean club ',` les celebrites ','57 w. 58th st. ',' 155 w. 58th st. ',` new york ',` new york city ',' 212 / 371-7777 ',212-484-5113,seafood,` french ( classic ) ',45,42,0
329,260,` planet hollywood ',` les celebrites ',' 140 w. 57th st. ',' 155 w. 58th st. ',` new york ',` new york city ',212/333 -7827,212-484-5113,american,` french ( classic ) ',328,42,0
290,260,` le madri ',` les celebrites ',' 168 w. 18th st. ',' 155 w. 58th st. ',` new york ',` new york city ',212/727 -8022,212-484-5113,italian,` french ( classic ) ',289,42,0
197,264,bruno,march,' 240 e. 58th st. ',' 405 e. 58th st. ',` new york ',` new york city ',212/688 -4190,212-754-6272,italian,` american ( new ) ',195,46,0
52,264,petrossian,march,' 182 w. 58th st. ',' 405 e. 58th st. ',` new york ',` new york city ',212/245 -2214,212-754-6272,french,` american ( new ) ',52,46,0
46,264,march,march,' 405 e. 58th st. ',' 405 e. 58th st. ',` new york ',` new york city ',212/754 -6272,212-754-6272,american,` american ( new ) ',46,46,1
33,264,felidia,march,' 243 e. 58th st. ',' 405 e. 58th st. ',` new york ',` new york city ',212/758 -1479,212-754-6272,italian,` american ( new ) ',33,46,0
292,264,` le perigord ',march,' 405 e. 52nd st. ',' 405 e. 58th st. ',` new york ',` new york city ',212/755 -6244,212-754-6272,french,` american ( new ) ',291,46,0
326,264,` pen & pencil ',march,' 205 e. 45th st. ',' 405 e. 58th st. ',` new york ',` new york city ',212/682 -8660,212-754-6272,american,` american ( new ) ',325,46,0
197,107,bruno,` sparks steak house ',' 240 e. 58th st. ',' 210 e. 46th st. ',` new york ',` new york city ',212/688 -4190,212-687-4855,italian,steakhouses,195,641,0
32,107,dawat,` sparks steak house ',' 210 e. 58th st. ',' 210 e. 46th st. ',` new york ',` new york city ',212/355 -7555,212-687-4855,asian,steakhouses,32,641,0
373,107,vong,` sparks steak house ',' 200 e. 54th st. ',' 210 e. 46th st. ',` new york ',` new york city ',212/486 -9592,212-687-4855,american,steakhouses,373,641,0
62,107,` smith & wollensky ',` sparks steak house ',' 201 e. 49th st. ',' 210 e. 46th st. ',` new york ',` new york city ',212/753 -1530,212-687-4855,american,steakhouses,62,641,0
291,107,` le marais ',` sparks steak house ',' 150 w. 46th st. ',' 210 e. 46th st. ',` new york ',` new york city ',212/869 -0900,212-687-4855,american,steakhouses,290,641,0
317,107,orso,` sparks steak house ',' 322 w. 46th st. ',' 210 e. 46th st. ',` new york ',` new york city ',212/489 -7212,212-687-4855,italian,steakhouses,316,641,0
135,45,eclipse,` mo better meatty meat ',' 8800 melrose ave. ',' 7261 melrose ave. ',` los angeles ',la,310/724 -5959,213-935-5280,californian,hamburgers,132,579,0
170,45,` tommy tang \ 's ',` mo better meatty meat ',' 7313 melrose ave. ',' 7261 melrose ave. ',` los angeles ',la,213/937 -5733,213-935-5280,asian,hamburgers,167,579,0
16,45,patina,` mo better meatty meat ',' 5955 melrose ave. ',' 7261 melrose ave. ',` los angeles ',la,213/467 -1108,213-935-5280,californian,hamburgers,16,579,0
12,45,` le chardonnay ',` mo better meatty meat ',' 8284 melrose ave. ',' 7261 melrose ave. ',` los angeles ',la,213/655 -8880,213-935-5280,french,hamburgers,12,579,0
168,45,` tavola calda ',` mo better meatty meat ',' 7371 melrose ave. ',' 7261 melrose ave. ',` los angeles ',la,213/658 -6340,213-935-5280,italian,hamburgers,165,579,0
