ltable_id,rtable_id,ltable_Song_Name,rtable_Song_Name,ltable_Artist_Name,rtable_Artist_Name,ltable_Album_Name,rtable_Album_Name,ltable_Genre,rtable_Genre,ltable_Price,rtable_Price,ltable_CopyRight,rtable_CopyRight,ltable_Time,rtable_Time,ltable_Released,rtable_Released,label
4733,43755,Lick It ( Norman Doray Remix ) Lick It ( Remixes ) - EP,"Take ÌÏ There ( feat . Kiesza ) [ Netsky Remix ] 2010 Robbins Entertainment LLC 3:29 December 23 , 2014",Kaskade & Skrillex,Skrillex & Diplo,,Take ÌÏ There ( feat . Kiesza ) [ Remixes ],"Dance , Music , Electronic",Dance & Electronic,$ 1.29,$ 1.29,"2012 Ultra Records , Inc.",,6:14,,17-Apr-12,,0
4733,31618,Lick It ( Norman Doray Remix ) Lick It ( Remixes ) - EP,"Scary Monsters And Nice Sprites ( Phonat Remix ) Skrillex More Monsters And Sprites EP Dance & Electronic , Dubstep $ 1.29 2011 Rory Bourke Music Co. ( BMI )",Kaskade & Skrillex,,,,"Dance , Music , Electronic",,$ 1.29,,"2012 Ultra Records , Inc.",,6:14,3:39,17-Apr-12,"June 7 , 2011",0
3949,38669,"Whatcha Say ( Klubjumpers Remix Radio ) Jason Derulo Pop , Music , Rock , R&B / Soul , Contemporary R&B , Dance $ 1.29 2011 This Compilation P2011 Warner Bros. . Records Inc. 4:02",The Sky 's The Limit ( Ayo Remix ) Jason Derulo Reloaded $ 1.29 3:25,,,Reloaded,,,Pop,,,,"( C ) 2006 DTP Records , LLC",,,16-Dec-11,"December 16 , 2011",0
2477,1222,"Because of Your Love Greatest Hits Country , Music , Contemporary Country , Urban Cowboy $ 0.99","Ruby , Do n't Take Your Love To Town 2:55",Kenny Chesney,Kenny Rogers,,49 All Time Greatest Hits,,"Country , Traditional Country , Cowboy",,$ 0.89,2000 BMG Entertainment,( c ) 2008 Goldenlane Records,4:16,,26-Sep-00,"August 1 , 2008",0
4056,40142,Where Are '`` Now ( with Justin Bieber ) [ Ember Island Remix ] 2:31 16-Jun-15,"Scary Monsters And Nice Sprites ( Zedd Remix ) Skrillex Scary Monsters And Nice Sprites EP [ Explicit ] Electronica , Dance & Electronic , Dubstep $ 1.29 ( c ) 2013 Digitop Ltd",Skrillex & Diplo,,Where Are '`` Now ( with Justin Bieber ) [ Remixes ] - EP,,"Dance , Music",,$ 1.29,,2015 OWSLA / Mad Decent / Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States . A Warner Music Group Company,,,5:57,,"December 21 , 2010",0
1551,41574,Second Chance ( Live Acoustic from Kansas City ) Shinedown $ 1.29 2011 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States . 18-Apr-11,"Burning Bright ( Live From Washington State ) Somewhere In The Stratosphere Rock $ 1.29 April 18 , 2011",,Shinedown,Somewhere In the Stratosphere ( Live ),,"Rock , Music , Metal , Alternative , Hard Rock",,,,,( C ) 2005 MCA Nashville,5:06,3:53,,,0
2020,28191,"If I Am a Stranger ( Live In Amsterdam ) Ryan Adams Live After Deaf ( Live ) [ Complete Collection ] Singer/Songwriter , Music , Rock $ 0.99 2012 PAXAM RECORDS 5:10 2-Jul-12",Dear Chicago ( Live in Stockholm ) Live After Deaf ( Collection ) 2012 PAXAM RECORDS,,Ryan Adams,,,,"Folk , Rock",,$ 0.99,,,,2:29,,"July 2 , 2012",0
2020,28341,"If I Am a Stranger ( Live In Amsterdam ) Ryan Adams Live After Deaf ( Live ) [ Complete Collection ] Singer/Songwriter , Music , Rock $ 0.99 2012 PAXAM RECORDS 5:10 2-Jul-12","Carolina Rain ( Live in Cork ) Ryan Adams $ 0.99 2012 PAXAM RECORDS 5:41 August 9 , 2012",,,,Live After Deaf ( Cork ),,"Folk , Rock",,,,,,,,,0
2020,28308,"If I Am a Stranger ( Live In Amsterdam ) Ryan Adams Live After Deaf ( Live ) [ Complete Collection ] Singer/Songwriter , Music , Rock $ 0.99 2012 PAXAM RECORDS 5:10 2-Jul-12",16 Days ( Live in Glasgow ) $ 0.99 2012 PAXAM RECORDS 4:31,,Ryan Adams,,Live After Deaf ( Collection ),,"Folk , Rock",,,,,,,,"July 2 , 2012",0
1405,55640,Autonomy ( Cold Blank Mix ) Autonomy - EP 2011 Bugeyed Records 28-Mar-11,"Autonomy ( Lucky Date Mix ) Zedd Electronica , Dance & Electronic 5:59 March 28 , 2011",Zedd,,,Zedd - Autonomy,"Dance , Music",,$ 0.99,$ 0.99,,( C ) 2014 Wolf Tone Limited,4:59,,,,0
380,33288,"Closer ( feat . Mike Posner ) Nick Jonas $ 1.29 2014 Island Records , a division of UMG Recordings , Inc. / Safehouse Records , LLC 3:48","Numb [ feat . Angel Haze ] [ Clean ] Pop $ 1.29 ( C ) 2014 Island Records/Safehouse Records LLC , a division of UMG Recordings , Inc. 3:57",,Nick Jonas,Nick Jonas ( Deluxe Version ),Nick Jonas ( Deluxe ) [ Clean ],"Pop , Music , Teen Pop , Pop/Rock , Rock",,,,,,,,10-Nov-14,"November 10 , 2014",0
1545,41588,"Second Chance ( Live Acoustic from Kansas City ) Somewhere In the Stratosphere ( Live ) Rock , Music , Metal , Alternative , Hard Rock 2011 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States . 5:06",45 ( Live Acoustic From Kansas City ) Somewhere In The Stratosphere,Shinedown,Shinedown,,,,Rock,$ 1.29,$ 1.29,,( C ) 2005 MCA Nashville,,6:12,18-Apr-11,"April 18 , 2011",0
4236,27814,"Starry Eyed ( AN21 and Max Vangeli Remix ) Starry Eyed ( Remixes ) - EP Dance , Music , Pop , Rock $ 1.29 15-Feb-11","Lights ( Shook Remix ) Ellie Goulding Lights ( The Remixes Part 1 ) Pop 3:49 May 23 , 2011",Ellie Goulding,,,,,,,$ 1.29,2011 Polydor Ltd. ( UK ),( C ) 2011 Polydor Ltd. ( UK ),8:14,,,,0
4734,31604,"Lick It ( Norman Doray Remix ) Lick It ( Remixes ) - EP Dance , Music , Electronic 2012 Ultra Records , Inc. 6:14 17-Apr-12","Scary Monsters And Nice Sprites ( Phonat Remix ) More Monsters And Sprites EP Dance & Electronic , Dubstep 2011 Rory Bourke Music Co. ( BMI ) June 7 , 2011",Kaskade & Skrillex,Skrillex,,,,,$ 1.29,$ 1.29,,,,3:39,,,0
1236,50715,"Titanium ( Spanish Version ) David Guetta Titanium ( Spanish Version ) - Single Dance , Music , Electronic $ 1.29","Titanium ( feat . Sia ) [ Cazzette 's Ant Seeking Hamster Mix ] $ 0.99 January 20 , 2012",,David Guetta,,Titanium ( Feat . Sia ),,Dance & Electronic,,,"2012 What A Music Ltd , Licence exclusive Parlophone Music France","2011 What A Music Ltd , licence exclusive Parlophone Music France",3:58,6:37,20-Aug-12,,0
4823,20588,Halcyon Ellie Goulding $ 1.29 ‰ ãÑ 2013 Polydor Ltd. ( UK ),"Halcyon Ellie Goulding Pop ( C ) 2013 Polydor Ltd. ( UK ) 3:24 August 27 , 2013",,,Halcyon Days ( Deluxe Edition ),Halcyon,"Pop , Music , Dance , Rock",,,$ 1.29,,,3:24,,27-Aug-13,,1
1168,34894,"Toyfriend ( feat . Wynter Gordon ) [ Continuous Mix Version ] One Love ( Deluxe Version ) Dance , Music $ 1.29 21-Aug-09","Gettin ' Over ( Feat . Chris Willis ; Continuous Mix Version ) David Guetta One Love ( Deluxe Version ) Dance & Electronic ( C ) 2014 Swedish House Mafia Holdings Ltd ( BVI ) under exclusive license to Virgin Records Ltd August 21 , 2009",David Guetta,,,,,,,$ 1.29,2010 Gum Prod licence exclusive Parlophone Music France,,2:51,3:31,,,0
1262,34894,"Toyfriend ( feat . Wynter Gordon ) [ Continuous Mix Version ] One Love ( Deluxe Version ) Dance , Music 2010 Gum Prod licence exclusive Parlophone Music France 2:51 21-Aug-09","Gettin ' Over ( Feat . Chris Willis ; Continuous Mix Version ) David Guetta One Love ( Deluxe Version ) Dance & Electronic ( C ) 2014 Swedish House Mafia Holdings Ltd ( BVI ) under exclusive license to Virgin Records Ltd August 21 , 2009",David Guetta,,,,,,$ 1.29,$ 1.29,,,,3:31,,,0
1202,28013,"The Whisperer ( feat . Sia ) Listen Dance , Music , Electronic , House , Rock , French Pop 2014 What A Music Ltd. under exclusive license to Parlophone/Warner Music France , under exclusive license to Atlantic Recording Corporation for the United States . All rights reserved 3:54 24-Nov-14",Dangerous ( feat . Sam Martin ) David Guetta Listen ( Deluxe ) Dance & Electronic 3:23,David Guetta,,,,,,$ 1.29,$ 1.29,,2015 If Moving Your Mine,,,,"November 24 , 2014",0
1275,28013,"Toyfriend ( feat . Wynter Gordon ) [ Continuous Mix Version ] David Guetta Dance , Music",Dangerous ( feat . Sam Martin ) David Guetta Listen ( Deluxe ) Dance & Electronic 3:23,,,One Love ( Deluxe Version ),,,,$ 1.29,$ 1.29,2010 Gum Prod licence exclusive Parlophone Music France,2015 If Moving Your Mine,2:51,,21-Aug-09,"November 24 , 2014",0
210,19800,Slow Down ( Sure Shot Rockers Reggae Dub Remix ) Slow Down ( Reggae Remixes ) - Single $ 1.29 3:15,Good For You ( Yellow Claw & Cesqeaux Remix ) [ feat . A$ AP Rocky ] Pop $ 1.29,Selena Gomez,Selena Gomez,,Good For You ( Remixes ),"Reggae , Music , Electronic , Dance , Rock",,,,"2013 Hollywood Records , Inc.",( C ) 2015 Interscope Records,,3:01,20-Aug-13,"September 4 , 2015",0
3376,7414,"True Colors ( feat . Nicki Minaj ) Blacc Hollywood Hip-Hop/Rap , Music , Rap , East Coast Rap , Hardcore Rap , Rock $ 1.29 2014 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States . A Warner Music Group Company 19-Aug-14","True Colors ( feat . Nicki Minaj ) [ Explicit ] Wiz Khalifa Blacc Hollywood [ Explicit ] Rap & Hip-Hop 2014 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States . A Warner Music Group Company August 19 , 2014",Wiz Khalifa,,,,,,,$ 1.29,,,4:15,4:15,,,1
5712,35057,"Turn Around ( 5,4,3,2,1 ) [ DJ Bam Bam Radio Remix ] Flo Rida $ 1.29 16-Nov-10","Turn Around ( 5,4,3,2,1 ) Flo Rida Only One Flo ( Part 1 ) [ Deluxe ] [ + Video ] [ + Digital Booklet ] Rap & Hip-Hop $ 1.29 2010 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States 3:20",,,"Turn Around ( 5,4,3,2,1 ) - Deluxe Single",,"Hip-Hop/Rap , Music , Electronic , Rap , Dirty South , Dance",,,,‰ ãÑ 2010 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States .,,3:35,,,"November 26 , 2010",1
303,22290,"Lifted ( feat . Emeli Sand ' © & Professor Green ) Hotel Cabana ( Deluxe Version ) Pop , Music , Rock , R&B / Soul , Contemporary R&B , Dance,Electronic,Hip-Hop / Rap , Pop/Rock $ 1.29","One Way [ feat . Mic Righteous ] Naughty Boy Hotel Cabana ( Deluxe Version ) [ Explicit ] Pop $ 1.29 ( C ) 2014 Naughty Boy Recordings Ltd under exclusive licence to Virgin Records Ltd May 6 , 2014",Naughty Boy,,,,,,,,2013 Naughty Boy Recordings Ltd under exclusive licence to Virgin Records Ltd,,4:15,3:26,6-May-14,,0
3346,37611,"Young , Wild & Free ( feat . Bruno Mars ) Snoop Dogg Soundtrack,Music,Hip-Hop / Rap , West Coast Rap , Gangsta Rap , Hardcore Rap , Rap , Soundtrack $ 1.99 2011 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States","Can You Control Yo Hoe ( Album Version ( Explicit ) ) [ feat . Soopafly ] [ Explicit ] Snoop Dogg R&G ( Rhythm & Gangsta ) : The Masterpiece ( Explicit Version ) Gangsta & Hardcore , Rap & Hip-Hop ( C ) 2004 Geffen Records November 16 , 2004",,,Mac and Devin Go to High School ( Music from and Inspired By the Movie ) [ Deluxe Version ],,,,,$ 0.99,,,4:12,3:08,12-Dec-11,,0
6764,51438,"Gone The Weeknd Trilogy R&B / Soul , Music , Rock , Contemporary R&B $ 1.29 ‰ ãÑ 2012 XO & co. , Inc.","Gone ( Album Version ( Edited ) ) [ Clean ] ( C ) 2013 XO & co. , Inc. 8:07 September 18 , 2015",,The Weeknd,,Trilogy ( Edited Version ) [ Clean ],,R&B,,$ 1.29,,,8:07,,13-Nov-12,,1
2021,28403,If I Am a Stranger ( Live In Amsterdam ) Live After Deaf ( Live ) [ Complete Collection ] 2012 PAXAM RECORDS 5:10,"Lucky Now ( Live At Carnegie Hall / 11/17/2014 ) [ Explicit ] Ryan Adams $ 1.29 ( C ) 2015 PaxAmericana Recording Company Under Exclusive Licenese To Blue Note Records April 21 , 2015",Ryan Adams,,,Live At Carnegie Hall [ Explicit ],"Singer/Songwriter , Music , Rock",Rock,$ 0.99,,,,,6:01,2-Jul-12,,0
2021,28279,If I Am a Stranger ( Live In Amsterdam ) Live After Deaf ( Live ) [ Complete Collection ] 2012 PAXAM RECORDS 5:10,"16 Days ( Live in London 2 Bonus Track ) Ryan Adams Folk , Rock $ 0.99 4:56 July 2 , 2012",Ryan Adams,,,Live After Deaf ( Collection ),"Singer/Songwriter , Music , Rock",,$ 0.99,,,2012 PAXAM RECORDS,,,2-Jul-12,,0
1084,9523,"Masterpiece ( feat . Jordan Rakei ) Disclosure Caracal 2015 Island Records , a division of Universal Music Operations Limited 4:01","Holding On [ feat . Gregory Porter ] Disclosure $ 1.29 5:15 September 25 , 2015",,,,Caracal,"Electronic , Music , Dance , Garage , House , Rock","Electronica , Dance & Electronic",Album Only,,,"( C ) 2015 Island Records , a division of Universal Music Operations Limited",,,,,0
1204,28025,"Dangerous ( feat . Sam Martin ) [ Robin Schulz Remix ] [ Radio Edit ] Listen ( Deluxe Version ) Dance , Music , Rock , House , Electronic , French Pop $ 1.29 2014 What A Music Ltd. under exclusive license to Parlophone/Warner Music France , under exclusive license to Atlantic Recording Corporation for the United States . All rights reserved .","I 'll Keep Loving you ( feat . Birdy & Jaymes Young ) Listen ( Deluxe ) Dance & Electronic $ 1.29 3:08 November 24 , 2014",David Guetta,David Guetta,,,,,,,,2015 If Moving Your Mine,3:20,,24-Nov-14,,0
1263,28025,Toyfriend ( feat . Wynter Gordon ) [ Continuous Mix Version ] $ 1.29 2010 Gum Prod licence exclusive Parlophone Music France 2:51 21-Aug-09,"I 'll Keep Loving you ( feat . Birdy & Jaymes Young ) Listen ( Deluxe ) Dance & Electronic $ 1.29 3:08 November 24 , 2014",David Guetta,David Guetta,One Love ( Deluxe Version ),,"Dance , Music",,,,,2015 If Moving Your Mine,,,,,0
1828,15256,"El Perd ' _ n ( Forgiveness ) Pop , Music 3:26","El PerdÌ_n ( Gregor Salto Remix ) Nicky Jam & Enrique Iglesias 2015 Real Sounds July 1 , 2015",Nicky Jam & Enrique Iglesias,,El Perd ' _ n ( Forgiveness ) - Single,El PerdÌ_n ( The Remixes ),,"International , Latin Music , Latin Hip-Hop",$ 1.29,$ 1.29,2015 Sony Music Entertainment US Latin LLC,,,4:09,10-Jul-15,,0
5147,43656,"Take Care ( feat . Rihanna ) Take Care ( Deluxe Version ) Hip-Hop/Rap , Music $ 1.29","Make Me Proud [ feat . Nicki Minaj ] [ Clean ] Take Care ( Deluxe Edition ) 3:39 March 20 , 2012",Drake,Drake,,,,Rap & Hip-Hop,,$ 1.29,‰ ãÑ 2011 Cash Money Records Inc.,( C ) 2012 Cash Money Records Inc.,4:37,,15-Nov-11,,0
5147,43679,"Take Care ( feat . Rihanna ) Take Care ( Deluxe Version ) Hip-Hop/Rap , Music $ 1.29",The Real Her [ feat . Andre 3000 ] [ Explicit ] Rap & Hip-Hop $ 1.29 ( C ) 2012 Cash Money Records Inc.,Drake,Drake,,Take Care ( Deluxe Edition ) [ Explicit ],,,,,‰ ãÑ 2011 Cash Money Records Inc.,,4:37,5:21,15-Nov-11,"March 20 , 2012",0
2694,17169,"Whateva ( feat . Monty ) Fetty Wap Hip-Hop/Rap , Music , Rap Album Only 2015 300 Entertainment/RGF Productions","My Way ( feat . Monty ) [ Explicit ] Fetty Wap Fetty Wap ( Deluxe ) [ Explicit ] Rap & Hip-Hop ( C ) 2000 Mute Records Ltd. , a BMG Company , under exclusive license to INgrooves 3:33",,,Fetty Wap ( Deluxe ),,,,,$ 1.29,,,5:11,,,"September 25 , 2015",0
592,43689,I Ai n't Livin ' Long Like This Take It to the Bank - EP 2014 Sony Music Entertainment,"I Ai n't Livin ' Long Like This Chris Janson Take It to the Bank ( EP ) February 24 , 2014",Chris Janson,,,,"Country , Music",Country,$ 1.29,$ 1.29,,( C ) 2012 Cash Money Records Inc.,4:13,4:13,24-Feb-14,,1
598,43689,I Ai n't Livin ' Long Like This Take It to the Bank - EP $ 1.29 2014 Sony Music Entertainment 4:13,"I Ai n't Livin ' Long Like This Chris Janson Take It to the Bank ( EP ) February 24 , 2014",Chris Janson,,,,"Country , Music",Country,,$ 1.29,,( C ) 2012 Cash Money Records Inc.,,4:13,24-Feb-14,,1
2479,33786,I Ca n't Go There ( Acoustic Version ) $ 0.99 2002 BMG 3:45,"I Ca n't Go There ( Acoustic Version ) Kenny Chesney No Shoes , No Shirt , No Problems Country 3:45 April 2 , 2002",Kenny Chesney,,"No Shoes , No Shirt , No Problems",,"Country , Music , Contemporary Country , Urban Cowboy",,,$ 0.99,,Underground Avenue,,,2-Apr-02,,1
1542,41590,Second Chance ( Live Acoustic from Kansas City ) $ 1.29 2011 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States . 18-Apr-11,Times Like These ( Live Acoustic From Kansas City ) Shinedown Rock 4:07,Shinedown,,Somewhere In the Stratosphere ( Live ),Somewhere In The Stratosphere,"Rock , Music , Metal , Alternative , Hard Rock",,,$ 1.29,,( C ) 2005 MCA Nashville,5:06,,,"April 18 , 2011",0
1542,41566,Second Chance ( Live Acoustic from Kansas City ) $ 1.29 2011 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States . 18-Apr-11,Intro ( Scary Fairy ) [ Live From Washington State ] Somewhere In The Stratosphere ( C ) 2005 MCA Nashville,Shinedown,Shinedown,Somewhere In the Stratosphere ( Live ),,"Rock , Music , Metal , Alternative , Hard Rock",Rock,,$ 1.29,,,5:06,1:02,,"April 18 , 2011",0
5001,3099,"Who I Am With You Chris Young Country , Music , Urban Cowboy , Contemporary Country ‰ ãÑ 2013 Sony Music Entertainment 3:13","Who I Am With You Country September 16 , 2013",,Chris Young,A.M.,A.M.,,,$ 1.29,$ 1.29,,"( C ) 2010 Hollywood Records , Inc.",,3:11,16-Sep-13,,1
6290,47840,Gold ( feat . Eighty4 Fly ) Macklemore & Ryan Lewis The Heist ( Deluxe Edition ),"Neon Cathedral ( feat . Allen Stone ) Macklemore & Ryan Lewis The Heist [ Explicit ] Rap & Hip-Hop 2014 Selena Garcia & Steven Gomez October 9 , 2012",,,,,"Hip-Hop/Rap , Music , Rap , Alternative Rap , West Coast Rap",,$ 1.29,$ 1.29,"‰ ãÑ 2012 Macklemore , LLC .",,4:11,4:34,1-Aug-12,,0
1193,28006,The Whisperer ( feat . Sia ) Listen $ 1.29 3:54,S.T.O.P ( feat . Ryan Tedder ) David Guetta Listen ( Deluxe ) Dance & Electronic 2015 If Moving Your Mine,David Guetta,,,,"Dance , Music , Electronic , House , Rock , French Pop",,,$ 1.29,"2014 What A Music Ltd. under exclusive license to Parlophone/Warner Music France , under exclusive license to Atlantic Recording Corporation for the United States . All rights reserved",,,3:34,24-Nov-14,"November 24 , 2014",0
1193,27999,The Whisperer ( feat . Sia ) Listen $ 1.29 3:54,"Goodbye Friend ( feat . The Script ) David Guetta Dance & Electronic $ 1.29 November 24 , 2014",David Guetta,,,Listen ( Deluxe ),"Dance , Music , Electronic , House , Rock , French Pop",,,,"2014 What A Music Ltd. under exclusive license to Parlophone/Warner Music France , under exclusive license to Atlantic Recording Corporation for the United States . All rights reserved",2015 If Moving Your Mine,,3:49,24-Nov-14,,0
1203,27999,Dangerous ( feat . Sam Martin ) [ Robin Schulz Remix ] [ Radio Edit ] David Guetta $ 1.29 24-Nov-14,"Goodbye Friend ( feat . The Script ) David Guetta Dance & Electronic $ 1.29 November 24 , 2014",,,Listen ( Deluxe Version ),Listen ( Deluxe ),"Dance , Music , Rock , House , Electronic , French Pop",,,,"2014 What A Music Ltd. under exclusive license to Parlophone/Warner Music France , under exclusive license to Atlantic Recording Corporation for the United States . All rights reserved .",2015 If Moving Your Mine,3:20,3:49,,,0
1193,28008,The Whisperer ( feat . Sia ) Listen $ 1.29 3:54,The Whisperer ( feat . Sia ) Listen ( Deluxe ) Dance & Electronic $ 1.29 2015 If Moving Your Mine 3:54,David Guetta,David Guetta,,,"Dance , Music , Electronic , House , Rock , French Pop",,,,"2014 What A Music Ltd. under exclusive license to Parlophone/Warner Music France , under exclusive license to Atlantic Recording Corporation for the United States . All rights reserved",,,,24-Nov-14,"November 24 , 2014",1
801,29543,As Long As You Love Me ( feat . Big Sean ) [ Audien Luvstep Mix ] 2012 The Island Def Jam Music Group,Love Me Like You Do ( Sax Instrumental Version ) Justin Ward Love Me Like You Do - Made Popular By Ellie Goulding Pop ( c ) 2015 Covered Records 3:16,Justin Bieber,,As Long As You Love Me ( Remixes ) [ feat . Big Sean ],,"Dance , Music , Rock",,$ 1.29,$ 0.89,,,4:40,,11-Sep-12,,0
6234,13713,"Doin ' My Thing Doin ' My Thing Country , Music , Contemporary Country ‰ ãÑ 2009 Capitol Records Nashville . All rights reserved . Unauthorized reproduction is a violation of applicable laws . Manufactured by Capitol Records Nashville , 3322 West End Avenue , 11th Floor , Nashville , TN 37203 2-Oct-09",Doin ' My Thing Luke Bryan Doin ' My Thing Country $ 1.29 3:09,Luke Bryan,,,,,,$ 1.29,,,( C ) 2009 Capitol Records Nashville,3:09,,,"October 2 , 2009",1
3349,7362,Remember You ( feat . The Weeknd ) $ 1.99 2012 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States 4-Dec-12,"KK ( feat . Project Pat & Juicy J ) [ Explicit ] $ 1.29 August 19 , 2014",Wiz Khalifa,Wiz Khalifa,O.N.I.F.C. ( Deluxe Version ),Blacc Hollywood ( Deluxe ) [ Explicit ],"Hip-Hop/Rap , Music , Hardcore Rap , East Coast Rap , Rap",Rap & Hip-Hop,,,,2014 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States . A Warner Music Group Company,5:20,4:09,,,0
