ltable_id,rtable_id,ltable_title,rtable_title,ltable_authors,rtable_authors,ltable_venue,rtable_venue,ltable_year,rtable_year,label
2175,722,issues and evaluations of caching solutions for web application acceleration 2002,web caching for database applications with oracle web cache,"oliver po , divyakant agrawal , radu sion , wen-syan li , wang-pin hsiung , dmitri v. kalashnikov , k. selçuk candan","jesse anton , lawrence jacobs , xiang liu , jordan parker , zheng zeng , tie zhong",vldb,international conference on management of data,,2002.0,0
2072,722,"a transaction replication scheme for a replicated database with node autonomy david wai-lok cheung , ada wai-chee fu",web caching for database applications with oracle web cache,,"jesse anton , lawrence jacobs , xiang liu , jordan parker , zheng zeng , tie zhong",vldb,international conference on management of data,1994.0,2002.0,0
833,722,combi-operator : database support for data mining applications vldb 2003,web caching for database applications with oracle web cache,"wolfgang lehner , alexander hinneburg , dirk habich","jesse anton , lawrence jacobs , xiang liu , jordan parker , zheng zeng , tie zhong",,international conference on management of data,,2002.0,0
677,722,"building scalable internet applications with oracle8i server olga peschansky , josé alberto fernández , julie basu",web caching for database applications with oracle web cache,,"jesse anton , lawrence jacobs , xiang liu , jordan parker , zheng zeng , tie zhong",vldb,international conference on management of data,2000.0,2002.0,0
1756,720,web caching for database applications with oracle web cache,"dbcache : database caching for web application servers mehmet altinel , qiong luo , sailesh krishnamurthy , c. mohan , hamid pirahesh , bruce g. lindsay , honguk woo , larry brown international conference on management of data 2002","jordan parker , jesse anton , zheng zeng , lawrence jacobs , tie zhong , xiang liu",,sigmod conference,,2002.0,,0
1613,720,"transparent mid-tier database caching in sql server per-åke larson , jingren zhou , jonathan goldstein 2003","dbcache : database caching for web application servers mehmet altinel , qiong luo , sailesh krishnamurthy , c. mohan , hamid pirahesh , bruce g. lindsay , honguk woo , larry brown international conference on management of data 2002",,,sigmod conference,,,,0
27,720,form-based proxy caching for database-backed web sites,"dbcache : database caching for web application servers mehmet altinel , qiong luo , sailesh krishnamurthy , c. mohan , hamid pirahesh , bruce g. lindsay , honguk woo , larry brown international conference on management of data 2002","jeffrey f. naughton , qiong luo",,vldb,,2001.0,,0
833,720,combi-operator : database support for data mining applications vldb 2003,"dbcache : database caching for web application servers mehmet altinel , qiong luo , sailesh krishnamurthy , c. mohan , hamid pirahesh , bruce g. lindsay , honguk woo , larry brown international conference on management of data 2002","wolfgang lehner , alexander hinneburg , dirk habich",,,,,,0
1821,720,caching technologies for web applications c. mohan vldb,"dbcache : database caching for web application servers mehmet altinel , qiong luo , sailesh krishnamurthy , c. mohan , hamid pirahesh , bruce g. lindsay , honguk woo , larry brown international conference on management of data 2002",,,,,2001.0,,0
1578,720,gigascope : a stream database for network applications 2003,"dbcache : database caching for web application servers mehmet altinel , qiong luo , sailesh krishnamurthy , c. mohan , hamid pirahesh , bruce g. lindsay , honguk woo , larry brown international conference on management of data 2002","theodore johnson , charles d. cranor , oliver spatscheck , vladislav shkapenyuk",,sigmod conference,,,,0
2206,720,"middle-tier database caching for e-business hamid pirahesh , c. mohan , jeffrey f. naughton , sailesh krishnamurthy , honguk woo , qiong luo , bruce g. lindsay","dbcache : database caching for web application servers mehmet altinel , qiong luo , sailesh krishnamurthy , c. mohan , hamid pirahesh , bruce g. lindsay , honguk woo , larry brown international conference on management of data 2002",,,sigmod conference,,2002.0,,0
651,720,"dbcache : middle-tier database caching for highly scalable e-business architectures c. mohan , sailesh krishnamurthy , mehmet altinel , christof bornhövd , hamid pirahesh , berthold reinwald sigmod conference","dbcache : database caching for web application servers mehmet altinel , qiong luo , sailesh krishnamurthy , c. mohan , hamid pirahesh , bruce g. lindsay , honguk woo , larry brown international conference on management of data 2002",,,,,2003.0,,0
2084,720,"sybase replication server mark deppe , yongdong wang , alex gorelik sigmod conference 1994","dbcache : database caching for web application servers mehmet altinel , qiong luo , sailesh krishnamurthy , c. mohan , hamid pirahesh , bruce g. lindsay , honguk woo , larry brown international conference on management of data 2002",,,,,,,0
1756,270,web caching for database applications with oracle web cache,"storhouse metanoia - new applications for database , storage & ; data warehousing felipe cari &#241; o , jr. , pekka kostamaa , art kaufmann , john burgess 2001","jordan parker , jesse anton , zheng zeng , lawrence jacobs , tie zhong , xiang liu",,sigmod conference,international conference on management of data,2002.0,,0
353,270,dec data distributor : for data replication and data warehousing daniel j. dietterich sigmod conference,"storhouse metanoia - new applications for database , storage & ; data warehousing felipe cari &#241; o , jr. , pekka kostamaa , art kaufmann , john burgess 2001",,,,international conference on management of data,1994.0,,0
2050,270,"storhouse metanoia - new applications for database , storage & data warehousing sigmod conference 2001","storhouse metanoia - new applications for database , storage & ; data warehousing felipe cari &#241; o , jr. , pekka kostamaa , art kaufmann , john burgess 2001","felipe cariño , pekka kostamaa , art kaufmann , john burgess",,,international conference on management of data,,,1
217,2135,oracle industrial exhibit 1998,objectivity industrial exhibit objectivity very large data bases,amy pogue,,vldb,,,1998.0,0
402,2135,objectivity industrial exhibit vldb 1998,objectivity industrial exhibit objectivity very large data bases,objectivity,,,,,1998.0,1
217,2144,oracle industrial exhibit 1998,oracle industrial exhibit amy pogue very large data bases,amy pogue,,vldb,,,1998.0,1
2476,1309,extracting large-scale knowledge bases from the web,amalgamating knowledge bases v. s. subrahmanian acm transactions on database systems ( tods ),"andrew tomkins , prabhakar raghavan , ravi kumar , sridhar rajagopalan",,vldb,,1999.0,1994.0,0
1725,1309,updating knowledge bases while maintaining their consistency,amalgamating knowledge bases v. s. subrahmanian acm transactions on database systems ( tods ),"antoni olivé , ernest teniente",,vldb j.,,1995.0,1994.0,0
1655,1309,"building knowledge base management systems thodoros topaloglou , adel shrufi , vinay k. chaudhri , dimitris plexousakis , john mylopoulos vldb j.",amalgamating knowledge bases v. s. subrahmanian acm transactions on database systems ( tods ),,,,,1996.0,1994.0,0
2415,1309,amalgamating knowledge bases v. s. subrahmanian,amalgamating knowledge bases v. s. subrahmanian acm transactions on database systems ( tods ),,,acm trans . database syst .,,1994.0,1994.0,1
610,1595,efficient optimistic concurrency control using loosely synchronized clocks sigmod conference,efficient optimistic concurrency control using loosely synchronized clocks,"barbara liskov , atul adya , robert gruber , umesh maheshwari","atul adya , robert gruber , barbara liskov , umesh maheshwari",,international conference on management of data,1995.0,1995.0,1
1598,1595,efficient concurrency control in multidimensional access methods 1999,efficient optimistic concurrency control using loosely synchronized clocks,"sharad mehrotra , kaushik chakrabarti","atul adya , robert gruber , barbara liskov , umesh maheshwari",sigmod conference,international conference on management of data,,1995.0,0
610,210,efficient optimistic concurrency control using loosely synchronized clocks sigmod conference,efficient concurrency control for broadcast environments international conference on management of data,"barbara liskov , atul adya , robert gruber , umesh maheshwari","jayavel shanmugasundaram , arvind nithrakashyap , rajendran sivasankaran , krithi ramamritham",,,1995.0,1999.0,0
2245,210,"efficient concurrency control for broadcast environments arvind nithrakashyap , rajendran m. sivasankaran , jayavel shanmugasundaram , krithi ramamritham sigmod conference 1999",efficient concurrency control for broadcast environments international conference on management of data,,"jayavel shanmugasundaram , arvind nithrakashyap , rajendran sivasankaran , krithi ramamritham",,,,1999.0,1
2183,1630,"odefs : a file system interface to an object-oriented database narain h. gehani , william d. roome , h. v. jagadish vldb",unisql/x unified relational and object-oriented database system won kim 1994,,,,international conference on management of data,1994.0,,0
2232,1630,query unnesting in object-oriented databases leonidas fegaras 1998,unisql/x unified relational and object-oriented database system won kim 1994,,,sigmod conference,international conference on management of data,,,0
1021,1630,"the algres testbed of chimera : an active object-oriented database system giuseppe psaila , stefano ceri , stefano paraboschi , piero fraternali",unisql/x unified relational and object-oriented database system won kim 1994,,,sigmod conference,international conference on management of data,1995.0,,0
2081,1630,"naos - efficient and modular reactive capabilities in an object-oriented database system thierry coupaye , t. svensen , christine collet",unisql/x unified relational and object-oriented database system won kim 1994,,,vldb,international conference on management of data,1994.0,,0
1985,1630,static detection of security flaws in object-oriented databases keishi tajima sigmod conference 1996,unisql/x unified relational and object-oriented database system won kim 1994,,,,international conference on management of data,,,0
341,1630,implementation of magic-sets in a relational database system sigmod conference,unisql/x unified relational and object-oriented database system won kim 1994,"inderpal singh mumick , hamid pirahesh",,,international conference on management of data,1994.0,,0
2302,1630,"a logical foundation for deductive object-oriented databases mengchi liu , tok wang ling , gillian dobbie acm trans . database syst . 2002",unisql/x unified relational and object-oriented database system won kim 1994,,,,international conference on management of data,,,0
783,1630,an effective deductive object-oriented database through language integration 1994,unisql/x unified relational and object-oriented database system won kim 1994,"m. howard williams , norman w. paton , andrew dinn , maria l. barja , alvaro a. a. fernandes",,vldb,international conference on management of data,,,0
1542,1630,extraction of object-oriented structures from existing relational databases,unisql/x unified relational and object-oriented database system won kim 1994,"julia e. hodges , shekar ramanathan",,sigmod record,international conference on management of data,1997.0,,0
973,1630,the ccube constraint object-oriented database system sigmod conference,unisql/x unified relational and object-oriented database system won kim 1994,"alexander brodsky , pavel a. exarkhopoulo , victor e. segal , jia chen",,,international conference on management of data,1999.0,,0
1098,1630,"storing and querying ordered xml using a relational database system kevin s. beyer , jayavel shanmugasundaram , chun zhang , igor tatarinov , stratis viglas , eugene j. shekita sigmod conference 2002",unisql/x unified relational and object-oriented database system won kim 1994,,,,international conference on management of data,,,0
2497,1630,unisql/x unified relational and object-oriented database system won kim sigmod conference,unisql/x unified relational and object-oriented database system won kim 1994,,,,international conference on management of data,1994.0,,1
892,1630,"calibrating the query optimizer cost model of iro-db , an object-oriented federated database system 1996",unisql/x unified relational and object-oriented database system won kim 1994,"zhao-hui tang , fei sha , georges gardarin",,vldb,international conference on management of data,,,0
2108,1630,"olap , relational , and multidimensional database systems george colliat sigmod record 1996",unisql/x unified relational and object-oriented database system won kim 1994,,,,international conference on management of data,,,0
1646,1630,managing intervals efficiently in object-relational databases vldb 2000,unisql/x unified relational and object-oriented database system won kim 1994,"thomas seidl , marco pötke , hans-peter kriegel",,,international conference on management of data,,,0
980,1630,"mosaico - a system for conceptual modeling and rapid prototyping of object-oriented database application m. toiati , michele missikoff sigmod conference 1994",unisql/x unified relational and object-oriented database system won kim 1994,,,,international conference on management of data,,,0
133,1630,java and relational databases : sqlj ( tutorial ) sigmod conference 1998,unisql/x unified relational and object-oriented database system won kim 1994,"johannes klein , richard pledereder , gray clossman , brian becker , phil shaw , mark hapner",,,international conference on management of data,,,0
223,1630,"semantic integrity support in sql : 1999 and commercial ( object - ) relational database management systems michael gertz , can türker vldb j. 2001",unisql/x unified relational and object-oriented database system won kim 1994,,,,international conference on management of data,,,0
1116,1630,"integrating a structured-text retrieval system with an object-oriented database system jurgen annevelink , tak w. yan",unisql/x unified relational and object-oriented database system won kim 1994,,,vldb,international conference on management of data,1994.0,,0
970,1630,"object-relational database systems : principles , products , and challenges ( tutorial )",unisql/x unified relational and object-oriented database system won kim 1994,"michael j. carey , anil nori , nelson mendonça mattos",,sigmod conference,international conference on management of data,1997.0,,0
2183,2261,"odefs : a file system interface to an object-oriented database narain h. gehani , william d. roome , h. v. jagadish vldb",integrating a structured-text retrieval system with an object-oriented database system very large data bases,,"tak w. yan , jurgen annevelink",,,1994.0,1994.0,0
2081,2261,"naos - efficient and modular reactive capabilities in an object-oriented database system thierry coupaye , t. svensen , christine collet",integrating a structured-text retrieval system with an object-oriented database system very large data bases,,"tak w. yan , jurgen annevelink",vldb,,1994.0,1994.0,0
644,2261,index configuration in object-oriented databases elisa bertino vldb j. 1994,integrating a structured-text retrieval system with an object-oriented database system very large data bases,,"tak w. yan , jurgen annevelink",,,,1994.0,0
2131,2261,"the trigs active object-oriented database system - an overview gerti kappel , werner retschitzegger 1998",integrating a structured-text retrieval system with an object-oriented database system very large data bases,,"tak w. yan , jurgen annevelink",sigmod record,,,1994.0,0
2294,2261,integrating mining with relational database systems : alternatives and implications,integrating a structured-text retrieval system with an object-oriented database system very large data bases,"shiby thomas , rakesh agrawal , sunita sarawagi","tak w. yan , jurgen annevelink",sigmod conference,,1998.0,1994.0,0
287,2261,converting relational to object-oriented databases sigmod record 1997,integrating a structured-text retrieval system with an object-oriented database system very large data bases,joseph fong,"tak w. yan , jurgen annevelink",,,,1994.0,0
2497,2261,unisql/x unified relational and object-oriented database system won kim sigmod conference,integrating a structured-text retrieval system with an object-oriented database system very large data bases,,"tak w. yan , jurgen annevelink",,,1994.0,1994.0,0
1471,2261,evaluating functional joins along nested reference sets in object-relational and object-oriented databases vldb,integrating a structured-text retrieval system with an object-oriented database system very large data bases,"alfons kemper , reinhard braumandl , jens claußen","tak w. yan , jurgen annevelink",,,1998.0,1994.0,0
980,2261,"mosaico - a system for conceptual modeling and rapid prototyping of object-oriented database application m. toiati , michele missikoff sigmod conference 1994",integrating a structured-text retrieval system with an object-oriented database system very large data bases,,"tak w. yan , jurgen annevelink",,,,1994.0,0
1815,2261,"integrating heterogenous overlapping databases through object-oriented transformations tore risch , vanja josifovski vldb",integrating a structured-text retrieval system with an object-oriented database system very large data bases,,"tak w. yan , jurgen annevelink",,,1999.0,1994.0,0
2350,2261,hyperstorm - administering structured documents using object-oriented database technology,integrating a structured-text retrieval system with an object-oriented database system very large data bases,"karl aberer , klemens böhm","tak w. yan , jurgen annevelink",sigmod conference,,1996.0,1994.0,0
374,2261,integrating contents and structure in text retrieval sigmod record 1996,integrating a structured-text retrieval system with an object-oriented database system very large data bases,"gonzalo navarro , ricardo a. baeza-yates","tak w. yan , jurgen annevelink",,,,1994.0,0
2183,2239,"odefs : a file system interface to an object-oriented database narain h. gehani , william d. roome , h. v. jagadish vldb","an effective deductive object-oriented database through language integration maria l. barja , norman w. paton , alvaro a. a. fernandes , m. howard williams , andrew dinn very large data bases 1994",,,,,1994.0,,0
1459,2239,"a taxonomy for secure object-oriented databases sebastiaan h. von solms , martin s. olivier","an effective deductive object-oriented database through language integration maria l. barja , norman w. paton , alvaro a. a. fernandes , m. howard williams , andrew dinn very large data bases 1994",,,acm trans . database syst .,,1994.0,,0
1021,2239,"the algres testbed of chimera : an active object-oriented database system giuseppe psaila , stefano ceri , stefano paraboschi , piero fraternali","an effective deductive object-oriented database through language integration maria l. barja , norman w. paton , alvaro a. a. fernandes , m. howard williams , andrew dinn very large data bases 1994",,,sigmod conference,,1995.0,,0
373,2239,"procedures in object-oriented query languages kazimierz subieta , jacek leszczylowski , yahiko kambayashi 1995","an effective deductive object-oriented database through language integration maria l. barja , norman w. paton , alvaro a. a. fernandes , m. howard williams , andrew dinn very large data bases 1994",,,vldb,,,,0
644,2239,index configuration in object-oriented databases elisa bertino vldb j. 1994,"an effective deductive object-oriented database through language integration maria l. barja , norman w. paton , alvaro a. a. fernandes , m. howard williams , andrew dinn very large data bases 1994",,,,,,,0
2131,2239,"the trigs active object-oriented database system - an overview gerti kappel , werner retschitzegger 1998","an effective deductive object-oriented database through language integration maria l. barja , norman w. paton , alvaro a. a. fernandes , m. howard williams , andrew dinn very large data bases 1994",,,sigmod record,,,,0
2494,2239,exact : an extensible approach to active object-oriented databases vldb j. 1997,"an effective deductive object-oriented database through language integration maria l. barja , norman w. paton , alvaro a. a. fernandes , m. howard williams , andrew dinn very large data bases 1994","arturo jaime , oscar díaz",,,,,,0
639,2239,an efficient method for checking object-oriented database schema correctness,"an effective deductive object-oriented database through language integration maria l. barja , norman w. paton , alvaro a. a. fernandes , m. howard williams , andrew dinn very large data bases 1994","michele missikoff , anna formica , hans dietmar gröger",,acm trans . database syst .,,1998.0,,0
783,2239,an effective deductive object-oriented database through language integration 1994,"an effective deductive object-oriented database through language integration maria l. barja , norman w. paton , alvaro a. a. fernandes , m. howard williams , andrew dinn very large data bases 1994","m. howard williams , norman w. paton , andrew dinn , maria l. barja , alvaro a. a. fernandes",,vldb,,,,1
1116,2239,"integrating a structured-text retrieval system with an object-oriented database system jurgen annevelink , tak w. yan","an effective deductive object-oriented database through language integration maria l. barja , norman w. paton , alvaro a. a. fernandes , m. howard williams , andrew dinn very large data bases 1994",,,vldb,,1994.0,,0
1815,2239,"integrating heterogenous overlapping databases through object-oriented transformations tore risch , vanja josifovski vldb","an effective deductive object-oriented database through language integration maria l. barja , norman w. paton , alvaro a. a. fernandes , m. howard williams , andrew dinn very large data bases 1994",,,,,1999.0,,0
2183,2243,"odefs : a file system interface to an object-oriented database narain h. gehani , william d. roome , h. v. jagadish vldb",odefs : a file system interface to an object-oriented database very large data bases 1994,,"narain h. gehani , h. v. jagadish , william d. roome",,,1994.0,,1
2232,2243,query unnesting in object-oriented databases leonidas fegaras 1998,odefs : a file system interface to an object-oriented database very large data bases 1994,,"narain h. gehani , h. v. jagadish , william d. roome",sigmod conference,,,,0
1459,2243,"a taxonomy for secure object-oriented databases sebastiaan h. von solms , martin s. olivier",odefs : a file system interface to an object-oriented database very large data bases 1994,,"narain h. gehani , h. v. jagadish , william d. roome",acm trans . database syst .,,1994.0,,0
267,2243,lambda-db : an odmg-based object-oriented dbms 2000,odefs : a file system interface to an object-oriented database very large data bases 1994,"arvind rajendran , david maier , leonidas fegaras , chandrasekhar srinivasan","narain h. gehani , h. v. jagadish , william d. roome",sigmod conference,,,,0
1021,2243,"the algres testbed of chimera : an active object-oriented database system giuseppe psaila , stefano ceri , stefano paraboschi , piero fraternali",odefs : a file system interface to an object-oriented database very large data bases 1994,,"narain h. gehani , h. v. jagadish , william d. roome",sigmod conference,,1995.0,,0
2081,2243,"naos - efficient and modular reactive capabilities in an object-oriented database system thierry coupaye , t. svensen , christine collet",odefs : a file system interface to an object-oriented database very large data bases 1994,,"narain h. gehani , h. v. jagadish , william d. roome",vldb,,1994.0,,0
644,2243,index configuration in object-oriented databases elisa bertino vldb j. 1994,odefs : a file system interface to an object-oriented database very large data bases 1994,,"narain h. gehani , h. v. jagadish , william d. roome",,,,,0
2131,2243,"the trigs active object-oriented database system - an overview gerti kappel , werner retschitzegger 1998",odefs : a file system interface to an object-oriented database very large data bases 1994,,"narain h. gehani , h. v. jagadish , william d. roome",sigmod record,,,,0
2494,2243,exact : an extensible approach to active object-oriented databases vldb j. 1997,odefs : a file system interface to an object-oriented database very large data bases 1994,"arturo jaime , oscar díaz","narain h. gehani , h. v. jagadish , william d. roome",,,,,0
69,2243,"a cost model for clustered object-oriented databases zhao-hui tang , jean-robert gruser , georges gardarin vldb 1995",odefs : a file system interface to an object-oriented database very large data bases 1994,,"narain h. gehani , h. v. jagadish , william d. roome",,,,,0
783,2243,an effective deductive object-oriented database through language integration 1994,odefs : a file system interface to an object-oriented database very large data bases 1994,"m. howard williams , norman w. paton , andrew dinn , maria l. barja , alvaro a. a. fernandes","narain h. gehani , h. v. jagadish , william d. roome",vldb,,,,0
973,2243,the ccube constraint object-oriented database system sigmod conference,odefs : a file system interface to an object-oriented database very large data bases 1994,"alexander brodsky , pavel a. exarkhopoulo , victor e. segal , jia chen","narain h. gehani , h. v. jagadish , william d. roome",,,1999.0,,0
892,2243,"calibrating the query optimizer cost model of iro-db , an object-oriented federated database system 1996",odefs : a file system interface to an object-oriented database very large data bases 1994,"zhao-hui tang , fei sha , georges gardarin","narain h. gehani , h. v. jagadish , william d. roome",vldb,,,,0
118,2243,the persistent cache : improving oid indexing in temporal object-oriented database systems kjetil nørvåg vldb 1999,odefs : a file system interface to an object-oriented database very large data bases 1994,,"narain h. gehani , h. v. jagadish , william d. roome",,,,,0
755,2243,"design and user testing of a multi-paradigm query interface to an object-oriented database dac khoa doan , alistair c. kilgour , norman w. paton sigmod record 1995",odefs : a file system interface to an object-oriented database very large data bases 1994,,"narain h. gehani , h. v. jagadish , william d. roome",,,,,0
2183,1843,"odefs : a file system interface to an object-oriented database narain h. gehani , william d. roome , h. v. jagadish vldb","semcog : an object-based image retrieval system and its visual query interface wen-syan li , k. sel &#231; uk candan , kyoji hirata , yoshinori hara",,,,international conference on management of data,1994.0,1997.0,0
1292,1843,semcog : an object-based image retrieval system and its visual query interface sigmod conference,"semcog : an object-based image retrieval system and its visual query interface wen-syan li , k. sel &#231; uk candan , kyoji hirata , yoshinori hara","k. selçuk candan , wen-syan li , kyoji hirata , yoshinori hara",,,international conference on management of data,1997.0,1997.0,1
2183,1244,"odefs : a file system interface to an object-oriented database narain h. gehani , william d. roome , h. v. jagadish vldb",the persistent cache : improving oid indexing in temporal object-oriented database systems very large data bases 1999,,kjetil n &#248; rv &#229; g,,,1994.0,,0
2232,1244,query unnesting in object-oriented databases leonidas fegaras 1998,the persistent cache : improving oid indexing in temporal object-oriented database systems very large data bases 1999,,kjetil n &#248; rv &#229; g,sigmod conference,,,,0
